Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-13,36,18,20836,234,25,10,40,9.8,12192|12394|14460|14461|14582|17260|17268|20375|21349|22761,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-8.9,MyList
GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-13,1.1e+02,28,20836,51,25,7,28,9,12192|14460|14461|14582|20375|21349|22761,Zfp36l1|Gata1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-8.8,MyList
GO Biological Processes,19,GO:0035162,embryonic hemopoiesis,19_GO:0032502 developmental process,-12,1.6e+02,31,20836,31,25,6,24,8.5,12394|14460|16596|18514|21349|22761,Runx1|Gata1|Klf1|Pbx1|Tal1|Zfpm1,-8.2,MyList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-12,21,14,20836,445,25,11,44,9.9,12192|12394|14460|14461|14582|17260|17268|20375|21349|22761|239985,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1|Arid1b,-8.2,MyList
GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-10,1.9e+02,31,20836,22,25,5,20,8,12394|14461|17268|21349|22761,Runx1|Gata2|Meis1|Tal1|Zfpm1,-6.8,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-10,23,14,20836,321,25,9,36,9.6,12394|14460|14461|16596|17260|17268|20375|21349|22761,Runx1|Gata1|Gata2|Klf1|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-6.7,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.6,16,11,20836,481,25,9,36,9.6,12192|12394|14025|14460|14461|17260|18514|20375|22761,Zfp36l1|Runx1|Bcl11a|Gata1|Gata2|Mef2c|Pbx1|Spi1|Zfpm1,-5.2,MyList
GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-8.4,44,16,20836,114,25,6,24,8.5,12192|12394|14460|14461|14582|21349,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Tal1,-5.1,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-8.2,19,12,20836,359,25,8,32,9.3,12192|12394|14461|14582|20375|21349|22761|239985,Zfp36l1|Runx1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1|Arid1b,-4.9,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-8.2,14,11,20836,532,25,9,36,9.6,12192|12394|14460|14461|16596|17260|18514|21349|22761,Zfp36l1|Runx1|Gata1|Gata2|Klf1|Mef2c|Pbx1|Tal1|Zfpm1,-4.9,MyList
GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-8.1,1.7e+02,26,20836,20,25,4,16,7.3,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.9,MyList
GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-7.9,1.5e+02,24,20836,22,25,4,16,7.3,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.7,MyList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-7.7,33,14,20836,152,25,6,24,8.5,12192|12394|14461|14582|21349|22761,Zfp36l1|Runx1|Gata2|Gfi1b|Tal1|Zfpm1,-4.5,MyList
GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-7.5,1.2e+02,22,20836,28,25,4,16,7.3,14460|14461|20375|22761,Gata1|Gata2|Spi1|Zfpm1,-4.4,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-7.5,30,13,20836,165,25,6,24,8.5,12394|14460|14461|17260|20375|22761,Runx1|Gata1|Gata2|Mef2c|Spi1|Zfpm1,-4.4,MyList
GO Biological Processes,19,GO:0030219,megakaryocyte differentiation,19_GO:0032502 developmental process,-7.3,1.1e+02,21,20836,31,25,4,16,7.3,14460|17268|21349|22761,Gata1|Meis1|Tal1|Zfpm1,-4.2,MyList
GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0032502 developmental process,-7.3,48,15,20836,87,25,5,20,8,14460|16596|17268|21349|22761,Gata1|Klf1|Meis1|Tal1|Zfpm1,-4.2,MyList
GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-7,42,14,20836,99,25,5,20,8,12192|12394|14461|17268|22761,Zfp36l1|Runx1|Gata2|Meis1|Zfpm1,-4,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-7,17,10,20836,340,25,7,28,9,14460|14461|16596|17260|20375|21349|22761,Gata1|Gata2|Klf1|Mef2c|Spi1|Tal1|Zfpm1,-4,MyList
GO Biological Processes,19,GO:0060215,primitive hemopoiesis,19_GO:0032502 developmental process,-6.7,2.5e+02,27,20836,10,25,3,12,6.5,14460|21349|22761,Gata1|Tal1|Zfpm1,-3.8,MyList
GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-6.6,36,13,20836,116,25,5,20,8,14460|16596|20375|21349|22761,Gata1|Klf1|Spi1|Tal1|Zfpm1,-3.7,MyList
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-6.4,20,11,20836,244,25,6,24,8.5,14025|14461|17260|17268|18514|21413,Bcl11a|Gata2|Mef2c|Meis1|Pbx1|Tcf4,-3.5,MyList
GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-6.4,33,12,20836,128,25,5,20,8,14460|16596|20375|21349|22761,Gata1|Klf1|Spi1|Tal1|Zfpm1,-3.5,MyList
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-6.3,14,9.1,20836,430,25,7,28,9,12394|14460|14461|17260|20375|56193|239985,Runx1|Gata1|Gata2|Mef2c|Spi1|Plek|Arid1b,-3.4,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-6,9.5,8,20836,699,25,8,32,9.3,12192|12394|14460|14461|17260|20375|56193|239985,Zfp36l1|Runx1|Gata1|Gata2|Mef2c|Spi1|Plek|Arid1b,-3.1,MyList
GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-5.8,25,11,20836,167,25,5,20,8,14460|16596|20375|21349|22761,Gata1|Klf1|Spi1|Tal1|Zfpm1,-3,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.7,8.8,7.6,20836,758,25,8,32,9.3,12192|14461|17260|17268|18514|20375|21349|24136,Zfp36l1|Gata2|Mef2c|Meis1|Pbx1|Spi1|Tal1|Zeb2,-2.9,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-5.6,11,8,20836,535,25,7,28,9,12394|17260|17268|18514|21349|22761|71375,Runx1|Mef2c|Meis1|Pbx1|Tal1|Zfpm1|Foxn3,-2.8,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-5.6,8.5,7.4,20836,781,25,8,32,9.3,12192|14025|14460|17260|18514|20375|21413|56193,Zfp36l1|Bcl11a|Gata1|Mef2c|Pbx1|Spi1|Tcf4|Plek,-2.8,MyList
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-5.6,11,8,20836,545,25,7,28,9,12192|12394|14025|14582|20375|24136|239985,Zfp36l1|Runx1|Bcl11a|Gfi1b|Spi1|Zeb2|Arid1b,-2.8,MyList
Reactome Gene Sets,6,R-MMU-8878171,Transcriptional regulation by RUNX1,,-5.5,22,10,20836,193,25,5,20,8,14460|14461|21349|22761|239985,Gata1|Gata2|Tal1|Zfpm1|Arid1b,-2.8,MyList
GO Biological Processes,19,GO:0035855,megakaryocyte development,19_GO:0032502 developmental process,-5.5,1e+02,17,20836,25,25,3,12,6.5,17268|21349|22761,Meis1|Tal1|Zfpm1,-2.7,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-5.3,20,9.5,20836,211,25,5,20,8,12192|12394|14582|20375|239985,Zfp36l1|Runx1|Gfi1b|Spi1|Arid1b,-2.6,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.3,20,9.5,20836,211,25,5,20,8,12192|12394|14582|20375|239985,Zfp36l1|Runx1|Gfi1b|Spi1|Arid1b,-2.6,MyList
GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-5.3,89,16,20836,28,25,3,12,6.5,14460|14461|21349,Gata1|Gata2|Tal1,-2.6,MyList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-5.3,13,8.2,20836,390,25,6,24,8.5,12192|14025|14460|17260|18514|20375,Zfp36l1|Bcl11a|Gata1|Mef2c|Pbx1|Spi1,-2.6,MyList
KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-5.2,19,9.2,20836,224,25,5,20,8,12394|17260|17268|18514|20375,Runx1|Mef2c|Meis1|Pbx1|Spi1,-2.5,MyList
