Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.6,16,11,20836,481,25,9,36,9.6,12394|12606|14025|15900|16477|17260|18987|20230|20375,Runx1|Cebpa|Bcl11a|Irf8|Junb|Mef2c|Pou2f2|Satb1|Spi1,-4.3,MyList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-7.5,15,10,20836,445,25,8,32,9.3,12394|12606|15404|15405|17131|17260|20375|239985,Runx1|Cebpa|Hoxa7|Hoxa9|Smad7|Mef2c|Spi1|Arid1b,-3.5,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-7.1,18,11,20836,321,25,7,28,9,12394|12606|15900|16477|16598|17260|20375,Runx1|Cebpa|Irf8|Junb|Klf2|Mef2c|Spi1,-3.3,MyList
KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-6.7,22,11,20836,224,25,6,24,8.5,12394|12606|15405|17260|19696|20375,Runx1|Cebpa|Hoxa9|Mef2c|Rel|Spi1,-3,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-5.9,25,11,20836,165,25,5,20,8,12394|12606|16477|17260|20375,Runx1|Cebpa|Junb|Mef2c|Spi1,-2.3,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-5.6,8.5,7.4,20836,781,25,8,32,9.3,14025|15405|15900|17260|18987|20230|20375|21413,Bcl11a|Hoxa9|Irf8|Mef2c|Pou2f2|Satb1|Spi1|Tcf4,-2.1,MyList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-5.3,13,8.2,20836,390,25,6,24,8.5,14025|15900|17260|18987|20230|20375,Bcl11a|Irf8|Mef2c|Pou2f2|Satb1|Spi1,-1.8,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-5.2,18,9.1,20836,229,25,5,20,8,14025|15900|17260|18987|20375,Bcl11a|Irf8|Mef2c|Pou2f2|Spi1,-1.8,MyList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.1,18,9,20836,234,25,5,20,8,12394|15404|15405|17260|20375,Runx1|Hoxa7|Hoxa9|Mef2c|Spi1,-1.8,MyList
GO Biological Processes,19,GO:0002335,mature B cell differentiation,19_GO:0002376 immune system process,-4.9,64,14,20836,39,25,3,12,6.5,15900|18987|20375,Irf8|Pou2f2|Spi1,-1.6,MyList
