,PseudoTime1,PseudoTime2,PseudoTime3
E171_679,NA,NA,0.85176
E805_366,NA,0.45854,NA
E114_88,NA,0.1093,NA
E731_480,NA,NA,0.60176
E318_312,NA,NA,0.3907
E335_330,0.41332,NA,NA
E662_251,0.31407,NA,NA
E177_106,NA,NA,0.13191
E524_752,0.94347,NA,NA
E911_497,NA,0.62312,NA
E782_477,0.59799,NA,NA
E840_701,NA,0.8794,NA
E709_192,0.23995,NA,NA
E52_89,NA,NA,0.11055
E581_300,NA,NA,0.37563
E65_607,0.76131,NA,NA
E69_663,0.83166,NA,NA
E833_511,0.6407,NA,NA
E85_765,0.9598,NA,NA
E644_621,NA,0.77889,NA
E666_712,NA,0.89322,NA
E186_659,NA,NA,0.82663
E764_77,NA,0.09548,NA
E508_661,NA,NA,0.82915
E566_467,0.58543,NA,NA
E522_1,NA,0.0,NA
E714_393,NA,NA,0.49246
E568_115,NA,NA,0.14322
E175_357,NA,0.44724,NA
E939_509,0.63819,NA,NA
E677_9,0.01005,NA,NA
E829_82,NA,NA,0.10176
E999_41,NA,0.05025,NA
E139_561,NA,NA,0.70352
E123_756,NA,0.94849,NA
E178_426,0.53392,NA,NA
E174_59,0.07286,NA,NA
E663_313,NA,0.39196,NA
E797_621,NA,0.77889,NA
E2_307,0.38442,NA,NA
E402_667,NA,0.83668,NA
E924_474,NA,NA,0.59422
E288_717,0.8995,NA,NA
E385_721,NA,NA,0.90452
E81_50,NA,0.06156,NA
E984_597,NA,NA,0.74874
E577_580,0.72739,NA,NA
E405_275,NA,0.34422,NA
E981_339,NA,0.42462,NA
E381_71,NA,NA,0.08794
E15_467,NA,0.58543,NA
E13_571,0.71608,NA,NA
E412_262,0.32789,NA,NA
E830_73,NA,0.09045,NA
E883_450,NA,NA,0.56407
E657_123,NA,NA,0.15327
E531_328,0.4108,NA,NA
E586_624,NA,0.78266,NA
E896_231,NA,NA,0.28894
E906_151,0.18844,NA,NA
E915_582,NA,NA,0.7299
E724_706,NA,0.88568,NA
E505_309,NA,NA,0.38693
E650_5,0.00503,NA,NA
E824_533,NA,NA,0.66834
E901_658,NA,NA,0.82538
E654_522,NA,NA,0.65452
E439_279,NA,0.34925,NA
E160_634,NA,0.79523,NA
E735_287,NA,0.3593,NA
E280_687,NA,0.86181,NA
E66_443,NA,0.55528,NA
E149_771,NA,NA,0.96734
E63_132,NA,0.16457,NA
E740_540,NA,NA,0.67714
E21_63,NA,0.07789,NA
E198_492,0.61683,NA,NA
E354_658,NA,NA,0.82538
E543_348,NA,0.43593,NA
E231_200,0.25,NA,NA
E606_576,0.72236,NA,NA
E855_470,NA,NA,0.5892
E515_647,NA,0.81156,NA
E467_761,NA,0.95477,NA
E946_530,NA,NA,0.66457
E671_391,0.48995,NA,NA
E184_159,NA,0.19849,NA
E461_460,NA,0.57663,NA
