_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-10.35823869229606,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-10.35823869229606,18.728988764044942,13.10282649048456,20836,445,25,10,40.0,9.797958971132712,12394|15404|15405|17268|20375|20846|21349|56484|239985|269023,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3|Arid1b|Zfp608,-6.0892864899015615,0,1,1,1,-10.35823869229606,151.53454545454545,
1,-9.686188616114633,GO:0045637,M1,1,0,GO Biological Processes,19,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-9.686188616114633,28.493675213675214,14.659066580963808,20836,234,25,8,32.0,9.32952303175248,12394|15404|15405|17268|20375|20846|21349|56484,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3,-5.718266409384115,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-7.934923386437596,GO:0060216,M1,1,0,GO Biological Processes,19,definitive hemopoiesis,19_GO:0032502 developmental process,-7.934923386437596,151.53454545454545,24.48443140405053,20836,22,25,4,16.0,7.332121111929343,12394|15405|17268|21349,Runx1|Hoxa9|Meis1|Tal1,-4.14309243876276,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-6.879488317441912,GO:0001501,M1,1,0,GO Biological Processes,19,skeletal system development,19_GO:0032502 developmental process,-6.879488317441912,12.462654205607478,9.309441962184168,20836,535,25,8,32.0,9.32952303175248,12394|15404|15405|17268|18027|18109|21349|71375,Runx1|Hoxa7|Hoxa9|Meis1|Nfia|Mycn|Tal1|Foxn3,-3.212596106375376,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-6.66644558352033,mmu05202,M1,1,0,KEGG Pathway,24,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-6.66644558352033,22.32428571428571,11.121380948508795,20836,224,25,6,24.0,8.541662601625049,12394|13876|15405|17268|18109|20375,Runx1|Erg|Hoxa9|Meis1|Mycn|Spi1,-3.0964633854618504,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-5.250433051432072,GO:0045638,M1,1,0,GO Biological Processes,19,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.250433051432072,33.674343434343434,11.294624191329108,20836,99,25,4,16.0,7.332121111929343,12394|15404|15405|17268,Runx1|Hoxa7|Hoxa9|Meis1,-2.127608884715811,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-4.501029193298721,GO:0048568,M1,1,0,GO Biological Processes,19,embryonic organ development,19_GO:0032502 developmental process,-4.501029193298721,9.3996992481203,6.802194287331404,20836,532,25,6,24.0,8.541662601625049,12394|15404|15405|16477|18109|21349,Runx1|Hoxa7|Hoxa9|Junb|Mycn|Tal1,-1.5332675498283947,0,1,0,0,-10.35823869229606,151.53454545454545,
1,-6.411534465504599,GO:0045646,M1,1,0,GO Biological Processes,19,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-6.411534465504599,65.36784313725491,15.951418621954623,20836,51,25,4,16.0,7.332121111929343,20375|20846|21349|56484,Spi1|Stat1|Tal1|Foxo3,-2.9207335134937438,0,2,1,1,-6.411534465504599,89.29714285714284,
1,-5.735941575788313,GO:0006351,M1,1,0,GO Biological Processes,19,DNA-templated transcription,19_GO:0008152 metabolic process,-5.735941575788313,11.262702702702704,8.197972027872412,20836,518,25,7,28.0,8.97997772825746,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.4614256095571805,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-5.730377811951679,GO:0097659,M1,1,0,GO Biological Processes,19,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-5.730377811951679,11.241001926782275,8.18873126082946,20836,519,25,7,28.0,8.97997772825746,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.4614256095571805,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-5.664491610032401,GO:0032774,M1,1,0,GO Biological Processes,19,RNA biosynthetic process,19_GO:0008152 metabolic process,-5.664491610032401,10.986967984934088,8.079783119109045,20836,531,25,7,28.0,8.97997772825746,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.4369320927961278,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-5.309758604015118,GO:0045648,M1,1,0,GO Biological Processes,19,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-5.309758604015118,89.29714285714284,16.204318806809827,20836,28,25,3,12.0,6.499230723708768,20846|21349|56484,Stat1|Tal1|Foxo3,-2.1547497539274563,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-5.007071829580322,GO:0045639,M1,1,0,GO Biological Processes,19,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.007071829580322,29.243508771929825,10.480343628472472,20836,114,25,4,16.0,7.332121111929343,12394|20846|21349|56484,Runx1|Stat1|Tal1|Foxo3,-1.9422396098417476,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-3.2612550557603175,GO:0021700,M1,1,0,GO Biological Processes,19,developmental maturation,19_GO:0032502 developmental process,-3.2612550557603175,10.35329192546584,5.862563120866342,20836,322,25,4,16.0,7.332121111929343,18027|18987|21349|56484,Nfia|Pou2f2|Tal1|Foxo3,-0.572086449982629,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-2.772010250890366,GO:0048469,M1,1,0,GO Biological Processes,19,cell maturation,19_GO:0032502 developmental process,-2.772010250890366,12.564422110552762,5.681296741360444,20836,199,25,3,12.0,6.499230723708768,18987|21349|56484,Pou2f2|Tal1|Foxo3,-0.21906139213066667,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-2.415231736282108,GO:0071695,M1,1,0,GO Biological Processes,19,anatomical structure maturation,19_GO:0032502 developmental process,-2.415231736282108,9.3996992481203,4.778677157054063,20836,266,25,3,12.0,6.499230723708768,18987|21349|56484,Pou2f2|Tal1|Foxo3,0.0,0,2,0,0,-6.411534465504599,89.29714285714284,
1,-5.777176508612924,GO:0045596,M1,1,0,GO Biological Processes,19,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-5.777176508612924,8.91379679144385,7.639899147019825,20836,748,25,8,32.0,9.32952303175248,12394|14025|15404|15405|17268|18109|56484|269023,Runx1|Bcl11a|Hoxa7|Hoxa9|Meis1|Mycn|Foxo3|Zfp608,-2.4614256095571805,0,3,1,1,-5.777176508612924,17.078688524590163,
1,-5.032739878200367,GO:0045664,M1,1,0,GO Biological Processes,19,regulation of neuron differentiation,19_GO:0032502 developmental process,-5.032739878200367,17.078688524590163,8.756217741769756,20836,244,25,5,20.0,8.0,14025|17268|18109|21413|56484,Bcl11a|Meis1|Mycn|Tcf4|Foxo3,-1.9422396098417476,0,3,0,0,-5.777176508612924,17.078688524590163,
1,-4.479213582069159,GO:0010721,M1,1,0,GO Biological Processes,19,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-4.479213582069159,13.10440251572327,7.53892957758328,20836,318,25,5,20.0,8.0,12394|14025|15404|18109|269023,Runx1|Bcl11a|Hoxa7|Mycn|Zfp608,-1.5332675498283947,0,3,0,0,-5.777176508612924,17.078688524590163,
1,-5.753162760250428,GO:0030099,M1,1,0,GO Biological Processes,19,myeloid cell differentiation,19_GO:0032502 developmental process,-5.753162760250428,15.578317757009344,9.123142318498022,20836,321,25,6,24.0,8.541662601625049,12394|16477|17268|18089|20375|21349,Runx1|Junb|Meis1|Nkx2-3|Spi1|Tal1,-2.4614256095571805,0,4,1,1,-5.753162760250428,20.20460606060606,
1,-4.653306783042496,GO:0035239,M1,1,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-4.653306783042496,7.6966754617414255,6.509594145527578,20836,758,25,7,28.0,8.97997772825746,14013|16477|17268|18089|18109|20375|21349,Mecom|Junb|Meis1|Nkx2-3|Mycn|Spi1|Tal1,-1.6631081816008266,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-4.375448825590009,GO:0002573,M1,1,0,GO Biological Processes,19,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-4.375448825590009,20.20460606060606,8.583944751926442,20836,165,25,4,16.0,7.332121111929343,12394|16477|18089|20375,Runx1|Junb|Nkx2-3|Spi1,-1.4682244592131035,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-3.326240959846141,mmu04380,M1,1,0,KEGG Pathway,24,Osteoclast differentiation - Mus musculus (house mouse),,-3.326240959846141,19.533749999999998,7.289865060535804,20836,128,25,3,12.0,6.499230723708768,16477|20375|20846,Junb|Spi1|Stat1,-0.6135912582189298,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-2.697990355812127,GO:0048514,M1,1,0,GO Biological Processes,19,blood vessel morphogenesis,19_GO:0032502 developmental process,-2.697990355812127,7.294879649890591,4.716006324755497,20836,457,25,4,16.0,7.332121111929343,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,-0.19246614698056577,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-2.363551274855348,GO:0001568,M1,1,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-2.363551274855348,5.8900353356890465,4.088025731530086,20836,566,25,4,16.0,7.332121111929343,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,0.0,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-2.266253870320133,GO:0001944,M1,1,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-2.266253870320133,5.528623548922057,3.9112449732494534,20836,603,25,4,16.0,7.332121111929343,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,0.0,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-2.15891624794175,GO:0006366,M1,1,0,GO Biological Processes,19,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-2.15891624794175,7.599756838905774,4.182106614538939,20836,329,25,3,12.0,6.499230723708768,16477|18089|21349,Junb|Nkx2-3|Tal1,0.0,0,4,0,0,-5.753162760250428,20.20460606060606,
1,-5.47247131419289,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.47247131419289,13.929359331476322,8.564684054447728,20836,359,25,6,24.0,8.541662601625049,12394|15404|20375|21349|239985|269023,Runx1|Hoxa7|Spi1|Tal1|Arid1b|Zfp608,-2.282700357846016,0,5,1,1,-5.47247131419289,20.66380165289256,
1,-3.875859364598933,GO:0045619,M1,1,0,GO Biological Processes,19,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.875859364598933,15.016936936936938,7.277274433491422,20836,222,25,4,16.0,7.332121111929343,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,-1.0540651935466536,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-3.4728638753979384,GO:0002683,M1,1,0,GO Biological Processes,19,negative regulation of immune system process,19_GO:0002376 immune system process,-3.4728638753979384,7.998464491362763,5.607037928544676,20836,521,25,5,20.0,8.0,12394|14605|15404|20375|269023,Runx1|Tsc22d3|Hoxa7|Spi1|Zfp608,-0.7224256128813273,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-3.3977073999105016,GO:1902106,M1,1,0,GO Biological Processes,19,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3.3977073999105016,20.66380165289256,7.518617363625985,20836,121,25,3,12.0,6.499230723708768,12394|15404|269023,Runx1|Hoxa7|Zfp608,-0.6602341145582582,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-3.356358040855757,GO:1903707,M1,1,0,GO Biological Processes,19,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-3.356358040855757,20.00256,7.3856184339604045,20836,125,25,3,12.0,6.499230723708768,12394|15404|269023,Runx1|Hoxa7|Zfp608,-0.6314738828115342,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-3.2816689551738687,GO:0007162,M1,1,0,GO Biological Processes,19,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-3.2816689551738687,10.483522012578616,5.906578578118194,20836,318,25,4,16.0,7.332121111929343,12394|15404|20375|269023,Runx1|Hoxa7|Spi1|Zfp608,-0.5809184768463651,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-3.212724140328609,GO:0045621,M1,1,0,GO Biological Processes,19,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.212724140328609,17.85942857142857,6.937195645186959,20836,140,25,3,12.0,6.499230723708768,12394|20375|239985,Runx1|Spi1|Arid1b,-0.5371642891164832,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.8427087409172658,GO:0045580,M1,1,0,GO Biological Processes,19,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.8427087409172658,13.299574468085105,5.871516656985869,20836,188,25,3,12.0,6.499230723708768,12394|239985|269023,Runx1|Arid1b|Zfp608,-0.28132671462070347,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.7291444944222385,GO:0002695,M1,1,0,GO Biological Processes,19,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-2.7291444944222385,12.137475728155339,5.567895156493895,20836,206,25,3,12.0,6.499230723708768,12394|20375|269023,Runx1|Spi1|Zfp608,-0.19246614698056577,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.699462522539771,GO:0022408,M1,1,0,GO Biological Processes,19,negative regulation of cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-2.699462522539771,11.849857819905212,5.4902052183622985,20836,211,25,3,12.0,6.499230723708768,12394|20375|269023,Runx1|Spi1|Zfp608,-0.19246614698056577,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.699462522539771,GO:1902107,M1,1,0,GO Biological Processes,19,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.699462522539771,11.849857819905212,5.4902052183622985,20836,211,25,3,12.0,6.499230723708768,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19246614698056577,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.699462522539771,GO:1903708,M1,1,0,GO Biological Processes,19,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.699462522539771,11.849857819905212,5.4902052183622985,20836,211,25,3,12.0,6.499230723708768,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19246614698056577,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.598486423910272,GO:0050866,M1,1,0,GO Biological Processes,19,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-2.598486423910272,10.918427947598252,5.230864623459002,20836,229,25,3,12.0,6.499230723708768,12394|20375|269023,Runx1|Spi1|Zfp608,-0.1076854718994171,0,5,0,0,-5.47247131419289,20.66380165289256,
1,-2.5470071770638993,GO:0022407,M1,1,0,GO Biological Processes,19,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-2.5470071770638993,6.627753479125249,4.428316054486723,20836,503,25,4,16.0,7.332121111929343,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,-0.06338480968016776,0,5,0,0,-5.47247131419289,20.66380165289256,
