,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.47849003649567945,0.32754382714603647,0.07313258195269433,0.04411366743531871,0.04449304506791476,0.049651346943972725,0.04976883228689412,0.10555882879401726,0.2138235426034594
g10,0.4777799798469748,0.0,0.18621119736097885,0.07684926372138104,0.05530623198200513,0.06122460379466148,0.044208179962629976,0.052296250510763906,0.15039712670079608,0.3570044581802404
g2,0.12178918635346524,0.11360359927203005,0.0,0.21593957987602433,0.020941949450628904,0.02008547792689401,0.03524176857699715,0.03317860115549005,0.03382474263467227,0.04983499439052689
g3,0.01403104061651737,0.008709073421411927,0.15244940180167227,0.0,0.07786131741866793,0.07920374652615224,0.05041712414647514,0.0483035929959563,0.027794722061074334,0.010343896074300774
g4,0.033299642808940606,0.0244083147887133,0.04533988016746695,0.12899096407217753,0.0,0.15830381160498191,0.3475862072776937,0.21100367566390943,0.054496563689414454,0.05550019883555249
g5,0.027581196403083277,0.02467407711000101,0.045855807963626205,0.13384276102052198,0.1595185497534775,0.0,0.2204701266520758,0.32571354172311756,0.05752382565126866,0.06095148909469639
g6,0.02030450217789955,0.017257898838736033,0.043400872357589666,0.08315641882994862,0.30415766240057013,0.14010086040025138,0.0,0.07778957941604153,0.07629725615763448,0.020758286636129247
g7,0.02307042449455019,0.020623549018299245,0.04171370737910751,0.08133688669806913,0.12693959845488614,0.2852761907176092,0.07191942454942031,0.0,0.0788502538794817,0.019931228023427967
g8,0.07441890196007432,0.07581604027692064,0.04910305580999943,0.12541347678307221,0.07770908939765893,0.07346214080953653,0.12601339686083415,0.13787712978290656,0.0,0.21147949387322945
g9,0.20651989067694626,0.23642584179389894,0.10870652058671419,0.08019537363190514,0.1316846880408075,0.13825661404058592,0.05356479001778751,0.06050545290789195,0.4146453640739307,0.0
