,PseudoTime1,PseudoTime2
E834_899,NA,0.9007
E162_937,NA,0.93882
E293_217,NA,0.21665
E267_173,0.17252,NA
E676_953,0.95486,NA
E99_59,0.05817,NA
E460_311,0.31093,NA
E110_748,NA,0.74925
E551_914,0.91575,NA
E304_234,NA,0.2337
E366_268,0.2678,NA
E741_169,NA,0.16851
E243_938,0.93982,NA
E553_191,NA,0.19057
E962_775,NA,0.77633
E948_291,NA,0.29087
E998_375,NA,0.37513
E309_421,NA,0.42126
E81_821,0.82247,NA
E770_139,NA,0.13842
E830_193,NA,0.19258
E398_730,NA,0.73119
E782_118,0.11735,NA
E672_769,0.77031,NA
E985_628,0.62889,NA
E744_204,0.20361,NA
E222_662,NA,0.66299
E375_561,NA,0.56169
E289_784,0.78536,NA
E577_351,0.35105,NA
E801_594,0.59478,NA
E743_200,NA,0.1996
E726_266,NA,0.2658
E78_120,0.11936,NA
E759_174,NA,0.17352
E811_960,0.96189,NA
E599_878,0.87964,NA
E507_416,NA,0.41625
E174_644,0.64493,NA
E53_122,NA,0.12136
E488_835,0.83651,NA
E465_819,NA,0.82046
E880_427,0.42728,NA
E419_662,0.66299,NA
E331_353,NA,0.35306
E30_801,0.80241,NA
E622_568,NA,0.56871
E397_145,NA,0.14443
E209_290,0.28987,NA
E543_826,0.82748,NA
E528_486,NA,0.48646
E591_172,NA,0.17151
E804_274,NA,0.27382
E884_973,NA,0.97492
E642_163,NA,0.16249
E693_993,0.99498,NA
E103_13,NA,0.01204
E767_979,NA,0.98094
E252_300,0.2999,NA
E641_386,0.38616,NA
E616_787,NA,0.78837
E79_312,0.31194,NA
E299_297,0.29689,NA
E168_247,0.24674,NA
E407_39,NA,0.03811
E448_966,0.9679,NA
E159_117,NA,0.11635
E598_648,NA,0.64895
E386_336,NA,0.33601
E826_172,0.17151,NA
E665_144,0.14343,NA
E890_572,NA,0.57272
E621_284,0.28385,NA
E933_176,NA,0.17553
E28_512,NA,0.51254
E224_86,NA,0.08526
E798_767,NA,0.7683
E919_342,0.34203,NA
E973_359,NA,0.35908
E414_21,NA,0.02006
E607_763,0.76429,NA
E921_958,0.95988,NA
E730_368,NA,0.3681
E363_232,0.2317,NA
E833_611,0.61184,NA
E508_872,NA,0.87362
E986_179,NA,0.17854
E388_838,0.83952,NA
E247_247,0.24674,NA
E379_727,0.72818,NA
E692_903,NA,0.90471
E610_314,0.31394,NA
E709_446,0.44634,NA
E873_223,NA,0.22267
E7_309,NA,0.30893
E567_635,0.63591,NA
E615_20,0.01906,NA
E227_639,0.63992,NA
E659_328,0.32798,NA
E776_148,0.14744,NA
E650_717,0.71815,NA
E745_124,0.12337,NA
E627_642,NA,0.64293
E938_289,0.28887,NA
E182_731,NA,0.7322
E352_565,NA,0.5657
E356_149,NA,0.14845
E296_701,NA,0.70211
E524_578,NA,0.57874
E568_721,0.72217,NA
E939_810,0.81143,NA
E17_100,NA,0.0993
E611_376,0.37613,NA
E108_178,0.17753,NA
E637_591,NA,0.59178
E942_425,NA,0.42528
E437_85,0.08425,NA
E824_127,0.12638,NA
E288_9,NA,0.00802
E477_789,0.79037,NA
E619_754,NA,0.75527
E240_242,NA,0.24173
E23_451,NA,0.45135
E831_578,0.57874,NA
E978_243,NA,0.24273
E345_818,0.81946,NA
E173_95,0.09428,NA
E719_225,0.22467,NA
E160_353,NA,0.35306
E623_732,NA,0.7332
E996_47,NA,0.04614
E955_98,NA,0.09729
E155_548,NA,0.54865
E629_276,0.27583,NA
E301_160,NA,0.15948
E572_391,0.39117,NA
E879_872,0.87362,NA
E675_711,0.71214,NA
E645_400,NA,0.4002
E736_790,0.79137,NA
E318_143,NA,0.14243
E556_371,0.37111,NA
E848_544,NA,0.54463
E20_61,0.06018,NA
E97_772,NA,0.77332
E581_524,NA,0.52457
E930_78,NA,0.07723
E49_639,NA,0.63992
E815_507,0.50752,NA
E322_367,NA,0.3671
E807_371,NA,0.37111
E435_424,0.42427,NA
E697_906,NA,0.90772
E274_432,0.4323,NA
E922_271,0.27081,NA
E974_802,0.80341,NA
E708_105,NA,0.10431
E578_220,NA,0.21966
E514_150,NA,0.14945
E461_873,0.87462,NA
E106_512,0.51254,NA
E711_883,0.88465,NA
E772_913,0.91474,NA
