,PseudoTime1,PseudoTime2
E740_256,NA,0.25502
E741_960,NA,0.96185
E380_952,NA,0.95382
E220_858,NA,0.85944
E127_597,0.59739,NA
E119_806,NA,0.80723
E676_131,0.12952,NA
E705_595,0.59538,NA
E542_451,NA,0.4508
E901_23,NA,0.02108
E176_99,NA,0.09739
E546_896,NA,0.89759
E838_481,NA,0.48092
E898_751,NA,0.75201
E664_615,NA,0.61546
E212_228,NA,0.22691
E545_507,0.50703,NA
E445_718,0.71888,NA
E518_248,0.24699,NA
E274_331,0.33032,NA
E607_441,0.44076,NA
E657_679,0.67972,NA
E0_373,NA,0.37249
E862_333,NA,0.33233
E896_759,0.76004,NA
E634_260,0.25904,NA
E912_669,NA,0.66968
E527_83,0.08133,NA
E479_396,NA,0.39558
E385_704,0.70482,NA
E123_815,0.81627,NA
E700_845,NA,0.84639
E41_100,0.09839,NA
E995_67,0.06526,NA
E262_74,NA,0.07229
E939_960,0.96185,NA
E525_517,0.51707,NA
E536_600,0.6004,NA
E182_551,NA,0.5512
E604_371,0.37048,NA
E467_759,0.76004,NA
E583_147,NA,0.14558
E186_983,0.98494,NA
E443_524,0.5241,NA
E288_342,NA,0.34137
E562_133,NA,0.13153
E354_240,0.23896,NA
E342_253,NA,0.25201
E303_462,NA,0.46185
E24_923,0.9247,NA
E824_773,0.7741,NA
E281_53,NA,0.0512
E868_739,0.73996,NA
E780_329,NA,0.32831
E181_688,0.68876,NA
E121_457,0.45683,NA
E854_88,NA,0.08635
E636_324,NA,0.32329
E363_212,0.21084,NA
E988_864,NA,0.86546
E513_91,0.08936,NA
E512_474,0.4739,NA
E451_595,NA,0.59538
E836_22,0.02008,NA
E271_828,0.82932,NA
E293_188,NA,0.18675
E306_173,0.17169,NA
E769_77,0.0753,NA
E695_864,0.86546,NA
E579_206,NA,0.20482
E487_975,NA,0.97691
E178_667,NA,0.66767
E339_151,NA,0.1496
E53_947,NA,0.9488
E507_783,NA,0.78414
E417_428,NA,0.42771
E376_934,NA,0.93574
E647_580,NA,0.58032
E46_459,NA,0.45884
E396_639,0.63956,NA
E592_914,NA,0.91566
E476_827,0.82831,NA
E637_809,NA,0.81024
E772_846,0.84739,NA
E492_199,NA,0.19779
E203_398,0.39759,NA
E245_259,NA,0.25803
E382_99,NA,0.09739
E980_712,NA,0.71285
E470_998,NA,1.0
E692_487,NA,0.48695
E8_674,0.6747,NA
E125_336,0.33534,NA
E642_696,NA,0.69679
E5_762,0.76305,NA
E533_508,NA,0.50803
E587_348,NA,0.34739
E589_284,NA,0.28313
E548_149,NA,0.14759
E96_739,NA,0.73996
E425_625,0.6255,NA
E683_666,NA,0.66667
E449_213,0.21185,NA
E420_174,0.17269,NA
E439_772,0.77309,NA
E784_129,NA,0.12751
E456_753,0.75402,NA
E810_537,NA,0.53715
E613_579,NA,0.57932
E564_356,0.35542,NA
E14_555,NA,0.55522
E54_655,0.65562,NA
E531_780,0.78112,NA
E172_160,0.15863,NA
E112_67,NA,0.06526
E601_844,0.84538,NA
E578_713,NA,0.71386
E209_649,0.6496,NA
E710_266,NA,0.26506
E845_776,0.77711,NA
E64_638,0.63855,NA
E714_95,NA,0.09337
E605_537,0.53715,NA
