,PseudoTime1,PseudoTime2,PseudoTime3
E821_274,NA,0.34171,NA
E386_282,NA,0.35176,NA
E794_521,0.65201,NA,NA
E428_487,NA,0.6093,NA
E818_742,0.92965,NA,NA
E826_74,NA,NA,0.09045
E167_75,0.09171,NA,NA
E360_502,0.62814,NA,NA
E356_515,NA,0.64447,NA
E141_633,NA,NA,0.79271
E580_383,NA,0.47864,NA
E707_506,NA,NA,0.63317
E175_464,NA,0.5804,NA
E666_447,NA,0.55905,NA
E191_133,NA,0.16457,NA
E363_449,NA,0.56156,NA
E322_577,NA,0.72236,NA
E283_348,NA,0.43467,NA
E361_780,NA,0.97739,NA
E691_620,0.77638,NA,NA
E272_501,0.62688,NA,NA
E469_652,NA,0.81658,NA
E703_237,NA,0.29523,NA
E293_353,NA,0.44095,NA
E333_769,NA,NA,0.96357
E932_565,NA,0.70729,NA
E95_458,NA,0.57286,NA
E984_769,NA,NA,0.96357
E745_726,NA,NA,0.90955
E658_376,NA,0.46985,NA
E670_63,NA,0.07663,NA
E705_746,NA,0.93467,NA
E174_547,0.68467,NA,NA
E918_184,NA,NA,0.22864
E973_180,0.22362,NA,NA
E190_622,0.77889,NA,NA
E623_534,NA,NA,0.66834
E464_127,NA,0.15704,NA
E184_614,NA,0.76884,NA
E292_720,NA,NA,0.90201
E419_115,0.14196,NA,NA
E405_694,NA,0.86935,NA
E552_401,NA,0.50126,NA
E268_127,0.15704,NA,NA
E736_146,NA,NA,0.1809
E470_531,0.66457,NA,NA
E727_116,NA,0.14322,NA
E889_708,NA,NA,0.88693
E447_323,NA,0.40327,NA
E765_510,NA,0.63819,NA
E595_280,NA,0.34925,NA
E880_70,NA,NA,0.08543
E474_471,0.5892,NA,NA
E578_402,0.50251,NA,NA
E632_701,NA,NA,0.87814
E375_357,0.44598,NA,NA
E819_64,0.07789,NA,NA
E301_440,0.55025,NA,NA
E287_415,0.51884,NA,NA
E308_414,NA,NA,0.51759
E887_698,0.87437,NA,NA
E383_108,NA,0.13317,NA
E846_217,NA,0.2701,NA
E565_577,NA,NA,0.72236
E644_199,NA,0.24749,NA
E296_199,0.24749,NA,NA
E564_54,0.06533,NA,NA
E848_4,0.00251,NA,NA
E537_446,0.55779,NA,NA
E560_431,NA,NA,0.53894
E544_148,NA,0.18342,NA
E947_574,0.71859,NA,NA
E384_318,NA,NA,0.39698
E921_729,0.91332,NA,NA
E533_412,NA,NA,0.51508
E99_277,NA,0.34548,NA
E403_111,0.13693,NA,NA
E757_123,NA,0.15201,NA
E321_473,0.59171,NA,NA
E97_532,NA,NA,0.66583
E890_88,NA,NA,0.10804
E495_305,NA,0.38065,NA
E701_177,NA,NA,0.21985
E710_318,NA,0.39698,NA
E390_313,NA,NA,0.3907
E140_107,NA,0.13191,NA
E741_770,NA,0.96482,NA
E121_191,NA,0.23744,NA
E193_660,NA,NA,0.82663
E241_689,0.86307,NA,NA
E188_262,NA,NA,0.32663
E975_91,NA,NA,0.11181
E582_280,NA,NA,0.34925
E724_210,NA,0.26131,NA
E335_147,0.18216,NA,NA
E970_106,0.13065,NA,NA
E989_59,0.07161,NA,NA
E655_566,0.70854,NA,NA
E54_640,NA,0.80151,NA
E506_633,0.79271,NA,NA
E396_510,0.63819,NA,NA
E76_339,0.42337,NA,NA
E133_720,NA,NA,0.90201
E181_636,NA,NA,0.79648
E685_28,NA,NA,0.03266
E754_84,NA,0.10302,NA
E465_592,NA,NA,0.74121
E126_732,NA,0.91709,NA
E751_407,NA,NA,0.50879
E271_454,NA,0.56784,NA
E697_468,0.58543,NA,NA
E605_203,NA,0.25251,NA
E767_745,NA,NA,0.93342
E795_604,NA,0.75628,NA
E588_578,NA,NA,0.72362
E806_580,0.72613,NA,NA
E648_631,NA,0.7902,NA
E94_597,NA,NA,0.74749
E876_353,NA,NA,0.44095
E124_67,NA,0.08166,NA
E274_662,NA,0.82915,NA
E524_621,0.77764,NA,NA
E534_507,NA,NA,0.63442
E669_5,0.00377,NA,NA
E199_428,NA,NA,0.53518
E553_122,NA,NA,0.15075
E940_796,NA,NA,0.99749
E983_127,NA,NA,0.15704
E480_96,NA,0.11809,NA
E244_87,NA,NA,0.10678
E567_303,NA,NA,0.37814
E404_344,NA,NA,0.42965
E715_428,NA,0.53518,NA
E575_566,NA,0.70854,NA
E583_5,NA,0.00377,NA
E192_418,NA,NA,0.52261
E456_684,NA,0.85678,NA
E836_483,0.60427,NA,NA
E353_405,NA,NA,0.50628
E105_318,NA,0.39698,NA
E38_641,NA,0.80276,NA
E73_628,NA,0.78643,NA
E923_654,NA,0.8191,NA
E369_6,NA,NA,0.00503
E439_375,NA,0.46859,NA
E211_321,0.40075,NA,NA
E941_396,NA,NA,0.49497
E313_641,NA,NA,0.80276
E310_595,NA,0.74497,NA
E811_608,NA,0.76131,NA
E194_555,NA,NA,0.69472
E945_372,0.46482,NA,NA
E406_497,NA,0.62186,NA
E928_451,0.56407,NA,NA
E362_789,0.98869,NA,NA
E48_376,0.46985,NA,NA
E25_516,0.64573,NA,NA
E528_736,NA,0.92211,NA
E875_692,NA,NA,0.86683
E173_774,NA,0.96985,NA
E23_544,NA,0.6809,NA
E41_619,NA,NA,0.77513
E847_302,NA,NA,0.37688
E834_684,NA,0.85678,NA
E197_336,NA,NA,0.4196
E695_249,0.3103,NA,NA
E486_255,NA,NA,0.31784
E562_505,NA,0.63191,NA
E13_577,0.72236,NA,NA
E969_402,NA,NA,0.50251
E796_308,NA,0.38442,NA
E760_606,NA,NA,0.75879
E782_131,0.16206,NA,NA
E952_572,0.71608,NA,NA
E393_201,0.25,NA,NA
E232_745,NA,NA,0.93342
E109_21,0.02387,NA,NA
E472_280,NA,NA,0.34925
E785_317,NA,NA,0.39573
E207_718,NA,NA,0.8995
E606_659,0.82538,NA,NA
E902_611,NA,0.76508,NA
E661_440,0.55025,NA,NA
E289_523,0.65452,NA,NA
E911_68,NA,0.08291,NA
E912_651,0.81533,NA,NA
E256_513,NA,0.64196,NA
E446_554,NA,NA,0.69347
E408_354,NA,0.44221,NA
E0_437,NA,0.54648,NA
E500_728,NA,0.91206,NA
E299_366,NA,NA,0.45729
E869_486,NA,0.60804,NA
E627_490,NA,NA,0.61307
E483_93,NA,NA,0.11432
E100_295,NA,NA,0.36809
E371_28,NA,NA,0.03266
E39_384,0.4799,NA,NA
E155_234,0.29146,NA,NA
E980_333,NA,NA,0.41583
E936_367,0.45854,NA,NA
E135_295,NA,NA,0.36809
E671_535,0.6696,NA,NA
E460_91,0.11181,NA,NA
E812_573,NA,NA,0.71734
E732_749,NA,NA,0.93844
