TE	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0	0	0.0010144613937541238	0.01417301359556321	0.003864931267496506	0.012664250349172535	0.02211308147660042	0.019182658537090298	0.04739064020546933	0.04047810037981019	0.04077381007771706	0.0767221747711349	0.02930875850153668	0.028484313378109347	0.011940218278904341	0.01396202667983247	0.008196039476364972	0.0031139526538033644	0.01969002582564204
1	0.035610836299330255	0	0.014719666360980821	0.012666890096457377	0.01678528204373772	0.012623575678842201	0.016380552960763687	0.03881710388087547	0.031900236511653565	0.019483864164375454	0.02807587786050385	0.017983079877431554	0.023543686759520715	0.011462972074910031	0.014856750884459098	0.013145810572259478	0.006140991101541459	0.03797802687630717
2	0.037522382656277255	0.020899779361238904	0	0.018381906520996954	0.023959662791159717	0.020112558381170237	0.008926376462131036	0.045216655141811425	0.046530556183051415	0.022074547884654114	0.029700708980334337	0.02133050676551385	0.013282447701908043	0.009891998190802456	0.013042839549501088	0.0066022500757641775	0.006166130859501473	0.023261473561334203
3	0.06251166888526355	0.012327260058067249	0.022399457702066885	0	0.03358853704148771	0.02361786039604439	0.009742792383871567	0.05542526397899949	0.05644664526847722	0.025657403832031616	0.04161785403269004	0.020146012282832613	0.017492828880940788	0.010817512815272112	0.010931367724500079	0.013548569376172812	0.004886208430407584	0.0237417606055307
4	0.05837557664503821	0.010426803229559143	0.010110158787533961	0.00538934807589742	0	0.02758866889388011	0.01858639800888641	0.06660130560236616	0.07790015661118728	0.03314224134351782	0.02745077855024168	0.011745834556734865	0.02138396764817379	0.017779732356899277	0.004891457398578523	0.006764057158912392	0.0009836699488217089	0.018230096526673057
5	0.06708709879617751	0.00989737163320624	0.002464169476744394	0.012232246741780214	0.007629901400273033	0	0.029573603424472253	0.09488835564909852	0.07128867291636104	0.04014773857171383	0.02870657250456268	0.013574555197076598	0.012438381806192243	0.006051746482497372	0.006830155342363361	0.00810284078494861	0.0018388606113716786	0.008526271318432789
6	0.050591162610734985	0.00819611912793789	0.00957275550014624	0.006267077099535776	0.01290118290094874	0.01040841918374141	0	0.1270470324191195	0.09083000960028743	0.042173285974818626	0.04682054511903936	0.018029047506893246	0.009707540567045498	0.00569913124179646	0.0041551664506087205	0.004757665253454024	0.006187711448646911	0.01002425689253583
7	0.07627723505899113	0.004444690308137789	0.008524527859436882	0.007213031120832726	0.004518382083781105	0.01304146073397553	0.021732113670854234	0	0.07921473087456045	0.04817940961667753	0.05723149845818248	0.018242375584249734	0.008204157942666036	0.010064032899389964	0.002540386205709256	0.0025641970359639274	0.006337492571991784	0.00699339712540281
8	0.07694923226344698	-0.000708366835064843	0.00979762775807575	0.0017349470872660769	0.006365799876287317	0.0043265802753080776	0.01097526444111151	0.05437694939616048	0	0.05447765520385131	0.05854921935297386	0.01721773107827863	0.007647804683551569	0.011436619987785362	0.011946085106625858	0.004873300534191389	0.0017529176679709588	0.006725404246645079
9	0.06718751274643907	0.0007600705222500716	0.0058664449827625885	0.005981221591566198	0.00998060677349368	0.012828245347393992	0.015439501351794576	0.030400158148896305	0.038419159006112244	0	0.054404986803658295	0.022474262448617083	0.01611599979398609	0.01594123980762034	0.007603478359440988	0.013338348687020381	0.013269909318079538	0.013577882473040355
10	0.09459984574956579	0.004540784837399869	0.004827433383588751	0.010509113459403252	-0.0014474214045847723	0.02259337928400054	0.014010571875911374	0.05176271647299544	0.04538213789662939	0.02893313032897327	0	0.02807815291141438	0.02017965524188503	0.022205983953360892	0.010745750544055575	0.010911929963825284	0.012071468560656414	0.005181122483765117
11	0.06481276556386081	0.004032440569235698	0.0023044580028679326	0.010963210507247979	0.0057948466374418495	0.008710633710705106	0.007813798091112517	0.018801529309960718	0.025198402636098412	0.017912211349596648	0.08535036269008187	0	0.019661053454471195	0.013714876313987484	0.010773105481004967	0.0012606522761679174	0.0016858694378193936	0.004062313695855661
12	0.06272194323028928	0.00525882912952933	0.002524118129263655	0.0029614392499357502	0.001111611935674014	0.011191350491229046	0.011273006703789295	0.03134178800657969	0.02959161006952135	0.013634451934111605	0.08519939416462413	0.0317195767341085	0	0.019339901668488677	0.004527202434477407	0.007250928191803153	0.0014534682757696702	0.005926809605389163
13	0.04343508496676355	0.008970577109021605	0.004139025676313327	0.010823235525547424	0.00724489506829745	0.01331611140790656	0.00953999607193381	0.015207070955115552	0.026648481190178146	0.0304932699384796	0.040892411713390794	0.026809181544718917	0.041847279684566786	0	0.01523345058782787	0.008082972930885304	0.004216036447095699	0.0029027421187989813
14	0.046718451996302764	0.002103141991652517	0.007118548371999837	0.00014471893234646515	0.006967420799460795	0.012145153347983578	0.0033759507908185005	0.013216307318479954	0.03013158242343474	0.012625363349320542	0.048892383097306175	0.015976607312723448	0.034491142254457235	0.034235528023669935	0	0.011014610075805925	0.0015092559885064713	0.004924119124084621
15	0.04532589796842553	0.004409378713503896	0.008032311803047877	0.0051956823170747	0.007260351833692598	0.012444377624834769	0.012183817950209532	0.02362063221428942	0.029417094115712403	0.013819258475204509	0.039710882446805824	0.018325211106327496	0.025108648949373768	0.018016467268596167	0.031609986259637436	0	0.005854554081218926	0.0057473248972470395
16	0.03951325965271198	0.006939217817625567	0.002749595769180603	0.0068126493658011876	0.015618442768341064	0.011687796800952839	0.01213202257897174	0.034088776730536965	0.03292031521325227	0.012239696482076571	0.022301262126854644	0.01770872791913335	0.02737213654546854	0.02124241756348671	0.01974820424842397	0.027919978640459628	0	0.0045040890450701015
17	0.02967599653773982	0.008345468176227748	0.00875292588598883	0.006410226549536531	0.012001654709300981	0.012091240088402911	0.010631936982080476	0.03859542184654678	0.03527077844983485	0.022499421611461828	0.030756841925806522	0.012861811918065258	0.024645732759163864	0.016742966260113075	0.015691861070677784	0.018795957043929976	0.01786381005625565	0
