,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1.191711,0.0011877187,0.011448696,0.0073327436,0.014993682,0.0075391755,0.009611851,0.009099655,0.0018338846,0.010408872,0.4920334,0.00021377241,0.052193638,0.0021578348,0.0066780704,0.004721355,0.046940226,0.006580949
1,1.5377213,0.12964289,0.04026698,0.0002729494,0.00016627254,0.0060849264,0.09566024,0.0025462578,0.0038879046,0.011433677,0.6806796,0.019626152,0.000119767785,0.011428616,0.018574087,0.00907181,0.10380303,0.023921987
2,1.252358,0.00023435713,0.010718222,0.0069295107,0.007623809,0.0055828863,0.007109855,0.0030794481,8.632103e-05,0.0011047246,0.5449511,0.017216073,0.05262225,0.009194776,0.0005624086,0.013792094,0.006713625,0.1249396
3,1.7504606,0.00699265,0.017958572,0.0055619357,0.023221688,0.042446125,0.0007392172,0.03133988,0.003239065,0.00010155618,0.6023332,0.0415285,5.858793e-06,0.013111883,0.016568808,0.006164901,0.03051498,0.033766054
4,1.4683157,0.003551448,0.11481204,0.0006887245,0.0028674577,0.034574088,0.012650659,0.041069586,0.006462522,0.026308808,0.7251439,0.0011899059,0.0037901772,0.003269333,9.724628e-05,0.039636124,0.011655995,0.021827009
5,1.460918,0.024766853,0.0034344147,0.0012441871,0.009191764,0.0054905163,0.0060915914,0.0018426862,0.00023999233,0.0070039,0.5755476,0.026701178,0.008990817,0.013475696,0.023833936,0.0043604393,0.007751512,0.0261274
6,1.7566559,0.0024320711,0.0058096116,0.0068156174,0.0032879536,0.00076282956,0.00037622513,0.0014170777,0.005693769,0.00020386466,0.29787207,0.012584379,0.04930328,0.010044568,0.008624884,0.0017994879,0.0005253111,0.075672366
7,1.9339995,0.042522322,0.02746998,0.11798599,0.0142533425,0.0057384507,0.006130203,0.0134361405,0.0014178458,0.00070931745,0.5880344,0.013362168,0.0021604372,0.0019127144,0.013302113,0.027788503,0.004567906,0.0056960313
8,1.7554082,0.009092273,0.1472972,0.0037226046,0.0031168747,0.003991277,0.0073788613,0.023640689,0.0077826716,0.0013731899,0.3683031,0.055504844,0.03717753,0.012766797,0.0071298834,0.012956915,0.038642056,0.005914616
9,1.8053095,0.010532451,0.011904925,0.047251012,0.021085074,0.00035812918,0.001288942,0.0040952684,0.07760489,0.013321638,0.7083275,0.0031735117,0.015884008,0.015280199,0.05463739,0.00915221,0.0037643977,0.00074523286
10,1.7411323,0.014140722,0.034007225,0.027841555,0.034915492,0.00089768076,0.018656762,0.0063888645,0.014740996,0.014658191,0.7896512,0.022776332,0.033217218,0.013142789,0.0014594668,0.042258233,0.006189212,0.0043206713
11,1.5794533,0.04439102,0.03353049,0.0391244,0.039048184,0.008146785,0.07759917,0.022189952,0.044883173,0.00025840037,0.9017651,0.0052815103,0.05538152,0.04245806,0.0044151363,0.031768866,0.04778214,0.0593294
