TE	0	1	2	3	4	5	6	7	8	9
0	0	0.01816672531661506	0.04104865919050876	0.01678739775794684	0.052334941829334056	0.048313302234222914	0.05063167700388177	0.05880834231036869	0.017422061554036333	0.02523783647246843
1	0.025622609216462946	0	0.04259097156817769	0.02090558252178686	0.03989717945558713	0.04551331211762043	0.05645174631738567	0.05752985670141308	0.018442150295374438	0.022674213404757698
2	0.0358048322591134	0.03786977565487245	0	0.03714340995206659	0.04317441995141688	0.041356427571288996	0.04596331492483333	0.050932432563956714	0.010729720590786591	0.0122228882391565
3	0.019778128481912915	0.0220260262917046	0.06479914456790316	0	0.034505681306416444	0.044811299322602624	0.059568256164005046	0.05619308428284655	0.012439785828849787	0.0021969114848061806
4	0.023276998339675486	0.02046566576505343	0.04245292978542495	0.011449590725376607	0	0.25467919505548536	0.08518663119227142	0.09341061960356525	0.022438827099551598	0.010999820787290879
5	0.013839179180854684	0.015006286120412368	0.04014875251692444	0.025706400764147794	0.22349997077695385	0	0.08660453666296186	0.051995104001077874	0.028170503044054575	0.012879675193136786
6	0.02241767327840226	0.020344484767554318	0.03689533055505449	0.011374681334368192	0.12408818361994077	0.1522955825629115	0	0.22711400683323918	0.018363062170561332	0.008858984432220227
7	0.010323923797508397	0.013323937075464887	0.018012822040997346	0.01326712907831479	0.1200603387972396	0.08888426817247973	0.17925114600451386	0	0.023425244418559813	0.018471936442260462
8	0.019520609546084762	0.03161091789663987	0.0289606450005922	0.01808045526685323	0.10810764650976994	0.061401906579303465	0.08446124547907806	0.07633865322953202	0	0.009303732557565296
9	0.033062318063580134	0.038046043403081195	0.03282143819166724	0.017731709842043284	0.08159462000577872	0.07801459849119945	0.06934160893271453	0.039370829300040655	0.023128149806890094	0
