Genes	E14tg2a-120h 1A	E14tg2a-120h 1B	E14tg2a-120h 1C	E14tg2a-120h 1D	E14tg2a-120h 1E	E14tg2a-120h 1F	E14tg2a-120h 1G	E14tg2a-120h 1H	E14tg2a-120h 2A	E14tg2a-120h 2B	E14tg2a-120h 2C	E14tg2a-120h 2D	E14tg2a-120h 2E	E14tg2a-120h 2F	E14tg2a-120h 2G	E14tg2a-120h 2H	E14tg2a-120h 3A	E14tg2a-120h 3B	E14tg2a-120h 3C	E14tg2a-120h 3D	E14tg2a-120h 3E	E14tg2a-120h 3F	E14tg2a-120h 3G	E14tg2a-120h 3H	E14tg2a-120h 4A	E14tg2a-120h 4B	E14tg2a-120h 4C	E14tg2a-120h 4D	E14tg2a-120h 4E	E14tg2a-120h 4F	E14tg2a-120h 4G	E14tg2a-120h 4H	E14tg2a-120h 5A	E14tg2a-120h 5B	E14tg2a-120h 5C	E14tg2a-120h 5D	E14tg2a-120h 5E	E14tg2a-120h 5F	E14tg2a-120h 5G	E14tg2a-120h 5H	E14tg2a-120h 6A	E14tg2a-120h 6B	E14tg2a-120h 6C	E14tg2a-120h 6D	E14tg2a-120h 6E	E14tg2a-120h 6F	E14tg2a-120h 6G	E14tg2a-120h 6H	R1-120h 1A	R1-120h 1B	R1-120h 1C	R1-120h 1D	R1-120h 1E	R1-120h 1F	R1-120h 1G	R1-120h 1H	R1-120h 2A	R1-120h 2B	R1-120h 2C	R1-120h 2D	R1-120h 2E	R1-120h 2F	R1-120h 2G	R1-120h 2H	R1-120h 3A	R1-120h 3B	R1-120h 3C	R1-120h 3D	R1-120h 3E	R1-120h 3F	R1-120h 3G	R1-120h 3H	R1-120h 4A	R1-120h 4B	R1-120h 4C	R1-120h 4D	R1-120h 4E	R1-120h 4F	R1-120h 4G	R1-120h 4H	R1-120h 5A	R1-120h 5B	R1-120h 5C	R1-120h 5D	R1-120h 5E	R1-120h 5F	R1-120h 5G	R1-120h 5H	R1-120h 6A	R1-120h 6B	R1-120h 6C	R1-120h 6D	R1-120h 6E	R1-120h 6F	R1-120h 6G	R1-120h 6H
Actb	11.48069899	14.22031746	13.12798843	11.58914641	12.69504482	12.64038387	12.07886167	13.35015248	14.30157186	12.36904378	10.60138834	11.60029708	13.82152834	12.62348204	17.36476263	12.63951057	11.97502381	11.97254973	14.36325447	13.74420421	12.35086109	13.24617157	14.45183753	12.80000157	11.20740045	12.66810726	13.41423684	12.36205534	13.62302926	11.57041397	12.13576308	13.36894552	12.43977942	11.06341359	12.97055845	12.77942577	13.27866883	11.17010525	13.65798124	12.13085048	13.62906815	18.88451512	17.08035574	12.68442395	14.61003473	15.47880297	12.94153785	11.18641133	12.59722812	13.0334216	13.36524174	11.80416012	13.38048979	12.02267687	13.98290806	13.53741078	12.59311352	10.44292878	11.80225114	11.38876094	9.909907382	11.08856149	11.37890418	12.39815235	12.85623652	12.85274486	11.7131539	11.3204306	12.54685754	10.99512943	12.60455302	13.218581	12.2954034	10.86174306	12.07503013	11.66345871	11.99452847	999	11.68464923	12.00797262	12.43244076	10.93466471	12.8842974	13.53905625	19.06771608	11.45256816	12.73820815	12.69132448	18.4294891	12.93134463	14.11207517	10.55612032	11.42299828	12.47382218	10.91463603	13.38693998
Bmi1	16.86788847	17.87105868	17.52585681	999	18.86968848	17.9600775	16.23178702	17.2696586	16.27213278	16.90386063	16.14290167	17.93974956	19.1963741	16.57004131	19.04985286	17.81425091	17.80733473	18.99043736	17.76719253	18.21330433	18.86080383	17.06394	18.31777459	17.29617711	19.3984469	16.21608531	16.60361622	19.13812675	16.83471909	16.60179724	17.82744955	17.19210531	16.76416207	19.38553531	16.92559163	18.86818677	999	19.7837245	19.10177995	16.81551553	23.5328441	999	999	17.54627634	17.22530815	999	16.84179711	17.56422581	17.01757046	19.78777497	19.0197545	18.07412151	19.49395179	999	999	24.95911422	999	20.10603546	18.77576866	999	999	999	17.53956115	18.77957408	17.84984071	20.32451421	19.51394782	18.75801199	999	19.00880761	999	19.10442556	999	19.060312	999	19.21773572	17.83618468	999	18.04851127	999	999	999	17.02596849	19.55471062	999	18.90700518	18.92103141	19.16635697	999	18.56023355	19.4744432	19.00420508	18.45909763	19.37289838	17.94707321	999
Bmp4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.5342394	999	19.58540107	999	999	999	999	17.49102548	999	16.56314377	999	17.44429588	18.53956987	999	18.78918908	15.5773347	999	16.97060764	14.35249008	13.25483072	999	999	18.61916612	999	999	999	15.66989632	15.95131146	18.77499451	14.83806857	16.183509	999	999	999	999	19.16830842	19.0705166	14.93948102	999	999	999	999	999	16.94964698	33.32557041	999	16.53865037	999	17.08550255	999	17.09709249	14.52080459	16.15288692
Bmp7	999	999	999	999	18.86782261	999	999	999	19.97293004	999	18.27541625	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.33758723	999	999	999	18.90154582	999	999	999	999	999	999	19.34161257	999	999	999	18.10213772	999	999	999	999	19.15580818	999	999	16.78177786	18.0479362	18.51603063	18.05800445	18.24673636	999	999	18.35093555	19.10436455	999	18.41051255	17.87259447	999	999	17.78737651	18.06401998	19.17958688	19.72044758	17.26177285	18.87839877	20.82027144	19.09905332	999	17.20182323	999	999	999	19.09076966	999	999	999	18.25760745	999	999	999	17.91982173	19.14282548	999	19.48716334	999	20.10099391	21.94926447	999	16.94261318	17.83781753
Bmpr1a	999	18.69307519	16.96714497	17.72088703	17.3992797	18.07634966	15.2365482	17.08950701	999	18.28609851	15.93201232	999	16.65369962	17.77794223	999	17.370771	999	17.67735172	16.21393545	999	22.17546093	17.35371708	16.58115684	17.05584385	16.75240013	17.79266615	17.02990869	16.90109833	16.97791976	16.23691243	15.6621787	18.43991273	17.72876252	999	999	999	16.96047813	999	999	17.17154794	999	18.35518358	999	15.99425698	17.67436352	999	16.40976566	17.64508881	999	16.31750851	18.05383773	16.766952	18.51549783	16.06593011	999	16.85879986	14.81191849	16.2658262	17.93631159	17.99210547	16.99294273	17.60343226	17.71432148	17.9910854	17.38505039	999	17.1200945	18.51028136	18.10252626	18.06815294	16.58978516	18.39031461	17.94543496	999	16.35143378	16.31138961	17.49030111	999	16.69401096	18.30912738	999	17.45146295	999	999	999	17.41356808	999	999	999	999	16.81784325	16.87972554	20.51020152	17.9476618	17.10848354	16.83317505
Cd34	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.66653117	999	999	999	18.77924494	999	999	18.69478855	999	999	999	999	999	999	999	999	999	999	999	999	17.33551829	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.53596687	999	999	999	999	25.94251159	999	999	999
Cdh1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.06667764	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Cdh2	13.90100845	14.40628548	14.49948876	999	15.62069946	13.81412955	12.57496997	14.85475527	14.42946619	13.80815384	11.98928272	14.69905996	14.92886314	15.16215499	19.80005792	13.96216306	14.1813397	16.9129317	14.8162264	15.6643388	13.48982659	13.11334511	15.57272135	14.2938386	12.76570252	13.21759188	15.21035284	13.31244304	14.12990828	12.77874658	13.03455166	14.86591367	13.81822072	999	14.49009877	19.95452007	14.61783379	18.73338181	14.90677743	15.69141169	16.89854416	999	18.84753787	13.62425375	14.04900491	14.64664153	14.45743492	14.316369	999	16.95372272	999	999	999	999	999	14.91571237	999	999	999	19.37765336	999	999	18.02328026	19.46539681	999	999	17.6319285	999	17.94252647	999	19.6480618	999	999	999	999	999	999	999	18.84875061	18.89591804	999	999	16.00862749	999	999	15.36335961	999	999	999	15.65768334	999	999	999	999	17.53438461	999
Cdk2	15.41696585	18.48620383	16.96829405	14.22981815	15.92645525	15.16766951	16.24797479	16.21893322	15.55321078	999	14.0684141	15.33557175	16.32158295	16.85152436	18.67558247	16.56373316	15.70015613	18.11209662	17.48730917	17.53738669	15.84508622	14.61371347	15.80677196	16.07654631	16.22680052	18.31387757	14.83625363	16.73971501	16.29002014	14.76842321	15.3102642	17.77352359	14.85693571	14.67823327	16.22498284	15.56665574	16.2036795	13.96458038	16.50643499	16.83212943	18.67990074	999	999	15.1575716	17.26681497	999	16.49496229	16.4869175	999	16.22393264	17.33782741	15.1231464	17.40466327	15.90047266	16.92412557	16.56177223	14.97213304	16.2604359	14.82339046	15.67297371	14.99004436	16.37643921	16.35322647	19.46619147	14.65187468	15.77077994	14.79742846	16.37697542	16.36746461	17.18026096	999	16.46234802	999	15.98267242	18.26120211	13.88766667	15.71674956	999	15.63917687	15.94363402	999	14.47539797	15.95246507	999	999	17.96894833	16.72420364	16.40522737	999	16.5692603	18.82895751	14.83003238	14.95783838	17.52880101	17.03631893	16.30180572
Cdx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.89043162	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.02721618	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.8253496	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
