Genes	E14tg2a-168h 1A	E14tg2a-168h 1B	E14tg2a-168h 1C	E14tg2a-168h 1D	E14tg2a-168h 1E	E14tg2a-168h 1F	E14tg2a-168h 1G	E14tg2a-168h 1H	E14tg2a-168h 2A	E14tg2a-168h 2B	E14tg2a-168h 2C	E14tg2a-168h 2D	E14tg2a-168h 2E	E14tg2a-168h 2F	E14tg2a-168h 2G	E14tg2a-168h 2H	E14tg2a-168h 3A	E14tg2a-168h 3B	E14tg2a-168h 3C	E14tg2a-168h 3D	E14tg2a-168h 3E	E14tg2a-168h 3F	E14tg2a-168h 3G	E14tg2a-168h 3H	E14tg2a-168h 4A	E14tg2a-168h 4B	E14tg2a-168h 4C	E14tg2a-168h 4D	E14tg2a-168h 4E	E14tg2a-168h 4F	E14tg2a-168h 4G	E14tg2a-168h 4H	E14tg2a-168h 5A	E14tg2a-168h 5B	E14tg2a-168h 5C	E14tg2a-168h 5D	E14tg2a-168h 5E	E14tg2a-168h 5F	E14tg2a-168h 5G	E14tg2a-168h 5H	E14tg2a-168h 6A	E14tg2a-168h 6B	E14tg2a-168h 6C	E14tg2a-168h 6D	E14tg2a-168h 6E	E14tg2a-168h 6F	E14tg2a-168h 6G	E14tg2a-168h 6H	R1-168h 1A	R1-168h 1B	R1-168h 1C	R1-168h 1D	R1-168h 1E	R1-168h 1F	R1-168h 1G	R1-168h 1H	R1-168h 2A	R1-168h 2B	R1-168h 2C	R1-168h 2D	R1-168h 2E	R1-168h 2F	R1-168h 2G	R1-168h 2H	R1-168h 3A	R1-168h 3B	R1-168h 3C	R1-168h 3D	R1-168h 3E	R1-168h 3F	R1-168h 3G	R1-168h 3H	R1-168h 4A	R1-168h 4B	R1-168h 4C	R1-168h 4D	R1-168h 4E	R1-168h 4F	R1-168h 4G	R1-168h 4H	R1-168h 5A	R1-168h 5B	R1-168h 5C	R1-168h 5D	R1-168h 5E	R1-168h 5F	R1-168h 5G	R1-168h 5H	R1-168h 6A	R1-168h 6B	R1-168h 6C	R1-168h 6D	R1-168h 6E	R1-168h 6F	R1-168h 6G	R1-168h 6H	
Actb	13.15204799	11.13863822	15.35057897	11.91653369	12.17206172	13.24976399	13.07235421	12.71037351	11.87585883	14.42101918	13.78978552	13.82275676	14.85551445	14.55710196	14.20948856	13.56437822	14.03797162	13.79087376	13.75057664	14.48544418	13.68374691	18.03042942	15.00083838	13.50627064	14.91505256	13.61628604	12.1758756	14.12180586	13.91345766	17.06285837	13.07094561	14.21700914	11.94149436	12.06402224	13.56204206	13.25327984	14.46128458	13.86026472	12.11849902	14.0867233	15.62332091	14.05108872	13.51924624	13.16753954	14.33644887	13.14008631	14.89705777	13.9687805	13.56637216	18.22022942	12.83999058	12.25263135	12.33732792	12.577068	13.37245421	11.50976614	14.79844791	13.49421201	12.67604107	12.56648322	11.66681642	11.87155209	12.26228689	13.59977772	13.78390527	11.96804681	12.86719431	13.11691821	999	11.11437827	13.26824818	11.67583769	12.41500578	13.50589399	11.63765389	12.52512087	12.9139898	11.35172352	13.17048907	13.35680314	10.76018123	12.70279961	12.46416953	11.36219378	13.04559563	12.39582118	999	12.99002887	11.9193416	14.94526459	12.91684969	13.5856381	13.94862856	11.9242593	12.75317983	14.1984422	
Bmi1	18.59793514	17.11534418	999	19.27707135	20.82882211	18.25165114	17.16019818	17.79570036	19.27624518	17.95355979	18.90294266	18.27439558	19.57913946	19.12604898	18.48863905	17.04434289	999	18.35229553	18.25436684	999	18.51408659	999	18.05789121	18.70362723	999	20.81973817	17.55605897	18.55810715	17.3445312	999	17.85239336	20.03462005	999	18.14123775	19.70250864	19.58688033	18.23892534	19.19548969	18.21846953	17.26021753	16.86572644	17.94478089	19.20924003	999	21.00725068	999	18.84258169	17.92592596	19.06703995	999	999	23.48776581	17.95427104	16.84790649	16.68627685	999	19.24923036	999	20.7630185	20.58851986	999	16.67778597	19.07649052	17.27502735	19.80627943	20.86167431	999	18.95927934	999	20.3087695	17.62870215	17.33267463	18.66158764	17.65787848	19.04091872	18.60318958	19.79260302	17.4609332	21.35300082	17.37813199	18.56181408	17.76294472	18.35752062	17.79720315	999	17.82535138	999	18.49445218	21.26995914	999	19.07679546	999	17.72028403	17.19897434	17.59620772	999	
Bmp4	999	18.71680849	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	24.3587319	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.66916797	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.45899307	999	15.76669855	999	17.34966868	17.20267324	999	17.53922097	999	18.9829659	15.72881266	999	15.82023243	999	16.34069619	999	999	999	999	999	999	18.74783655	999	18.74055223	16.92318578	17.14571421	999	16.17610028	999	17.6273178	999	999	15.78643444	18.47703071	19.23425574	18.70175921	18.9047558	999	999	999	16.43795093	999	999	999	999	999	17.4034985	999	
Bmp7	18.64611544	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.74356102	999	999	999	999	19.0084169	999	999	999	999	999	999	999	16.6058692	999	19.53366624	19.73682327	999	21.54291739	18.13546166	999	999	999	999	999	999	999	19.5263018	18.04428073	18.91878209	22.90347173	18.51960033	18.68501087	999	17.73505581	18.13572909	999	16.82343717	999	18.92432123	19.32885961	999	17.96001396	999	999	18.03625741	999	999	19.24528666	999	19.18683317	999	19.16463017	999	999	18.84319566	999	999	17.64353837	999	999	17.80141867	999	999	
Bmpr1a	999	15.06076575	999	17.91912585	999	18.32020055	17.9311605	999	25.26112904	17.98654235	16.20302868	999	17.78580104	999	23.78734028	999	999	999	15.85481614	18.05667932	16.71545607	999	16.86016412	999	999	18.09056834	15.90431689	999	17.88816609	18.62175665	999	999	17.9501956	16.85679305	18.91332792	999	999	999	16.65034904	999	18.51398144	18.73520095	999	17.82982547	999	18.12008872	999	999	999	999	17.57501069	17.6771034	15.67246527	18.19613996	17.31678983	18.87328523	999	17.86475372	999	17.02664152	17.17349555	18.84540232	16.72413724	17.96329452	17.88734326	17.7729971	16.81792279	15.47841296	999	17.71904871	18.0536679	999	999	999	16.88330934	18.26002024	16.52251673	999	17.81995828	16.82972926	16.99479561	18.2822243	19.99568358	21.47186121	17.57859125	17.52843042	999	17.18178332	18.49803062	17.95887405	999	999	19.04369269	18.34597996	18.50235342	18.42554763	
Cd34	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.54315201	999	999	18.68188681	999	999	999	999	999	999	999	16.18903512	999	999	999	999	19.46548852	999	999	999	999	999	999	999	17.75163928	999	999	18.69444763	999	16.17876479	999	999	17.73478415	999	999	999	999	999	999	999	999	999	999	999	999	
Cdh1	29.94716278	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.87640799	999	999	999	999	999	999	999	21.33278674	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	15.89436921	999	999	999	999	999	999	999	999	999	999	999	999	999	999	24.46968221	
Cdh2	14.09218285	15.08034909	16.00399871	999	19.07447722	14.52286737	14.05277007	15.71630198	999	15.59189301	15.51410636	15.07916853	15.42249366	15.59181428	15.57768829	14.9175923	15.15223029	15.39738415	13.99822374	16.11653265	999	999	14.93948797	14.9432645	15.44376697	15.52995334	19.55114808	16.24643554	13.98990948	999	15.46674889	17.24983699	14.47097961	999	16.30996345	16.3983902	16.1054586	14.60641631	19.64905929	14.48142777	14.7022898	16.64958162	16.52469236	15.70881128	15.8167557	14.17097798	14.66446676	14.06313591	999	999	999	999	999	999	14.14338513	20.28980202	999	999	17.79785938	999	999	13.49678118	17.31779637	18.51842424	999	18.92713045	999	999	999	999	14.76109474	999	13.54010527	15.15299996	999	999	14.56656463	999	19.93662755	14.55876276	27.67642012	15.33788505	14.72595031	999	19.48637419	19.73020327	999	14.78361535	17.43541197	999	18.61847702	999	15.72111931	13.72890857	999	999	
Cdk2	999	15.56148198	999	15.34795057	16.69008715	16.8094318	17.59048828	999	15.0615256	17.75396413	17.54205553	999	999	999	16.04311406	15.92359665	999	999	15.7977928	999	16.18682259	999	18.11702203	999	999	999	14.16484748	999	15.81515117	999	999	999	999	15.64919241	17.06549088	999	999	18.25802337	16.51294354	15.75684509	16.00974798	15.52986736	999	999	18.1822988	18.23802826	999	999	18.29371319	999	20.62172001	16.20999005	16.0854456	14.35845931	15.79160336	999	999	15.29526749	16.9171872	18.36559533	15.66704659	15.62779005	16.58148437	19.99347264	17.54904829	15.16588531	15.37197706	15.82396286	999	14.04746651	16.19020428	15.68977263	15.62761558	15.71941035	14.77316101	16.50786174	15.05991764	16.06427627	14.72933312	17.7139978	15.720247	15.43448699	15.52819485	14.92805192	17.73060717	14.28823838	999	16.34126562	15.42498881	17.72391725	15.67753306	16.11080442	17.32971026	16.34944458	15.12820433	20.53858035	
Cdx2	999	16.9503462	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.05166576	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
