Genes	E14tg2a-48h 1A	E14tg2a-48h 1B	E14tg2a-48h 1C	E14tg2a-48h 1D	E14tg2a-48h 1E	E14tg2a-48h 1F	E14tg2a-48h 1G	E14tg2a-48h 1H	E14tg2a-48h 2A	E14tg2a-48h 2B	E14tg2a-48h 2C	E14tg2a-48h 2D	E14tg2a-48h 2E	E14tg2a-48h 2F	E14tg2a-48h 2G	E14tg2a-48h 2H	E14tg2a-48h 3A	E14tg2a-48h 3B	E14tg2a-48h 3C	E14tg2a-48h 3D	E14tg2a-48h 3E	E14tg2a-48h 3F	E14tg2a-48h 3G	E14tg2a-48h 3H	E14tg2a-48h 4A	E14tg2a-48h 4B	E14tg2a-48h 4C	E14tg2a-48h 4D	E14tg2a-48h 4E	E14tg2a-48h 4F	E14tg2a-48h 4G	E14tg2a-48h 4H	E14tg2a-48h 5A	E14tg2a-48h 5B	E14tg2a-48h 5C	E14tg2a-48h 5D	E14tg2a-48h 5E	E14tg2a-48h 5F	E14tg2a-48h 5G	E14tg2a-48h 5H	E14tg2a-48h 6A	E14tg2a-48h 6B	E14tg2a-48h 6C	E14tg2a-48h 6D	E14tg2a-48h 6E	E14tg2a-48h 6F	E14tg2a-48h 6G	E14tg2a-48h 6H	R1-48h 1A	R1-48h 1B	R1-48h 1C	R1-48h 1D	R1-48h 1E	R1-48h 1F	R1-48h 1G	R1-48h 1H	R1-48h 2A	R1-48h 2B	R1-48h 2C	R1-48h 2D	R1-48h 2E	R1-48h 2F	R1-48h 2G	R1-48h 2H	R1-48h 3A	R1-48h 3B	R1-48h 3C	R1-48h 3D	R1-48h 3E	R1-48h 3F	R1-48h 3G	R1-48h 3H	R1-48h 4A	R1-48h 4B	R1-48h 4C	R1-48h 4D	R1-48h 4E	R1-48h 4F	R1-48h 4G	R1-48h 4H	R1-48h 5A	R1-48h 5B	R1-48h 5C	R1-48h 5D	R1-48h 5E	R1-48h 5F	R1-48h 5G	R1-48h 5H	R1-48h 6A	R1-48h 6B	R1-48h 6C	R1-48h 6D	R1-48h 6E	R1-48h 6F	R1-48h 6G	R1-48h 6H
Actb	9.925258314	11.2896324	9.951794145	10.42596161	19.3555472	10.57696472	11.47693795	15.50097739	11.26703549	12.87354118	11.71376356	13.50717174	13.11285063	10.27076151	18.60435134	11.07357159	11.19403819	11.40498299	10.68401376	12.1281897	11.4739153	12.15189353	12.84518571	11.2726542	10.06977464	11.10493339	10.66771051	10.74875738	11.67369056	12.15141202	11.45888117	11.24687442	11.2947315	13.46664037	12.9456529	10.18795972	12.88038193	10.64588587	10.76953422	11.39086963	11.21414519	10.42612184	10.27965879	11.3171636	10.87061981	11.48063959	11.38488191	11.23833867	12.40042451	12.17663442	12.69271319	999	13.87879987	13.81681675	11.79631708	12.12240737	12.09941956	11.98641032	11.56089433	12.94699413	12.74175067	11.09746267	12.84794978	8.382693967	11.924576	11.67843396	11.61556523	11.78225446	13.12388591	11.42475452	11.18717377	13.4174368	26.06336277	14.18474652	12.05099127	13.78415994	11.58399025	11.838211	10.48279167	12.63326009	12.57032113	12.8266489	11.62563687	13.55117542	12.6567771	12.86563355	12.4997149	10.8692918	11.93327359	12.29936744	10.86324025	9.890201807	13.45565968	8.568808009	14.25774649	12.34817689
Bmi1	17.70311689	17.2694883	17.75825414	16.48866651	999	999	17.78004247	999	17.98439854	26.4900939	17.14127417	18.27924802	17.47399044	17.36985176	999	18.50697269	17.83655717	16.07797177	999	17.396598	19.01020131	18.3705636	17.56399375	15.57630718	17.6587161	16.69070363	19.28494284	17.33660443	19.73116716	17.734589	19.21214384	17.93436842	17.52234896	15.83733958	18.17110579	999	18.15442072	17.36856845	18.73227677	18.33127525	999	19.0918849	16.76925024	19.04778504	17.49269576	16.94041952	17.41033381	16.71854543	17.98838923	16.98642208	999	999	19.16235072	25.51600582	999	999	19.04236643	999	18.28449538	19.88318609	18.9067423	18.95159331	19.26728521	16.96544233	18.36126821	18.12660248	18.17191211	19.36913124	19.85422073	999	19.47447066	16.83622174	999	16.70646245	999	18.22727915	17.64051316	19.84749067	16.00568734	999	18.7508506	999	999	19.35172333	20.6528095	18.89812045	18.86426531	999	999	999	17.39759913	20.11766089	19.15665962	14.94280757	18.96238752	20.77918046
Bmp4	19.04271203	999	18.62791471	999	999	999	999	999	999	999	999	999	18.91445231	999	999	17.49994047	999	18.16550511	999	999	999	999	999	16.03306283	15.9368632	18.3663694	999	18.66716402	999	999	999	19.66033825	18.79702469	999	999	999	999	999	18.4921153	999	18.3740434	999	999	999	999	999	16.96825952	999	17.89789963	999	17.35329234	999	999	15.92664707	18.57701689	16.69088298	999	999	999	999	16.67991575	17.59109074	19.04096991	16.10948295	15.8340149	14.82122122	999	21.32490978	17.7027669	999	15.54699561	17.85028582	999	999	18.69140166	18.77524781	17.65293187	17.1374253	999	17.27607423	18.50213153	999	15.78821623	999	999	999	16.42251726	999	999	999	999	18.75405048	999	14.82871805	19.8488272	999
Bmp7	999	999	999	999	999	999	999	999	999	999	999	999	22.1189666	999	999	999	999	999	999	999	999	999	999	19.07130831	999	999	999	18.88772934	999	999	999	999	999	18.77531403	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.99938828	18.27117408	999	999	999	999	999	999	999	999	19.25412432	999	999	999	999	999	999	999	999	999	999	999	999	999	17.88006741	19.19140028	999	17.77214302	999	999
Bmpr1a	16.4347546	999	17.69659564	999	999	18.1215721	17.50344074	999	16.25623045	18.03000731	999	999	21.64336058	16.83465844	999	16.90157333	15.85968676	15.32050561	15.79487322	17.89435408	16.70754427	999	18.16041553	999	16.72277389	16.35776653	15.84255819	15.24798022	16.58517125	999	15.50531369	17.70136098	999	999	17.58926387	999	17.91928551	17.22905926	16.78642485	17.13319061	17.4720487	15.4982811	17.36130556	999	16.33180398	999	16.5623221	16.46882064	999	17.95422604	999	999	17.64048912	999	999	17.67620688	17.74925442	16.15988212	999	16.97630015	17.34408991	15.86331346	999	14.66475071	14.54701786	15.83491148	16.81048349	16.15026173	18.06955098	16.94999273	16.82056772	17.04269784	999	999	18.15894083	999	16.43219228	16.06208783	15.38727104	18.07812175	16.93450151	15.23424647	15.78290258	17.21872367	999	16.7748018	999	999	17.38362486	999	999	16.5975763	999	13.61975542	18.07025241	17.21602473
Cd34	17.86025355	21.16219727	16.24064691	18.64807639	999	17.91983055	18.81735438	999	17.04019833	19.15811089	18.70423106	17.79981637	17.95040795	17.06385634	999	999	18.36426635	18.69457667	18.55997236	18.92226687	999	999	999	18.6174236	16.95077281	16.62915555	24.235232	17.12510765	17.93353453	999	17.83254087	999	16.33515818	19.10085412	16.79961262	18.45392022	18.58578334	18.79967663	18.39248124	18.76245927	17.92487461	999	999	18.93460399	999	16.60624402	16.45924272	18.5789436	17.19931633	999	18.97948445	999	19.08474546	17.56289763	17.64262	17.08170753	17.68302392	17.08243666	18.14764526	18.80540982	17.67779694	17.09919781	18.71132116	15.55800589	17.49311921	18.63017859	18.95634829	18.6840553	19.69789693	999	16.52520177	19.2455635	999	16.76037266	999	16.14152058	16.71551973	999	18.31309812	999	17.80778765	999	16.79570852	16.72778181	17.1730919	999	18.45087137	17.99319152	999	19.22151542	17.21428893	17.00656025	999	14.58361669	18.63732723	18.76830197
Cdh1	999	999	999	20.72232698	999	999	999	999	999	21.76171536	999	999	999	999	999	999	999	999	999	999	999	999	999	20.84675774	999	999	999	999	999	19.83997423	999	999	999	999	21.82511675	999	999	999	999	20.39471141	16.55471234	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.83085788	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.17037317	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.47491708	999	22.89953355	999	999	999	999	18.24850633
Cdh2	20.36061714	17.24128461	17.54524923	18.00311815	999	16.8700039	17.92587208	999	19.72669642	18.59700052	16.86377654	17.3033273	15.50911384	999	999	999	17.79797974	999	16.50603007	19.97439915	17.30541207	19.73186994	999	15.57546356	17.63798978	16.06141011	16.2898062	17.02504505	999	999	999	16.96857194	18.76906515	15.30471942	16.21804754	999	16.41017224	15.20900147	19.07666364	19.33316617	17.50524351	19.49234947	18.87536802	17.59919822	18.29185835	16.98109311	18.54196165	16.06587096	18.1762983	999	19.21807727	999	19.69310561	999	19.67229709	999	17.29293406	999	999	19.56925444	999	19.66713901	19.46015328	16.26381002	19.66609221	18.63790456	999	19.48509361	999	19.52966081	18.69895372	17.90516571	999	999	999	999	16.97047493	999	19.5508523	999	999	17.26607209	18.28356664	18.68955173	999	17.5316158	999	18.43625885	19.21479082	999	999	16.722067	19.78052065	15.81712937	19.60085623	18.53687413
Cdk2	14.59390045	16.0412523	13.43577524	14.60067598	999	14.86944217	16.27403139	20.87504326	15.39547906	14.71915378	15.56073231	17.55646814	16.25506376	15.1142688	18.61976272	17.2395626	15.2059281	14.76180334	15.2138242	14.9110834	14.70285228	14.76133649	17.40736447	15.54207508	16.34569002	14.92961244	14.08228373	14.68984533	15.07167329	18.56147149	16.91483267	14.47891331	15.6083091	17.36345834	18.28657679	15.22077093	16.09245278	15.37189978	15.12882033	17.62496263	14.27897576	14.60964508	14.22411875	15.10160608	15.55052084	16.03624288	15.23970835	16.1141304	14.85101067	17.06276585	15.15021623	999	15.66923253	14.94146022	16.69683055	16.44099991	15.845528	16.69959467	15.59666327	15.81424226	15.49734091	13.59934467	15.10587166	11.69541025	14.55495678	13.67672649	14.54512595	15.97400591	15.75287563	14.83349021	15.16684464	14.9781467	999	999	15.08001657	15.92694396	14.61327252	15.82559676	14.50074018	15.43913116	15.13178721	14.70011198	14.65325979	15.03914137	15.42418783	15.12248437	14.90574155	14.81952549	13.37331936	14.74931907	15.27898595	14.60982208	14.91489033	11.72083824	16.20679664	14.94476217
Cdx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.84450274	999	999	999	18.61607586	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.03323683	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
