Genes	E14tg2a-24h 1A	E14tg2a-24h 1B	E14tg2a-24h 1C	E14tg2a-24h 1D	E14tg2a-24h 1E	E14tg2a-24h 1F	E14tg2a-24h 1G	E14tg2a-24h 1H	E14tg2a-24h 2A	E14tg2a-24h 2B	E14tg2a-24h 2C	E14tg2a-24h 2D	E14tg2a-24h 2E	E14tg2a-24h 2F	E14tg2a-24h 2G	E14tg2a-24h 2H	E14tg2a-24h 3A	E14tg2a-24h 3B	E14tg2a-24h 3C	E14tg2a-24h 3D	E14tg2a-24h 3E	E14tg2a-24h 3F	E14tg2a-24h 3G	E14tg2a-24h 3H	E14tg2a-24h 4A	E14tg2a-24h 4B	E14tg2a-24h 4C	E14tg2a-24h 4D	E14tg2a-24h 4E	E14tg2a-24h 4F	E14tg2a-24h 4G	E14tg2a-24h 4H	E14tg2a-24h 5A	E14tg2a-24h 5B	E14tg2a-24h 5C	E14tg2a-24h 5D	E14tg2a-24h 5E	E14tg2a-24h 5F	E14tg2a-24h 5G	E14tg2a-24h 5H	E14tg2a-24h 6A	E14tg2a-24h 6B	E14tg2a-24h 6C	E14tg2a-24h 6D	E14tg2a-24h 6E	E14tg2a-24h 6F	E14tg2a-24h 6G	E14tg2a-24h 6H	R1-24h 1A	R1-24h 1B	R1-24h 1C	R1-24h 1D	R1-24h 1E	R1-24h 1F	R1-24h 1G	R1-24h 1H	R1-24h 2A	R1-24h 2B	R1-24h 2C	R1-24h 2D	R1-24h 2E	R1-24h 2F	R1-24h 2G	R1-24h 2H	R1-24h 3A	R1-24h 3B	R1-24h 3C	R1-24h 3D	R1-24h 3E	R1-24h 3F	R1-24h 3G	R1-24h 3H	R1-24h 4A	R1-24h 4B	R1-24h 4C	R1-24h 4D	R1-24h 4E	R1-24h 4F	R1-24h 4G	R1-24h 4H	R1-24h 5A	R1-24h 5B	R1-24h 5C	R1-24h 5D	R1-24h 5E	R1-24h 5F	R1-24h 5G	R1-24h 5H	R1-24h 6A	R1-24h 6B	R1-24h 6C	R1-24h 6D	R1-24h 6E	R1-24h 6F	R1-24h 6G	R1-24h 6H
Actb	13.1363609	11.79428644	12.52413262	11.63908351	11.21402748	10.50679277	18.71007686	11.8505019	10.89070533	10.70515309	11.31276616	12.4514966	13.64542708	11.94910602	999	10.73154861	12.61795133	25.69176116	11.40443567	12.30167342	11.39759053	13.55499117	11.21507389	10.86327081	11.12151346	11.90583605	18.94466121	13.30117	10.86811543	10.98476934	11.13985713	10.94290603	11.28714757	11.74462414	17.36785721	10.71106031	11.61373787	11.59493461	11.40485763	10.70574585	13.10743777	10.7732025	11.16884444	10.56102406	10.95650376	11.49932469	11.16827263	11.7286259	17.8657059	10.67146745	10.52714871	999	11.34792069	17.75522027	11.36136273	18.25892489	10.55420601	18.32084451	11.08865332	12.38050245	18.69334693	21.6649911	10.97319435	20.87827726	11.08131521	10.72154237	10.43881384	10.46421476	999	19.56326882	10.56359599	11.69168624	999	10.82630011	11.82504852	11.5456638	9.570718465	17.75615601	18.71810618	17.76814039	11.68102907	10.99704582	11.02481934	10.3200172	11.10181415	11.39437474	11.43423364	12.51921042	11.21799456	10.6522317	12.36340329	18.15881209	11.24041574	12.11169992	11.13279506	11.17455627
Bmi1	15.5822399	17.624659	15.78561036	18.01245627	18.38497001	17.00983082	999	17.64917216	16.8392028	16.56210221	16.95674727	16.31357759	17.49241787	18.44046828	999	17.95764401	18.87667434	999	19.34578139	999	17.04052984	17.78314317	999	17.7553906	19.11009181	16.54283757	999	16.73834975	17.96586493	17.04288674	18.82525779	16.79435493	17.396598	18.259691	999	18.32305095	18.32488773	19.21796139	19.09689683	999	17.74465209	17.18148578	19.51810454	16.913154	999	999	18.60542784	17.66976975	999	19.52951499	18.92249949	999	18.52684847	999	20.09899451	999	19.12349573	999	17.02711319	19.33050416	999	26.13850359	18.73068077	999	999	18.46689292	18.37711011	19.12386687	999	999	18.86705411	19.16256061	999	999	17.45951537	19.8249253	17.89029602	999	999	999	999	21.24907564	17.95558528	999	19.05197957	19.51573951	18.51578677	20.49460366	19.77377719	18.29021576	999	999	19.93493843	17.50990956	999	19.33705871
Bmp4	999	19.20500603	18.90207799	17.86627446	999	18.85217512	999	999	18.14957917	999	999	999	999	17.57035967	999	15.35347037	19.05913615	999	999	15.88321269	18.85649022	20.7255104	999	999	999	999	18.71723575	18.07881632	999	999	999	16.98947814	999	999	999	17.71938237	999	999	999	999	999	999	17.62550166	26.338007	15.51344767	999	18.69929486	18.2060644	999	17.6088148	999	999	999	999	999	999	999	999	999	999	999	999	18.81934086	999	14.3618852	19.75055786	999	16.78130422	999	999	16.40138486	18.8999917	999	999	999	999	999	999	999	999	15.01388551	18.96139163	17.67948176	19.06170808	16.47082375	24.86200732	17.42432251	26.86113792	999	17.93321778	999	999	999	14.96446299	999	999
Bmp7	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.27102726	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.41881836	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.64275003
Bmpr1a	18.97199689	18.47353856	16.83218316	16.60782409	17.22752063	15.6542966	999	18.44462572	16.43161593	17.21777212	17.72635001	16.8200841	999	17.33403084	999	17.84172572	17.23232153	999	16.18425316	999	17.02395931	16.93540899	999	17.99862326	16.55525407	18.95899416	999	16.91508463	17.12569797	17.97156241	17.50309279	17.54409371	999	15.95333838	999	999	19.03701176	25.95830563	999	18.27833014	18.04906566	17.16505087	15.97445815	18.18521844	17.67383468	19.4942524	17.19293407	19.19650859	999	17.22490471	17.19845862	999	17.39314884	999	23.70048168	999	16.85680252	999	16.3803776	18.45437354	999	25.84676303	19.03499047	25.6453258	18.37263948	17.68157506	17.68405025	17.84848527	999	999	17.51566791	19.01061315	999	999	18.29999206	999	16.12848806	999	999	999	16.65886407	18.06398136	999	18.01600758	17.99846431	38.32229705	25.3252702	18.54909277	17.31475031	16.85427562	19.34584818	999	18.14518092	999	19.06387007	18.38837536
Cd34	18.70649348	18.88728449	18.72765732	999	19.12496416	19.57353269	999	999	18.34500178	999	17.27034503	999	999	999	999	19.20813749	16.96548035	999	999	18.7631844	999	999	999	999	18.96718165	999	999	999	999	18.65552412	999	999	999	17.19133022	999	999	18.67271623	999	999	999	19.18613426	18.64418975	999	999	999	999	999	19.86006898	999	999	17.38338286	999	999	999	16.89862067	999	18.63491024	999	999	19.52169705	999	999	999	999	16.79284661	999	18.33195824	19.9286607	999	999	18.50920944	999	999	999	999	999	17.04301228	999	999	999	17.98936335	18.59896883	999	999	999	999	18.45208696	999	999	18.53860586	999	999	18.87213882	999	999	18.95182521
Cdh1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Cdh2	17.3635311	19.46898052	999	17.82301627	20.21299647	999	999	17.63900117	18.57465346	999	999	999	999	19.28585938	999	18.78075645	999	999	19.11184563	999	15.9928756	17.48132872	19.82536139	999	999	15.91881209	999	18.69419318	18.49134377	18.63619477	19.45070237	999	19.76651948	19.3245918	999	19.62280974	999	999	999	999	17.04474685	18.97151184	17.30861671	18.53947761	19.65100931	19.41562851	999	20.01488512	999	17.3993627	21.41562643	999	17.15550394	999	999	999	999	999	20.66345099	999	999	999	19.75591717	999	999	999	999	999	999	999	999	999	999	18.5650008	999	999	999	999	999	999	20.19938323	22.11061717	999	19.72109539	20.40482731	999	999	999	999	999	19.92946723	999	19.07341484	999	19.71667621	999
Cdk2	15.51360269	14.98141338	16.6543963	15.66814484	16.07515334	15.30373225	25.87192543	16.08101534	14.17156521	14.59221521	15.14874566	15.34233906	18.78354073	16.12351207	999	15.76995575	16.65657859	999	14.38030667	16.01706496	15.49686798	16.48820343	16.23188201	15.2145909	15.30634756	16.29486485	999	15.09917722	15.28874123	16.6866018	16.27783058	15.55906377	15.59908251	18.5524199	999	15.48606934	15.95196457	17.14912185	14.69602619	15.64709473	16.43064518	15.24151266	15.43967657	15.4616793	14.85380917	16.03300507	15.46168947	16.51550689	999	14.79851293	14.52944718	999	15.21655682	999	15.70449706	999	15.20938227	25.70333085	14.99541224	13.87764715	24.91422831	24.29502041	14.36041647	23.61535444	15.19986341	15.43750686	15.52937211	14.13667448	999	999	14.97993281	15.42035325	999	14.81460868	15.30277244	15.79902573	14.20273648	999	999	999	14.3480214	15.83510204	16.92197085	16.5371487	15.26562503	17.31372516	14.45711264	16.82177591	15.56747394	15.0869007	14.49157979	999	15.06513482	16.13918258	15.88452227	15.30880358
Cdx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
