,cl
E0,0
E1,1
E2,1
E3,1
E4,1
E5,1
E6,1
E7,1
E8,0
E9,0
E10,1
E11,1
E12,1
E13,1
E14,1
E15,1
E16,0
E17,0
E18,0
E19,1
E20,1
E21,1
E22,0
E23,1
E24,1
E25,1
E26,0
E27,0
E28,1
E29,0
E30,0
E31,0
E32,1
E33,1
E34,0
E35,1
E36,1
E37,1
E38,1
E39,1
E40,0
E41,1
E42,1
E43,1
E44,0
E45,0
E46,1
E47,1
E48,1
E49,1
E50,1
E51,0
E52,1
E53,0
E54,0
E55,0
E56,1
E57,0
E58,0
E59,0
E60,0
E61,0
E62,0
E63,0
E64,0
E65,0
E66,0
E67,0
E68,0
E69,1
E70,0
E71,1
E72,0
E73,0
E74,0
E75,0
E76,0
E77,0
E78,1
E79,1
E80,1
E81,0
E82,1
E83,0
E84,1
E85,1
E86,1
E87,1
E88,0
E89,0
E90,0
E91,1
E92,0
E93,1
E94,1
E95,0
E96,1
E97,0
E98,0
E99,1
E100,1
E101,0
E102,1
E103,1
E104,0
E105,0
E106,0
E107,1
E108,1
E109,1
E110,1
E111,0
E112,1
E113,0
E114,1
E115,0
E116,1
E117,1
E118,0
E119,0
E120,1
E121,1
E122,1
E123,0
E124,1
E125,1
E126,0
E127,1
E128,1
E129,1
E130,0
E131,1
E132,1
E133,0
E134,0
E135,0
E136,1
E137,1
E138,0
E139,0
E140,0
E141,0
E142,1
E143,0
E144,1
E145,1
E146,1
E147,1
E148,1
E149,1
E150,0
E151,0
E152,0
E153,0
E154,0
E155,0
E156,0
E157,1
E158,0
E159,1
E160,1
E161,1
E162,1
E163,1
E164,0
E165,1
E166,0
E167,0
E168,1
E169,0
E170,0
E171,1
E172,0
E173,0
E174,1
E175,0
E176,1
E177,1
E178,0
E179,0
E180,1
E181,1
E182,1
E183,0
E184,0
E185,1
E186,1
E187,0
E188,1
E189,0
E190,1
E191,0
E192,1
E193,0
E194,1
E195,0
E196,1
E197,1
E198,1
E199,0
E200,0
E201,1
E202,0
E203,0
E204,0
E205,1
E206,1
E207,1
E208,0
E209,1
E210,1
E211,0
E212,1
E213,0
E214,0
E215,0
E216,0
E217,1
E218,1
E219,0
E220,0
E221,1
E222,1
E223,0
E224,1
E225,1
E226,1
E227,1
E228,1
E229,1
E230,1
E231,0
E232,1
E233,1
E234,0
E235,0
E236,0
E237,1
E238,0
E239,0
E240,0
E241,1
E242,1
E243,1
E244,0
E245,1
E246,0
E247,1
E248,1
E249,1
E250,0
E251,1
E252,1
E253,1
E254,0
E255,0
E256,1
E257,0
E258,0
E259,0
E260,1
E261,1
E262,1
E263,1
E264,0
E265,0
E266,0
E267,0
E268,1
E269,0
E270,0
E271,0
E272,1
E273,0
E274,0
E275,1
E276,1
E277,0
E278,0
E279,1
E280,0
E281,0
E282,1
E283,1
E284,1
E285,1
E286,0
E287,0
E288,0
E289,0
E290,1
E291,1
E292,1
E293,0
E294,1
E295,0
E296,0
E297,0
E298,1
E299,1
E300,1
E301,1
E302,1
E303,0
E304,1
E305,0
E306,0
E307,1
E308,1
E309,1
E310,0
E311,0
E312,0
E313,0
E314,0
E315,1
E316,0
E317,1
E318,1
E319,1
E320,1
E321,0
E322,1
E323,0
E324,1
E325,0
E326,1
E327,0
E328,1
E329,1
E330,1
E331,1
E332,1
E333,0
E334,1
E335,0
E336,1
E337,0
E338,1
E339,0
E340,0
E341,0
E342,1
E343,0
E344,1
E345,1
E346,1
E347,0
E348,0
E349,0
E350,0
E351,0
E352,0
E353,1
E354,0
E355,0
E356,0
E357,1
E358,0
E359,1
E360,0
E361,0
E362,0
E363,1
E364,1
E365,0
E366,0
E367,1
E368,0
E369,1
E370,1
E371,0
E372,0
E373,1
E374,1
E375,1
E376,1
E377,1
E378,1
E379,1
E380,0
E381,0
E382,0
E383,0
E384,0
E385,0
E386,0
E387,0
E388,0
E389,1
E390,0
E391,0
E392,0
E393,1
E394,1
E395,1
E396,0
E397,1
E398,0
E399,1
E400,0
E401,1
E402,0
E403,1
E404,1
E405,1
E406,1
E407,1
E408,0
E409,1
E410,0
E411,0
E412,0
E413,0
E414,1
E415,0
E416,1
E417,1
E418,1
E419,0
E420,1
E421,0
E422,0
E423,1
E424,1
E425,1
E426,1
E427,1
E428,1
