,PseudoTime1,PseudoTime2,PseudoTime3
E809_415,NA,0.51824,NA
E49_13,NA,0.01258,NA
E438_256,NA,NA,0.31824
E693_783,NA,NA,0.98113
E51_246,NA,0.30566,NA
E905_781,NA,0.97862,NA
E365_497,0.62138,NA,NA
E752_66,0.07925,NA,NA
E578_247,0.30692,NA,NA
E949_404,NA,NA,0.5044
E456_746,NA,0.93459,NA
E972_748,NA,0.93711,NA
E661_16,0.01635,NA,NA
E893_94,NA,0.11447,NA
E815_775,NA,0.97107,NA
E67_341,NA,NA,0.42516
E211_699,0.87547,NA,NA
E446_544,NA,NA,0.6805
E514_178,0.22013,NA,NA
E932_357,NA,0.44528,NA
E320_728,NA,NA,0.91195
E396_666,0.83396,NA,NA
E938_212,0.26289,NA,NA
E562_713,NA,0.89308,NA
E208_4,NA,NA,0.00126
E130_201,NA,NA,0.24906
E481_26,NA,0.02893,NA
E52_794,NA,NA,0.99497
E36_318,0.39623,NA,NA
E50_792,0.99245,NA,NA
E47_728,NA,NA,0.91195
E393_439,0.54843,NA,NA
E349_468,NA,0.58491,NA
E998_646,NA,0.80881,NA
E767_594,NA,NA,0.7434
E412_367,0.45786,NA,NA
E315_336,0.41887,NA,NA
E367_396,NA,0.49434,NA
E556_505,NA,NA,0.63145
E415_327,0.40755,NA,NA
E343_525,0.6566,NA,NA
E475_260,NA,0.32327,NA
E689_153,NA,0.18868,NA
E584_99,NA,0.12075,NA
E164_178,NA,NA,0.22013
E363_578,NA,0.72327,NA
E600_419,0.52327,NA,NA
E95_499,NA,0.6239,NA
E440_591,0.73962,NA,NA
E159_773,NA,0.96855,NA
E692_521,0.65157,NA,NA
E30_575,0.7195,NA,NA
E776_473,NA,NA,0.59119
E282_294,NA,0.36604,NA
E249_755,0.94591,NA,NA
E250_181,NA,0.2239,NA
E361_242,NA,0.30063,NA
E181_512,NA,NA,0.64025
E210_3,NA,NA,0.0
E373_142,0.17484,NA,NA
E371_430,NA,NA,0.53711
E334_428,NA,NA,0.53459
E503_213,NA,0.26415,NA
E148_385,NA,NA,0.4805
E964_225,0.27925,NA,NA
E923_185,NA,0.22893,NA
E337_405,NA,NA,0.50566
E88_222,NA,0.27547,NA
E90_598,NA,NA,0.74843
E847_177,NA,NA,0.21887
E853_674,NA,0.84403,NA
E642_549,NA,NA,0.68679
E534_5,NA,NA,0.00252
E146_576,NA,NA,0.72075
E466_545,NA,0.68176,NA
E358_522,NA,0.65283,NA
E280_385,NA,0.4805,NA
E155_769,0.96352,NA,NA
E281_546,NA,0.68302,NA
E189_162,0.2,NA,NA
E295_451,NA,0.56352,NA
E237_518,0.6478,NA,NA
E878_241,NA,NA,0.29937
E839_537,NA,NA,0.6717
E881_687,0.86038,NA,NA
E31_182,NA,0.22516,NA
E330_369,NA,0.46038,NA
E870_270,NA,NA,0.33585
E810_791,NA,0.99119,NA
E595_540,NA,0.67547,NA
E867_333,NA,NA,0.41509
E158_131,NA,0.16101,NA
E463_651,NA,0.81509,NA
E632_534,NA,NA,0.66792
E921_259,0.32201,NA,NA
E46_504,NA,NA,0.63019
E927_168,NA,NA,0.20755
E687_438,NA,0.54717,NA
E554_741,NA,NA,0.9283
E32_502,NA,NA,0.62767
E324_656,NA,0.82138,NA
E667_613,0.7673,NA,NA
E558_755,0.94591,NA,NA
E834_137,NA,0.16855,NA
E702_60,NA,NA,0.0717
E283_297,NA,0.36981,NA
E986_482,NA,NA,0.60252
E633_663,NA,0.83019,NA
E655_250,0.31069,NA,NA
E147_740,NA,0.92704,NA
E597_281,NA,0.34969,NA
E908_595,NA,0.74465,NA
E239_492,NA,0.61509,NA
E579_146,NA,0.17987,NA
E962_446,NA,0.55723,NA
E304_772,NA,NA,0.9673
E601_304,0.37862,NA,NA
E435_501,NA,0.62642,NA
E293_31,NA,0.03522,NA
E789_353,NA,NA,0.44025
E713_287,NA,NA,0.35723
E545_502,NA,NA,0.62767
E561_544,NA,NA,0.6805
E465_505,NA,NA,0.63145
E942_73,NA,0.08805,NA
E309_179,0.22138,NA,NA
E913_769,0.96352,NA,NA
E651_385,NA,NA,0.4805
E149_246,NA,NA,0.30566
E263_724,0.90692,NA,NA
E19_267,NA,NA,0.33208
E454_331,NA,0.41258,NA
