,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.5075619364542243,0.30636257182560056,0.07766876576543147,0.029046225393498024,0.032446167372340386,0.04913636312219651,0.04904883740613846,0.08674225366134829,0.13681669924004314
g10,0.4688250048828767,0.0,0.18757616090242,0.07299277191320692,0.04671865554543106,0.04710004473063279,0.05948227502256467,0.0662633732114133,0.17195140022287386,0.3148639398389036
g2,0.13760117863260965,0.11864485267225369,0.0,0.2106116239929624,0.02030902733292935,0.021387599041915912,0.02724106052192672,0.04488932850646789,0.037772748770818536,0.044085404413464375
g3,0.017483980486644207,0.010894273581718093,0.168436946976302,0.0,0.07813635851587455,0.06589791940705968,0.05505023901120172,0.043786449497602874,0.03428936106587687,0.014753792641750477
g4,0.028251430379574373,0.02365879976378874,0.04807225290016465,0.13568018249140384,0.0,0.1941185682733282,0.3304732592524404,0.21780683076456264,0.04201485936216219,0.06722089426321523
g5,0.024322451688415975,0.01683128667902955,0.04993612022396542,0.13584519488349012,0.1812869974450676,0.0,0.2020192172403261,0.31230737061628905,0.04979249674515088,0.05047269298115932
g6,0.026517776329584495,0.020448670964957734,0.04935584846350028,0.07064178729272778,0.292016484509955,0.14243464458570457,0.0,0.09064587873258352,0.061696987547161915,0.021394150324738813
g7,0.02786077975290652,0.024424045897889737,0.0554096500567933,0.06715018254720898,0.1291322592090876,0.2717956998643611,0.0806812343520057,0.0,0.053930899817923254,0.022276377001830678
g8,0.06978787020451259,0.07165783404431932,0.04722849330894203,0.13875360034305578,0.08548755658205945,0.0914094093880946,0.1422085889008462,0.11853399375087359,0.0,0.3281472035349799
g9,0.19910967592311013,0.20473718976941072,0.08914941159186178,0.0880147281109412,0.13912189754339763,0.1322528011666111,0.051735457684065296,0.057131152615732525,0.46126396847896145,0.0
