,PseudoTime1,PseudoTime2
E142_149,0.1857,NA
E368_738,0.92472,NA
E415_790,0.98996,NA
E752_65,0.0803,NA
E355_6,0.00627,NA
E909_377,NA,0.47177
E762_354,0.44291,NA
E681_50,0.06148,NA
E213_621,0.77792,NA
E404_633,NA,0.79297
E454_305,NA,0.38143
E282_59,0.07277,NA
E11_308,0.38519,NA
E755_58,NA,0.07152
E542_309,0.38645,NA
E111_219,NA,0.27353
E601_738,0.92472,NA
E731_17,0.02008,NA
E509_240,0.29987,NA
E926_341,0.4266,NA
E760_434,NA,0.54329
E624_158,NA,0.19699
E373_450,0.56336,NA
E151_633,0.79297,NA
E519_89,NA,0.11041
E941_764,NA,0.95734
E87_464,0.58093,NA
E12_346,NA,0.43287
E557_578,0.72396,NA
E440_448,0.56085,NA
E484_402,NA,0.50314
E326_256,0.31995,NA
E480_502,NA,0.62861
E912_161,0.20075,NA
E565_276,NA,0.34504
E444_657,NA,0.82309
E629_682,0.85445,NA
E406_27,NA,0.03262
E887_256,NA,0.31995
E231_160,NA,0.1995
E924_6,NA,0.00627
E905_125,0.15558,NA
E457_311,NA,0.38896
E923_528,0.66123,NA
E410_43,0.0527,NA
E487_85,NA,0.1054
E568_543,NA,0.68005
E488_754,NA,0.94479
E826_231,NA,0.28858
E669_358,0.44793,NA
E506_485,NA,0.60728
E348_36,0.04391,NA
E419_735,0.92095,NA
E103_700,NA,0.87704
E417_645,0.80803,NA
E527_424,0.53074,NA
E175_276,0.34504,NA
E359_62,0.07654,NA
E716_320,0.40025,NA
E249_767,0.9611,NA
E367_136,NA,0.16939
E680_358,NA,0.44793
E928_162,NA,0.20201
E21_211,0.26349,NA
E700_294,0.36763,NA
E332_339,0.42409,NA
E577_792,NA,0.99247
E959_704,NA,0.88206
E133_416,0.5207,NA
E492_798,1.0,NA
E689_177,NA,0.22083
E78_116,0.14429,NA
E374_788,NA,0.98745
E783_467,0.58469,NA
E938_324,0.40527,NA
E996_34,NA,0.04141
E41_239,0.29862,NA
E278_23,0.0276,NA
E265_782,0.97992,NA
E911_746,0.93476,NA
E684_61,0.07528,NA
E529_790,NA,0.98996
E953_11,0.01255,NA
E582_487,NA,0.60979
E910_244,NA,0.30489
E927_794,NA,0.99498
E497_315,0.39398,NA
E849_44,0.05395,NA
E104_464,0.58093,NA
E432_83,0.10289,NA
E331_169,NA,0.21079
E477_727,NA,0.91092
E145_572,NA,0.71644
E463_319,0.399,NA
E178_761,0.95358,NA
E314_38,NA,0.04642
E551_539,NA,0.67503
E683_392,NA,0.49059
E818_456,0.57089,NA
E267_686,0.85947,NA
E177_230,NA,0.28733
E181_542,0.6788,NA
E338_736,NA,0.92221
E270_243,0.30364,NA
E942_333,NA,0.41656
E931_340,NA,0.42535
E627_228,NA,0.28482
E490_442,0.55332,NA
E699_720,0.90213,NA
E869_63,NA,0.07779
E566_197,0.24592,NA
E353_335,0.41907,NA
E866_145,NA,0.18068
E599_636,NA,0.79674
E325_202,NA,0.2522
E800_500,NA,0.6261
E660_715,0.89586,NA
E45_609,NA,0.76286
E982_329,NA,0.41154
E727_15,0.01757,NA
E174_414,0.51819,NA
E246_758,0.94981,NA
E907_774,0.96989,NA
E416_373,NA,0.46675
E933_262,NA,0.32748
E139_575,NA,0.7202
E342_788,0.98745,NA
E729_694,NA,0.86951
E921_595,0.74529,NA
E520_621,0.77792,NA
E323_577,NA,0.72271
E324_755,0.94605,NA
E117_750,0.93977,NA
E984_729,0.91343,NA
E312_607,NA,0.76035
E851_684,NA,0.85696
E486_729,0.91343,NA
E426_237,0.29611,NA
E106_36,NA,0.04391
E990_278,NA,0.34755
E393_137,0.17064,NA
