305,124,51,117,89,179,131,238,282,270,251,261,220,128,142,85,111,23
280,213,293,176,228,18,113,88,193,178,181,153,97,6,1,135,286,309
224,315,225,302,196,180,9,41,60,216,182,63,42,127,5,118,284,274
240,303,306,231,264,269,93,114,136,223,177,44,37,61,134,112,71,152
257,160,271,314,199,254,262,248,59,204,140,53,115,29,119,26,34,192
227,252,141,241,320,205,273,290,132,155,162,54,90,55,10,163,126,78
313,187,105,211,283,308,222,256,212,246,173,108,104,28,4,66,20,38
198,146,95,137,307,316,317,243,258,190,109,68,86,151,30,46,203,32
189,170,99,234,191,232,321,322,265,210,129,102,96,77,40,43,123,156
255,167,73,145,221,148,267,318,319,217,195,169,25,84,11,81,165,110
324,101,3,17,62,120,103,64,130,288,249,300,253,263,188,47,166,157
323,83,27,139,242,149,31,107,121,260,185,245,295,292,215,69,16,70
312,147,194,24,76,52,214,79,106,200,171,287,244,278,272,174,33,57
175,49,2,36,143,14,39,19,100,239,266,304,311,207,291,285,74,236
197,50,15,98,116,154,8,7,65,259,247,184,279,299,164,297,281,138
233,144,13,150,21,58,67,122,48,219,209,133,226,275,301,218,298,229
183,201,45,161,75,35,94,208,159,235,268,56,125,168,250,310,172,276
237,277,289,206,87,22,12,91,186,158,80,82,72,92,230,294,296,202
