TE	0	1	2	3	4	5	6	7	8	9
0	0	0.008469988790249846	0.07201151308989966	0.07692834405103408	0.014937961525744402	0.030591573741447504	0.020978026130155127	0.027762467609020656	0.03661942872645928	0.03007824586546172
1	0.015178625224475027	0	0.06791494496088797	0.08408616267030204	0.004444997451970348	0.009878438257864386	0.019594956200502844	0.030638136056945788	0.03669597521690656	0.0346107632951954
2	0.04922504521449838	0.0435586460630529	0	0.08839489568885338	0.017979195194189758	0.02947321647741523	0.02072275659967122	0.029837025046739536	0.03688557513848804	0.03981344932133746
3	0.04393975479275846	0.04707025534512601	0.08191195424625024	0	0.018540892223531898	0.024725244414456993	0.024179893590872373	0.03867131011354134	0.04432830606798992	0.039245808418139815
4	0.047254450812885034	0.008184281329055356	0.07246036994613075	0.08885578491020137	0	0.03667658831057279	0.022210739401021317	0.030494429474541673	0.025353244155253484	0.007757588545865351
5	0.0334608389997421	0.010608078473570674	0.0726101351865321	0.07186619426284284	0.02746615491637245	0	0.03473509094834985	0.027945915338540336	0.024368314420800306	0.020739731545731402
6	0.04710912420794135	0.0038031705286437783	0.043530898545908484	0.06364215324803246	0.018529772281408785	0.03187833863389004	0	0.036576304285337355	0.027047744948849907	0.0329097175495131
7	0.04225428801851628	0.013549685405937798	0.08161961619126139	0.05073879336918342	0.01549300342482401	0.021780307338406087	0.034939859867466325	0	0.024130064761331404	0.031313300402450846
8	0.041251016165124284	0.0236561204994837	0.08391129022907896	0.06798627892644149	0.01635675393404663	0.027548951125467867	0.027041704593994083	0.026665169137402113	0	0.02797270484528917
9	0.03572549459758417	0.036278620058261005	0.06505104300182608	0.08468711437433403	0.015501696533375098	0.022982485796851092	0.024542524922149794	0.029508407309989076	0.03099126499128837	0
