TE	0	1	2	3	4	5	6	7	8	9
0	0	0.007930378402699998	0.0653061640143101	0.05636985891040236	0.031096264483539363	0.04890738396360625	0.04267608961449376	0.0725491116853847	0.028784533996270404	0.026612370692919697
1	0.013455465531468	0	0.06825149137061386	0.059218790580038455	0.006445446032521523	0.012156110519350555	0.02195645085621623	0.054713900267441	0.016288218701473636	0.031035187789181077
2	0.029398146385726492	0.0401067779359313	0	0.06681039984530214	0.02509404390723651	0.04183316570811707	0.03872842422295271	0.05866367105349853	0.022855070637129663	0.02338302973463642
3	0.018189012508567207	0.04380589510042485	0.06835531296321071	0	0.02984693111995617	0.03839658399483603	0.04712473344176853	0.05544013270924959	0.024931036393624966	0.026618869820681873
4	0.03179745316963583	0.010906901867514893	0.046236989643335696	0.05679409975658307	0	0.08506009078454799	0.05108494742268746	0.07010687438470795	0.029194814964973528	0.013368379093307682
5	0.01923121610075256	0.014739078948501417	0.03950208404210023	0.04981757543931211	0.07060120247144532	0	0.052256189225157304	0.08258639255463683	0.018817928987195375	0.02660564094667265
6	0.025909059886471877	0.007090117507717445	0.03657987913324068	0.04537768010120677	0.050408295546821046	0.05325016940807255	0	0.07627422064475664	0.024832684543426374	0.03962916507928093
7	0.03260746576005324	0.015899922717135462	0.04415938179905619	0.040060562563822906	0.031271013943391816	0.05236346192012009	0.07042762915778952	0	0.011354350666096458	0.039403604562386285
8	0.0295634598400976	0.02245812935041186	0.06100650859091796	0.050092977123515584	0.03611604242247429	0.06712661011571731	0.04675318834126049	0.09901589605947925	0	0.03305283571864364
9	0.01984958337345584	0.029591818510164906	0.06165475333780594	0.05591141298080173	0.021048450240540667	0.046307269933044515	0.04586563083903227	0.09398756219008393	0.024208455873507225	0
