,cl
E0,1
E1,1
E2,0
E3,0
E4,1
E5,0
E6,1
E7,0
E8,0
E9,0
E10,0
E11,0
E12,1
E13,0
E14,1
E15,1
E16,0
E17,0
E18,0
E19,1
E20,0
E21,0
E22,1
E23,1
E24,0
E25,0
E26,1
E27,1
E28,1
E29,0
E30,1
E31,1
E32,1
E33,0
E34,1
E35,1
E36,1
E37,0
E38,1
E39,0
E40,0
E41,0
E42,0
E43,1
E44,1
E45,1
E46,0
E47,1
E48,1
E49,0
E50,0
E51,1
E52,1
E53,1
E54,1
E55,1
E56,0
E57,0
E58,1
E59,0
E60,1
E61,0
E62,1
E63,0
E64,1
E65,0
E66,1
E67,0
E68,0
E69,1
E70,1
E71,1
E72,0
E73,0
E74,0
E75,1
E76,0
E77,0
E78,0
E79,0
E80,0
E81,1
E82,1
E83,0
E84,1
E85,1
E86,0
E87,0
E88,0
E89,1
E90,1
E91,0
E92,0
E93,0
E94,0
E95,1
E96,0
E97,0
E98,1
E99,0
E100,0
E101,0
E102,1
E103,1
E104,0
E105,1
E106,1
E107,1
E108,0
E109,0
E110,0
E111,1
E112,1
E113,1
E114,1
E115,1
E116,0
E117,0
E118,0
E119,1
E120,1
E121,0
E122,0
E123,1
E124,1
E125,0
E126,0
E127,1
E128,0
E129,0
E130,1
E131,0
E132,0
E133,0
E134,0
E135,1
E136,0
E137,1
E138,0
E139,1
E140,0
E141,0
E142,0
E143,1
E144,1
E145,1
E146,1
E147,1
E148,0
E149,1
E150,0
E151,0
E152,0
E153,0
E154,0
E155,0
E156,0
E157,0
E158,0
E159,1
E160,0
E161,0
E162,1
E163,0
E164,0
E165,1
E166,0
E167,1
E168,0
E169,1
E170,0
E171,1
E172,1
E173,0
E174,0
E175,0
E176,1
E177,1
E178,0
E179,0
E180,1
E181,0
E182,0
E183,0
E184,0
E185,1
E186,1
E187,0
E188,0
E189,1
E190,1
E191,1
E192,1
E193,0
E194,1
E195,0
E196,1
E197,0
E198,0
E199,0
E200,1
E201,0
E202,0
E203,0
E204,0
E205,0
E206,0
E207,1
E208,0
E209,0
E210,0
E211,1
E212,1
E213,0
E214,1
E215,0
E216,0
E217,1
E218,0
E219,0
E220,1
E221,1
E222,0
E223,1
E224,0
E225,1
E226,1
E227,0
E228,1
E229,1
E230,0
E231,1
E232,1
E233,0
E234,0
E235,0
E236,1
E237,1
E238,0
E239,0
E240,1
E241,0
E242,1
E243,0
E244,0
E245,1
E246,0
E247,0
E248,1
E249,0
E250,1
E251,1
E252,0
E253,1
E254,0
E255,0
E256,0
E257,1
E258,1
E259,0
E260,0
E261,1
E262,1
E263,1
E264,0
E265,0
E266,0
E267,0
