SourceGENES,TargetGENES,Interaction,Edges
Gene  3 ,Gene  2 ,1,activation/repression
Gene  3 ,Gene  1 ,0.321576159610527,activation/repression
Gene  1 ,Gene  5 ,0.220352458859232,activation/repression
Gene  1 ,Gene  4 ,0.202474261495887,activation/repression
Gene  3 ,Gene  5 ,0.130448841046192,activation/repression
Gene  3 ,Gene  8 ,0.115019854856367,activation/repression
Gene  2 ,Gene  1 ,0.0684797640780362,activation/repression
Gene  2 ,Gene  8 ,0.0564086307493372,activation/repression
Gene  5 ,Gene  3 ,0.0488099713755248,activation/repression
Gene  1 ,Gene  9 ,0.0287141537341008,activation/repression
Gene  2 ,Gene  9 ,0.0284535806524934,activation/repression
Gene  2 ,Gene  5 ,0.0265932700808646,activation/repression
Gene  2 ,Gene  4 ,0.0255178594038146,activation/repression
Gene  5 ,Gene  4 ,0.0131665728608148,activation/repression
Gene  4 ,Gene  3 ,6.67920323789606e-37,activation/repression
Gene  7 ,Gene  8 ,5.27468437346171e-37,activation/repression
Gene  9 ,Gene  4 ,2.27132156563063e-37,activation/repression
Gene  9 ,Gene  5 ,1.8449862262676e-37,activation/repression
Gene  4 ,Gene  5 ,1.41262748525457e-37,activation/repression
Gene  8 ,Gene  6 ,1.04002832016164e-37,activation/repression
Gene  8 ,Gene  1 ,9.27078816056812e-38,activation/repression
Gene  8 ,Gene  9 ,3.97018755978875e-38,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  6 ,0,no regulation
Gene  2 ,Gene  7 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  3 ,Gene  9 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  9 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  9 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  5 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  9 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  5 ,0,no regulation
Gene  7 ,Gene  6 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  9 ,0,no regulation
Gene  8 ,Gene  2 ,0,no regulation
Gene  8 ,Gene  3 ,0,no regulation
Gene  8 ,Gene  4 ,0,no regulation
Gene  8 ,Gene  5 ,0,no regulation
Gene  8 ,Gene  7 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
Gene  9 ,Gene  1 ,0,no regulation
Gene  9 ,Gene  2 ,0,no regulation
Gene  9 ,Gene  3 ,0,no regulation
Gene  9 ,Gene  6 ,0,no regulation
Gene  9 ,Gene  7 ,0,no regulation
Gene  9 ,Gene  8 ,0,no regulation
Gene  9 ,Gene  9 ,0,no regulation
