SourceGENES,TargetGENES,Interaction,Edges
Gene  1 ,Gene  5 ,1,activation/repression
Gene  2 ,Gene  1 ,0.835248794326704,activation/repression
Gene  3 ,Gene  2 ,0.790798900876475,activation/repression
Gene  3 ,Gene  9 ,0.621120074368557,activation/repression
Gene  2 ,Gene  6 ,0.492346351639544,activation/repression
Gene  3 ,Gene  1 ,0.411151223139133,activation/repression
Gene  1 ,Gene  4 ,0.341962149122342,activation/repression
Gene  2 ,Gene  5 ,0.264344558738673,activation/repression
Gene  9 ,Gene  7 ,0.110528630302902,activation/repression
Gene  1 ,Gene  3 ,0.105287909845264,activation/repression
Gene  9 ,Gene  8 ,0.0641671611239838,activation/repression
Gene  9 ,Gene  6 ,0.0370865751063661,activation/repression
Gene  7 ,Gene  9 ,7.19589827576121e-37,activation/repression
Gene  4 ,Gene  3 ,5.00009279976013e-37,activation/repression
Gene  8 ,Gene  7 ,4.68604727121086e-37,activation/repression
Gene  8 ,Gene  6 ,3.5308630616807e-37,activation/repression
Gene  5 ,Gene  3 ,3.27850875503352e-37,activation/repression
Gene  7 ,Gene  6 ,3.04543189989931e-37,activation/repression
Gene  7 ,Gene  5 ,2.2547756697058e-37,activation/repression
Gene  5 ,Gene  4 ,1.68156952238628e-37,activation/repression
Gene  7 ,Gene  4 ,1.48722304311395e-37,activation/repression
Gene  7 ,Gene  1 ,8.35073979039253e-38,activation/repression
Gene  8 ,Gene  1 ,6.33287317208058e-38,activation/repression
Gene  5 ,Gene  6 ,6.03867842783137e-38,activation/repression
Gene  6 ,Gene  5 ,4.28468496284487e-38,activation/repression
Gene  4 ,Gene  7 ,8.32876443203454e-39,activation/repression
Gene  8 ,Gene  2 ,5.27405482566888e-39,activation/repression
Gene  6 ,Gene  4 ,2.86659198104278e-39,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  1 ,Gene  9 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  4 ,0,no regulation
Gene  2 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  8 ,0,no regulation
Gene  2 ,Gene  9 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  3 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  9 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  9 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  9 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  3 ,0,no regulation
Gene  8 ,Gene  4 ,0,no regulation
Gene  8 ,Gene  5 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  9 ,0,no regulation
Gene  9 ,Gene  1 ,0,no regulation
Gene  9 ,Gene  2 ,0,no regulation
Gene  9 ,Gene  3 ,0,no regulation
Gene  9 ,Gene  4 ,0,no regulation
Gene  9 ,Gene  5 ,0,no regulation
Gene  9 ,Gene  9 ,0,no regulation
