SourceGENES,TargetGENES,Interaction,Edges
Gene  3 ,Gene  2 ,1,activation/repression
Gene  3 ,Gene  1 ,0.926818807060134,activation/repression
Gene  3 ,Gene  8 ,0.839689357293016,activation/repression
Gene  1 ,Gene  10 ,0.795247406153361,activation/repression
Gene  3 ,Gene  7 ,0.6617451891307,activation/repression
Gene  4 ,Gene  3 ,0.653035494323184,activation/repression
Gene  1 ,Gene  9 ,0.57729425410813,activation/repression
Gene  1 ,Gene  2 ,0.497977468421652,activation/repression
Gene  7 ,Gene  6 ,0.432848030633044,activation/repression
Gene  8 ,Gene  6 ,0.345896182249045,activation/repression
Gene  2 ,Gene  9 ,0.330007666246753,activation/repression
Gene  3 ,Gene  10 ,0.308103023176422,activation/repression
Gene  2 ,Gene  10 ,0.287338614525541,activation/repression
Gene  4 ,Gene  1 ,0.261127776768477,activation/repression
Gene  7 ,Gene  5 ,0.244281978131233,activation/repression
Gene  8 ,Gene  5 ,0.201773458415602,activation/repression
Gene  1 ,Gene  7 ,0.100139489755379,activation/repression
Gene  3 ,Gene  4 ,0.0829332926729447,activation/repression
Gene  7 ,Gene  9 ,0.0551653932844477,activation/repression
Gene  8 ,Gene  10 ,0.0132058886357874,activation/repression
Gene  10 ,Gene  9 ,5.68462255828794e-36,activation/repression
Gene  10 ,Gene  7 ,5.42652275354885e-36,activation/repression
Gene  9 ,Gene  7 ,5.42295126444611e-36,activation/repression
Gene  6 ,Gene  5 ,4.27183307546623e-36,activation/repression
Gene  9 ,Gene  8 ,4.19150605128129e-36,activation/repression
Gene  9 ,Gene  6 ,3.98119287647325e-36,activation/repression
Gene  5 ,Gene  6 ,3.10611748815123e-36,activation/repression
Gene  5 ,Gene  4 ,2.56611155597338e-36,activation/repression
Gene  10 ,Gene  8 ,2.37558383482538e-36,activation/repression
Gene  6 ,Gene  4 ,2.17009512612059e-36,activation/repression
Gene  9 ,Gene  5 ,1.83095313425956e-36,activation/repression
Gene  10 ,Gene  6 ,9.92114770792635e-37,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  4 ,0,no regulation
Gene  1 ,Gene  5 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  2 ,Gene  1 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  4 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  2 ,Gene  6 ,0,no regulation
Gene  2 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  8 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  9 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  9 ,0,no regulation
Gene  4 ,Gene  10 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  3 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  9 ,0,no regulation
Gene  5 ,Gene  10 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  9 ,0,no regulation
Gene  6 ,Gene  10 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  8 ,0,no regulation
Gene  7 ,Gene  10 ,0,no regulation
Gene  8 ,Gene  1 ,0,no regulation
Gene  8 ,Gene  2 ,0,no regulation
Gene  8 ,Gene  3 ,0,no regulation
Gene  8 ,Gene  4 ,0,no regulation
Gene  8 ,Gene  7 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  9 ,0,no regulation
Gene  9 ,Gene  1 ,0,no regulation
Gene  9 ,Gene  2 ,0,no regulation
Gene  9 ,Gene  3 ,0,no regulation
Gene  9 ,Gene  4 ,0,no regulation
Gene  9 ,Gene  9 ,0,no regulation
Gene  9 ,Gene  10 ,0,no regulation
Gene  10 ,Gene  1 ,0,no regulation
Gene  10 ,Gene  2 ,0,no regulation
Gene  10 ,Gene  3 ,0,no regulation
Gene  10 ,Gene  4 ,0,no regulation
Gene  10 ,Gene  5 ,0,no regulation
Gene  10 ,Gene  10 ,0,no regulation
