,g1,g10,g11,g12,g13,g14,g15,g16,g17,g18,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.008119004032207059,0.005456152605446739,0.005500839800188906,0.00586670966224797,0.007046845163850471,0.007436615064536003,0.012153587368544884,0.028453410455836402,0.20969629092985045,0.06140190997525835,0.029956579174891466,0.020032390024177858,0.012906302716135288,0.011265039432345164,0.008601291525750156,0.007533596815357011,0.00841658046949561
g10,0.056018380328667454,0.0,0.23531427192320606,0.12095927172497555,0.06460421216894427,0.03258882544861453,0.02302005626726824,0.019678814238765663,0.030748890159220103,0.031230291955285316,0.052358961671586796,0.031464198938289924,0.03102357994537173,0.025502522657552158,0.04831769488472712,0.09123581862165356,0.13182476316541472,0.25207198622752747
g11,0.05426284058147955,0.29056134496293295,0.0,0.24241076589929605,0.12345584374009888,0.0646370521735588,0.03654978823374909,0.02742987357087511,0.023090491615021497,0.031273358962714076,0.05414468941306485,0.03035291843885052,0.024739342101268803,0.020078268890851087,0.028044925974418915,0.045968809808056295,0.0806412736494692,0.11946948173230656
g12,0.05140947100304692,0.15376149231847958,0.304857756054996,0.0,0.23470076035746743,0.12193218324801418,0.05826704665539165,0.038281009913290275,0.031006021432105256,0.03388148844086752,0.05343197522290631,0.030754276151126532,0.025419034542593408,0.016347603866449123,0.02235537850605503,0.02788628552677135,0.04546000267239521,0.061694654115838944
g13,0.05034574697126151,0.07204442810086102,0.143267135995013,0.29035178372974374,0.0,0.26711200451631906,0.11820881071054092,0.06882866670799877,0.04313237123918165,0.046189058501544256,0.05308295388631872,0.03321673277519455,0.017556399801448783,0.01608438857560068,0.014330795804317665,0.01462600162774514,0.024804285576387298,0.030475939576850047
g14,0.05257579855467535,0.03370127436806466,0.04152566801218335,0.1288134151386554,0.29995755442416594,0.0,0.2265366526650278,0.12686177696400125,0.07504101314447616,0.044418906161466765,0.052432899648098406,0.02657303623397516,0.017411073542459354,0.014741800400118448,0.01387177453194758,0.012327156206825807,0.013068002339907807,0.018234653679189028
g15,0.0561478814099841,0.014557546662827244,0.02151215391997036,0.03939234563281255,0.11241597918497269,0.2734585407731535,0.0,0.29178988077909235,0.132852959211923,0.04816162430266308,0.0535490423052503,0.03347817051453093,0.019130810875827724,0.017025057766958035,0.011457661067050809,0.010534591985718137,0.009806934097389428,0.011160602301709219
g16,0.06758379110633445,0.008367091246437836,0.01232310529981772,0.01714964497797668,0.04050638305620848,0.10410605937673414,0.336605228529644,0.0,0.3146564729562418,0.0918129114954354,0.04943524097589819,0.030160145402248123,0.019778830838270464,0.013217030975981946,0.011268450985490036,0.00879968675857152,0.0076720200241713965,0.00761498716362423
g17,0.06768800822199295,0.00868558044304864,0.008218623576333893,0.007439018531967937,0.015041520429017295,0.033275829752739745,0.08910820079281792,0.277919902203788,0.0,0.23101475913428907,0.04738703289616673,0.02912842212494,0.01865457994440892,0.013607144509722209,0.010772310186828095,0.008715085507821872,0.008526697111896164,0.00841589970226559
g18,0.1281951806922526,0.007012338969842966,0.00633058446495518,0.006377026458814146,0.0069252827764640194,0.009004682410986141,0.016140043761095926,0.045715969808371774,0.17874620862725762,0.0,0.05048434774366474,0.026887722278151446,0.018024222941635408,0.012941883766639666,0.010229252594098983,0.009477749470366661,0.007178091709758697,0.006918641509232792
g2,0.05713595599392589,0.007117548856729396,0.005534245291882637,0.005663459145973951,0.005746099182806617,0.007483504613110788,0.011544941638038615,0.010181994110236164,0.019705837711936198,0.01892092510267876,0.0,0.09885801288875963,0.026537392917909422,0.01571089619957817,0.012160756653176381,0.008536451733800856,0.00726348077756675,0.007669951855838889
g3,0.054822146191506195,0.0070489697914875565,0.005298838001982721,0.006275063225666502,0.008069619824741874,0.007310215519340979,0.006998268929248912,0.008366673591503917,0.024403839802941498,0.030989674654185572,0.11423645203894923,0.0,0.157429504138422,0.04941181080195706,0.01945757399734352,0.012455567648462623,0.007325514521737876,0.0076375802321531835
g4,0.05076168074843192,0.009243244470515256,0.00808245069692415,0.00567136113185802,0.006019943826169542,0.008680399449566478,0.00794874720980781,0.011058801413530883,0.01439323683998514,0.04108504069037587,0.07864664388050292,0.2755180596208441,0.0,0.20831408698705098,0.06883358902400301,0.027453516348092087,0.01133106365860802,0.01131763530457494
g5,0.05297954649479879,0.011890677466422948,0.007849927315381701,0.007052994518354919,0.006548855119432378,0.00706533714062116,0.008813610406110534,0.010269115502519854,0.016891886003150103,0.027085098836447528,0.06350770676884918,0.13885427982746934,0.32865482812394625,0.0,0.2188832776445157,0.06884488784581444,0.031834783924588814,0.02308966539403212
g6,0.05012475468523939,0.01974848641580482,0.01503254855259225,0.008819487540115639,0.008531782741969255,0.008676874079206984,0.01009241576919975,0.013270121132636977,0.016254086180449268,0.017713897949896144,0.05800175416646437,0.0674875706110271,0.1344550569493852,0.30741016772813995,0.0,0.1966716739259355,0.08779729421226953,0.0449414594289145
g7,0.047331939761211285,0.0538656302125266,0.03231382803420903,0.017937475276827125,0.010833636348489132,0.010829098459708456,0.011195280626392402,0.011555450893410306,0.01657431244415867,0.030680837703160897,0.049375852518106327,0.04906912520385579,0.06518014535776646,0.12918540414737628,0.29527924434948977,0.0,0.2184257992816633,0.12792948364388676
g8,0.04771978823247459,0.1024546409809356,0.053906507622389646,0.03048956022598833,0.01755325585560793,0.01315075574210348,0.013499035730546245,0.010600348232680787,0.013210129448715083,0.024406815772041044,0.052016421856106214,0.03648282081154519,0.04142155063866924,0.07591458458656426,0.12493611341804264,0.30963760289707476,0.0,0.2514657901585896
g9,0.050556920447119603,0.19111714325367932,0.0935238769235263,0.05863474530515829,0.031513464922402944,0.021931020995802977,0.01625699193013071,0.015718815542505947,0.02000672343091737,0.03299052721621597,0.05364179755415067,0.030795186227426864,0.03477645398691099,0.05027882301770548,0.07822538238723194,0.1373348335175941,0.2986606844296633,0.0
