,PseudoTime1,PseudoTime2,PseudoTime3
E303_558,0.70063,NA,NA
E671_665,0.83522,NA,NA
E975_339,NA,NA,0.42516
E427_416,NA,NA,0.52201
E393_307,0.38491,NA,NA
E809_155,NA,0.19371,NA
E677_123,0.15346,NA,NA
E542_576,0.72327,NA,NA
E296_518,0.65031,NA,NA
E893_51,NA,0.06289,NA
E147_656,NA,0.8239,NA
E514_123,0.15346,NA,NA
E569_615,NA,0.77233,NA
E624_657,NA,0.82516,NA
E796_569,NA,0.71447,NA
E790_514,0.64528,NA,NA
E73_418,NA,0.52453,NA
E290_405,0.50818,NA,NA
E798_586,0.73585,NA,NA
E362_118,0.14717,NA,NA
E183_747,NA,NA,0.93836
E160_521,NA,0.65409,NA
E730_513,NA,0.64403,NA
E262_440,0.5522,NA,NA
E819_88,0.10943,NA,NA
E331_583,NA,NA,0.73208
E894_193,0.24151,NA,NA
E269_563,NA,0.70692,NA
E198_227,0.28428,NA,NA
E89_571,NA,0.71698,NA
E214_617,0.77484,NA,NA
E918_744,NA,NA,0.93459
E166_256,0.32075,NA,NA
E279_683,0.85786,NA,NA
E349_565,NA,0.70943,NA
E664_728,0.91447,NA,NA
E139_460,NA,NA,0.57736
E355_512,0.64277,NA,NA
E406_424,NA,0.53208,NA
E74_196,NA,0.24528,NA
E901_734,NA,NA,0.92201
E38_482,NA,0.60503,NA
E448_525,NA,NA,0.65912
E36_555,0.69686,NA,NA
E323_4,0.00377,NA,NA
E111_90,0.11195,NA,NA
E169_456,0.57233,NA,NA
E444_392,0.49182,NA,NA
E389_130,0.16226,NA,NA
E424_294,NA,0.36855,NA
E529_313,0.39245,NA,NA
E748_788,NA,NA,0.98994
E196_230,NA,NA,0.28805
E150_727,0.91321,NA,NA
E877_526,0.66038,NA,NA
E266_527,NA,NA,0.66164
E2_272,0.34088,NA,NA
E188_734,NA,NA,0.92201
E858_340,0.42642,NA,NA
E293_256,NA,0.32075,NA
E864_7,0.00755,NA,NA
E597_218,NA,0.27296,NA
E191_581,NA,0.72956,NA
E167_457,0.57358,NA,NA
E446_295,NA,NA,0.36981
E898_703,NA,NA,0.88302
E694_270,NA,NA,0.33836
E421_783,NA,0.98365,NA
E737_238,0.29811,NA,NA
E268_644,0.80881,NA,NA
E733_747,NA,NA,0.93836
E178_220,0.27547,NA,NA
E989_97,0.12075,NA,NA
E930_735,0.92327,NA,NA
E563_635,NA,NA,0.79748
E176_83,NA,0.10314,NA
E239_680,NA,0.85409,NA
E395_792,NA,NA,0.99497
E518_705,0.88553,NA,NA
E855_512,NA,NA,0.64277
E609_322,NA,0.40377,NA
E21_669,NA,0.84025,NA
E506_288,0.36101,NA,NA
E752_591,0.74214,NA,NA
E55_81,NA,NA,0.10063
E697_327,0.41006,NA,NA
E25_456,0.57233,NA,NA
E708_166,0.20755,NA,NA
E952_555,0.69686,NA,NA
E360_26,0.03145,NA,NA
E998_211,NA,0.26415,NA
E388_137,NA,0.17107,NA
E118_473,0.59371,NA,NA
E402_454,NA,0.56981,NA
E921_51,0.06289,NA,NA
E615_95,NA,NA,0.11824
E278_338,0.4239,NA,NA
E902_100,NA,0.12453,NA
E369_138,NA,NA,0.17233
E905_149,NA,0.18616,NA
E509_584,NA,NA,0.73333
E311_101,NA,NA,0.12579
E710_419,NA,0.52579,NA
E543_101,NA,0.12579,NA
E386_31,NA,0.03774,NA
E984_85,NA,NA,0.10566
E263_49,0.06038,NA,NA
E484_331,NA,0.41509,NA
E253_297,NA,0.37233,NA
E210_253,NA,NA,0.31698
E363_423,NA,0.53082,NA
E335_227,0.28428,NA,NA
E343_361,0.45283,NA,NA
E404_271,NA,NA,0.33962
E598_499,0.62642,NA,NA
E403_92,0.11447,NA,NA
E560_139,NA,NA,0.17358
E534_701,NA,NA,0.8805
E979_197,NA,NA,0.24654
E411_198,0.2478,NA,NA
E556_609,NA,NA,0.76478
E726_424,NA,NA,0.53208
E114_480,NA,0.60252,NA
