,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.5014397957348516,0.30393203033098454,0.06265210354650648,0.03886447283591295,0.03486459729803197,0.06291631941399278,0.056427769333199936,0.0997951801374052,0.1672820344000822
g10,0.48680852630664145,0.0,0.19791156106445443,0.060365647983973834,0.044389017791671,0.04787549582589362,0.059247200763131926,0.055574475653505435,0.14007956109661415,0.28032806842102864
g2,0.1418383038989735,0.13274173185776164,0.0,0.25590841093758904,0.022133904321791645,0.022740507732762594,0.05306244969503207,0.04020376871253389,0.04248962932373436,0.05423434023496786
g3,0.012872305747813471,0.0083481340489283,0.18268561299645622,0.0,0.06851076705952033,0.07464704594060881,0.061245734997652575,0.052955180741802915,0.03968001621051763,0.014813051268891738
g4,0.022502217503071652,0.017983141374212943,0.04969913980455388,0.12909530732960448,0.0,0.17831875794688992,0.30068091899505694,0.2059021946722637,0.05556699396957161,0.06419693511709111
g5,0.026138903839811732,0.023929034172365672,0.04495158164375312,0.14109833095516935,0.1719604819404945,0.0,0.18426840881945053,0.3210515488783356,0.057347501429293866,0.07189588460456657
g6,0.023698323593844425,0.019152692895321368,0.04150833170879752,0.08258894806603097,0.282098710046903,0.12327899043096603,0.0,0.08553321335925425,0.0684183860268844,0.024835219972291905
g7,0.028642259004900805,0.02493088748018407,0.03913502059901824,0.07934801928032055,0.14047223514612134,0.3052696190232394,0.09216269579533867,0.0,0.06509230509402172,0.023318661648714045
g8,0.07159821856429836,0.0678285071594758,0.04867776252310781,0.11350125642436107,0.08854173920071214,0.07617594270759503,0.13326415048088092,0.12936776745896467,0.0,0.2988229827994903
g9,0.18494218603407808,0.20199579775134258,0.08943267436722514,0.0754126808669006,0.14331087743285958,0.1349962031213006,0.05381213897200579,0.05115474549998586,0.43033981084728035,0.0
