,PseudoTime1,PseudoTime2,PseudoTime3
E954_615,0.77039,NA,NA
E653_321,NA,0.40151,NA
E196_655,NA,NA,0.82058
E104_1,NA,0.0,NA
E527_112,NA,0.13927,NA
E106_90,0.11167,NA,NA
E660_550,NA,NA,0.68883
E33_239,NA,0.29862,NA
E684_411,0.51443,NA,NA
E883_195,NA,NA,0.24341
E458_768,0.96236,NA,NA
E341_641,0.80301,NA,NA
E170_209,0.26098,NA,NA
E859_640,NA,NA,0.80176
E725_190,0.23714,NA,NA
E622_595,NA,NA,0.74529
E981_173,NA,0.21581,NA
E64_19,NA,0.02258,NA
E872_661,0.82811,NA,NA
E79_168,NA,NA,0.20954
E68_585,0.73275,NA,NA
E634_602,NA,0.75408,NA
E813_396,NA,NA,0.49561
E401_376,NA,NA,0.47051
E39_197,0.24592,NA,NA
E85_239,0.29862,NA,NA
E504_124,NA,NA,0.15433
E146_210,NA,NA,0.26223
E860_385,NA,0.48181,NA
E317_399,0.49937,NA,NA
E381_795,NA,NA,0.99624
E495_34,NA,0.04141,NA
E81_85,NA,0.1054,NA
E894_510,0.63864,NA,NA
E75_497,0.62233,NA,NA
E193_146,NA,NA,0.18193
E251_414,NA,NA,0.51819
E887_229,0.28607,NA,NA
E568_602,NA,NA,0.75408
E817_798,NA,1.0,NA
E232_17,NA,NA,0.02008
E759_36,0.04391,NA,NA
E503_546,NA,0.68381,NA
E579_214,NA,0.26725,NA
E306_244,NA,NA,0.30489
E290_199,0.24843,NA,NA
E939_49,0.06023,NA,NA
E379_298,NA,0.37265,NA
E482_359,NA,0.44918,NA
E502_682,NA,0.85445,NA
E540_230,0.28733,NA,NA
E777_497,0.62233,NA,NA
E704_683,0.85571,NA,NA
E735_293,NA,0.36637,NA
E566_441,0.55207,NA,NA
E811_13,NA,0.01506,NA
E0_501,NA,0.62735,NA
E108_257,NA,0.3212,NA
E878_658,NA,NA,0.82434
E389_619,0.77541,NA,NA
E28_79,NA,NA,0.09787
E710_629,NA,0.78795,NA
E338_245,NA,0.30615,NA
E185_341,0.4266,NA,NA
E789_686,NA,NA,0.85947
E692_278,0.34755,NA,NA
E254_404,NA,0.50565,NA
E933_765,NA,0.95859,NA
E975_705,NA,NA,0.88331
E21_536,NA,0.67127,NA
E8_222,0.27729,NA,NA
E462_426,NA,0.53325,NA
E356_486,NA,0.60853,NA
E978_152,NA,0.18946,NA
E434_436,0.5458,NA,NA
E59_352,NA,0.4404,NA
E983_22,NA,NA,0.02635
E474_690,0.86449,NA,NA
E628_633,NA,0.79297,NA
E931_202,NA,NA,0.2522
E688_541,NA,0.67754,NA
E353_714,NA,NA,0.8946
E241_76,0.0941,NA,NA
E286_133,0.16562,NA,NA
E932_655,NA,0.82058,NA
E40_448,0.56085,NA,NA
E374_321,NA,NA,0.40151
E940_70,NA,NA,0.08657
E647_602,0.75408,NA,NA
E873_423,0.52949,NA,NA
E757_1,NA,0.0,NA
E673_672,0.84191,NA,NA
E477_46,0.05646,NA,NA
E37_455,NA,NA,0.56964
E591_387,0.48432,NA,NA
E581_191,NA,NA,0.23839
E95_152,NA,0.18946,NA
E408_621,NA,0.77792,NA
E610_270,0.33752,NA,NA
E370_673,0.84316,NA,NA
E114_585,NA,0.73275,NA
E524_405,0.5069,NA,NA
E143_768,NA,0.96236,NA
E752_572,0.71644,NA,NA
E231_653,0.81807,NA,NA
E53_393,NA,NA,0.49184
E412_283,0.35383,NA,NA
E243_367,0.45922,NA,NA
E728_769,0.96361,NA,NA
E38_78,NA,0.09661,NA
E840_207,NA,0.25847,NA
E199_750,NA,NA,0.93977
E772_416,NA,NA,0.5207
E703_734,NA,0.9197,NA
E910_676,NA,NA,0.84693
E161_679,0.85069,NA,NA
E402_20,NA,0.02384,NA
E781_19,NA,0.02258,NA
E794_677,0.84818,NA,NA
E209_300,NA,0.37516,NA
E494_729,0.91343,NA,NA
E296_682,0.85445,NA,NA
E846_649,NA,0.81305,NA
E739_142,0.17691,NA,NA
E742_587,NA,0.73526,NA
E955_38,0.04642,NA,NA
E849_241,NA,0.30113,NA
E113_727,NA,0.91092,NA
E409_546,0.68381,NA,NA
