SourceGENES,TargetGENES,Interaction,Edges
Gene  7 ,Gene  5 ,1,activation/repression
Gene  3 ,Gene  2 ,0.947927545630697,activation/repression
Gene  4 ,Gene  3 ,0.647386677882128,activation/repression
Gene  2 ,Gene  6 ,0.621391710413346,activation/repression
Gene  2 ,Gene  1 ,0.584954043505052,activation/repression
Gene  2 ,Gene  7 ,0.441680257206721,activation/repression
Gene  2 ,Gene  5 ,0.353884871543309,activation/repression
Gene  7 ,Gene  6 ,0.00405581045899655,activation/repression
Gene  6 ,Gene  5 ,3.00700169010479e-36,activation/repression
Gene  1 ,Gene  5 ,2.59061110286613e-36,activation/repression
Gene  5 ,Gene  4 ,1.09573672847291e-36,activation/repression
Gene  6 ,Gene  7 ,9.1171666593266e-37,activation/repression
Gene  1 ,Gene  7 ,2.74164560922652e-37,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  4 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  1 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  3 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
