,cl
E0,1
E1,2
E2,0
E3,2
E4,0
E5,0
E6,1
E7,0
E8,0
E9,1
E10,0
E11,1
E12,1
E13,0
E14,2
E15,1
E16,2
E17,0
E18,1
E19,2
E20,2
E21,1
E22,2
E23,1
E24,1
E25,0
E26,2
E27,0
E28,2
E29,0
E30,0
E31,1
E32,2
E33,1
E34,1
E35,1
E36,0
E37,2
E38,1
E39,0
E40,0
E41,2
E42,1
E43,0
E44,0
E45,2
E46,2
E47,2
E48,0
E49,1
E50,0
E51,1
E52,2
E53,2
E54,1
E55,2
E56,0
E57,0
E58,0
E59,1
E60,1
E61,1
E62,0
E63,1
E64,1
E65,0
E66,1
E67,2
E68,0
E69,0
E70,0
E71,0
E72,1
E73,1
E74,1
E75,0
E76,0
E77,0
E78,0
E79,2
E80,1
E81,1
E82,1
E83,1
E84,2
E85,0
E86,2
E87,0
E88,1
E89,1
E90,2
E91,0
E92,1
E93,0
E94,2
E95,1
E96,2
E97,2
E98,1
E99,1
E100,2
E101,1
E102,0
E103,1
E104,1
E105,1
E106,0
E107,1
E108,1
E109,0
E110,0
E111,0
E112,0
E113,1
E114,1
E115,2
E116,0
E117,0
E118,0
E119,1
E120,0
E121,1
E122,0
E123,1
E124,1
E125,0
E126,1
E127,2
E128,1
E129,2
E130,2
E131,0
E132,1
E133,2
E134,2
E135,2
E136,1
E137,1
E138,0
E139,2
E140,1
E141,2
E142,0
E143,1
E144,2
E145,0
E146,2
E147,1
E148,2
E149,2
E150,0
E151,2
E152,2
E153,1
E154,2
E155,0
E156,0
E157,1
E158,1
E159,1
E160,1
E161,0
E162,0
E163,0
E164,2
E165,2
E166,0
E167,0
E168,0
E169,0
E170,0
E171,2
E172,1
E173,1
E174,0
E175,1
E176,1
E177,2
E178,0
E179,0
E180,1
E181,2
E182,2
E183,2
E184,1
E185,0
E186,2
E187,0
E188,2
E189,0
E190,0
E191,1
E192,2
E193,2
E194,2
E195,0
E196,2
E197,2
E198,0
E199,2
E200,0
E201,0
E202,2
E203,1
E204,2
E205,1
E206,2
E207,2
E208,2
E209,1
E210,2
E211,0
E212,2
E213,2
E214,0
E215,1
E216,2
E217,2
E218,0
E219,0
E220,1
E221,1
E222,0
E223,2
E224,0
E225,1
E226,0
E227,0
E228,0
E229,2
E230,0
E231,0
E232,2
E233,0
E234,1
E235,1
E236,2
E237,0
E238,0
E239,1
E240,2
E241,0
E242,0
E243,0
E244,2
E245,1
E246,0
E247,0
E248,0
E249,0
E250,1
E251,2
E252,2
E253,1
E254,1
E255,0
E256,1
E257,0
E258,2
E259,2
E260,1
E261,1
E262,0
E263,0
E264,0
E265,0
E266,2
E267,1
E268,0
E269,1
E270,2
E271,1
E272,0
E273,1
E274,1
E275,0
E276,1
E277,2
E278,0
E279,0
E280,1
E281,1
E282,1
E283,1
E284,2
E285,0
E286,0
E287,0
E288,0
E289,0
E290,0
E291,1
E292,2
E293,1
E294,0
E295,1
E296,0
E297,0
E298,2
E299,2
E300,1
E301,0
E302,0
E303,0
E304,2
E305,1
E306,2
E307,2
E308,2
E309,0
E310,1
E311,2
E312,1
E313,2
E314,2
E315,0
E316,0
E317,0
E318,2
E319,0
E320,2
E321,0
