SourceGENES,TargetGENES,Interaction,Edges
Gene  3 ,Gene  2 ,1,activation/repression
Gene  2 ,Gene  1 ,0.113497432901824,activation/repression
Gene  3 ,Gene  1 ,0.0890050833828776,activation/repression
Gene  2 ,Gene  6 ,0.0560765301470945,activation/repression
Gene  2 ,Gene  4 ,0.0428774886759293,activation/repression
Gene  2 ,Gene  3 ,0.00056809604671513,activation/repression
Gene  7 ,Gene  9 ,7.73971910901164e-37,activation/repression
Gene  8 ,Gene  9 ,7.28716731127343e-37,activation/repression
Gene  1 ,Gene  4 ,6.49128331470324e-37,activation/repression
Gene  8 ,Gene  7 ,5.24538512888952e-37,activation/repression
Gene  9 ,Gene  6 ,3.95115278776826e-37,activation/repression
Gene  1 ,Gene  5 ,2.81071662889814e-37,activation/repression
Gene  1 ,Gene  6 ,1.63131899228794e-37,activation/repression
Gene  7 ,Gene  6 ,1.59978949714606e-37,activation/repression
Gene  6 ,Gene  3 ,1.46852977052753e-37,activation/repression
Gene  1 ,Gene  3 ,1.45430522353483e-37,activation/repression
Gene  9 ,Gene  4 ,1.44161097696238e-37,activation/repression
Gene  8 ,Gene  1 ,1.35919691381394e-37,activation/repression
Gene  5 ,Gene  3 ,1.02024117882077e-37,activation/repression
Gene  4 ,Gene  3 ,8.62110311397522e-38,activation/repression
Gene  9 ,Gene  5 ,5.11195350561226e-38,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  1 ,Gene  9 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  2 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  8 ,0,no regulation
Gene  2 ,Gene  9 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  3 ,Gene  8 ,0,no regulation
Gene  3 ,Gene  9 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  9 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  4 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  9 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  5 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  9 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  5 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  2 ,0,no regulation
Gene  8 ,Gene  3 ,0,no regulation
Gene  8 ,Gene  4 ,0,no regulation
Gene  8 ,Gene  5 ,0,no regulation
Gene  8 ,Gene  6 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
Gene  9 ,Gene  1 ,0,no regulation
Gene  9 ,Gene  2 ,0,no regulation
Gene  9 ,Gene  3 ,0,no regulation
Gene  9 ,Gene  7 ,0,no regulation
Gene  9 ,Gene  8 ,0,no regulation
Gene  9 ,Gene  9 ,0,no regulation
