SourceGENES,TargetGENES,Interaction,Edges
Gene  2 ,Gene  7 ,1,activation/repression
Gene  2 ,Gene  1 ,0.988595568013306,activation/repression
Gene  6 ,Gene  5 ,0.67973040536036,activation/repression
Gene  4 ,Gene  3 ,0.22843573498328,activation/repression
Gene  2 ,Gene  6 ,0.223920234759392,activation/repression
Gene  5 ,Gene  4 ,0.183936747862603,activation/repression
Gene  2 ,Gene  4 ,0.0663031097355817,activation/repression
Gene  7 ,Gene  6 ,0.035856103042199,activation/repression
Gene  7 ,Gene  5 ,0.0278019238522972,activation/repression
Gene  7 ,Gene  1 ,0.0141573566676709,activation/repression
Gene  7 ,Gene  2 ,0.00356354255146507,activation/repression
Gene  1 ,Gene  7 ,2.09981196536802e-36,activation/repression
Gene  1 ,Gene  6 ,1.17293704378297e-36,activation/repression
Gene  1 ,Gene  2 ,3.88053114442487e-37,activation/repression
Gene  3 ,Gene  2 ,3.11494534394044e-37,activation/repression
Gene  1 ,Gene  3 ,3.09519337062849e-37,activation/repression
Gene  1 ,Gene  5 ,1.63269290423854e-37,activation/repression
Gene  1 ,Gene  4 ,1.59319138609404e-37,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  1 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  3 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
