SourceGENES,TargetGENES,Interaction,Edges
Gene  12 ,Gene  8 ,1,activation/repression
Gene  12 ,Gene  7 ,0.957775107579084,activation/repression
Gene  12 ,Gene  10 ,0.71666975203564,activation/repression
Gene  12 ,Gene  9 ,0.593744946751077,activation/repression
Gene  12 ,Gene  6 ,0.572516447190464,activation/repression
Gene  12 ,Gene  11 ,0.544627478380061,activation/repression
Gene  12 ,Gene  1 ,0.526340405078068,activation/repression
Gene  12 ,Gene  5 ,0.424028223641179,activation/repression
Gene  13 ,Gene  12 ,0.315598785634344,activation/repression
Gene  11 ,Gene  7 ,0.272107977934153,activation/repression
Gene  12 ,Gene  3 ,0.271730007883624,activation/repression
Gene  12 ,Gene  18 ,0.244039741528587,activation/repression
Gene  11 ,Gene  8 ,0.240844254032632,activation/repression
Gene  12 ,Gene  17 ,0.229215297046924,activation/repression
Gene  12 ,Gene  13 ,0.224920433793491,activation/repression
Gene  11 ,Gene  10 ,0.188221192646042,activation/repression
Gene  13 ,Gene  11 ,0.185585573634813,activation/repression
Gene  13 ,Gene  7 ,0.18261352218657,activation/repression
Gene  12 ,Gene  2 ,0.181537342277494,activation/repression
Gene  11 ,Gene  12 ,0.153076656943184,activation/repression
Gene  12 ,Gene  4 ,0.144461891147886,activation/repression
Gene  11 ,Gene  9 ,0.138485449310994,activation/repression
Gene  11 ,Gene  6 ,0.135088081973091,activation/repression
Gene  11 ,Gene  13 ,0.13029096005171,activation/repression
Gene  12 ,Gene  15 ,0.118893692908014,activation/repression
Gene  12 ,Gene  14 ,0.117627823946327,activation/repression
Gene  12 ,Gene  16 ,0.116073841056118,activation/repression
Gene  11 ,Gene  1 ,0.111665870251169,activation/repression
Gene  13 ,Gene  10 ,0.100841931483466,activation/repression
Gene  16 ,Gene  15 ,0.0847712011166022,activation/repression
Gene  11 ,Gene  5 ,0.0822750721553923,activation/repression
Gene  11 ,Gene  14 ,0.0660143470398318,activation/repression
Gene  13 ,Gene  9 ,0.0551401583201878,activation/repression
Gene  16 ,Gene  14 ,0.0526790408242485,activation/repression
Gene  11 ,Gene  15 ,0.0488189885661512,activation/repression
Gene  13 ,Gene  6 ,0.0456573407004731,activation/repression
Gene  13 ,Gene  8 ,0.0423955171540339,activation/repression
Gene  11 ,Gene  3 ,0.039652561762837,activation/repression
Gene  13 ,Gene  1 ,0.0332137175430424,activation/repression
Gene  11 ,Gene  16 ,0.0310317515222183,activation/repression
Gene  11 ,Gene  4 ,0.014106400273711,activation/repression
Gene  11 ,Gene  17 ,0.00830041121588932,activation/repression
Gene  17 ,Gene  16 ,8.56826578652016e-36,activation/repression
Gene  6 ,Gene  4 ,7.70745819252333e-36,activation/repression
Gene  2 ,Gene  18 ,7.59278857265903e-36,activation/repression
Gene  15 ,Gene  14 ,7.19732838137785e-36,activation/repression
Gene  7 ,Gene  4 ,7.06072829818455e-36,activation/repression
Gene  18 ,Gene  17 ,6.99974725713697e-36,activation/repression
Gene  17 ,Gene  15 ,6.95423203430682e-36,activation/repression
Gene  14 ,Gene  13 ,6.55866435168634e-36,activation/repression
Gene  4 ,Gene  2 ,6.32844377217987e-36,activation/repression
Gene  3 ,Gene  2 ,4.95659246764239e-36,activation/repression
Gene  5 ,Gene  3 ,4.87788962831843e-36,activation/repression
Gene  6 ,Gene  3 ,4.82029300338142e-36,activation/repression
Gene  4 ,Gene  3 ,4.53366489400261e-36,activation/repression
Gene  7 ,Gene  3 ,4.3588630132513e-36,activation/repression
Gene  15 ,Gene  13 ,4.3554099097289e-36,activation/repression
Gene  3 ,Gene  18 ,4.26309046004127e-36,activation/repression
Gene  8 ,Gene  4 ,4.19250388586807e-36,activation/repression
Gene  7 ,Gene  5 ,4.12569021310226e-36,activation/repression
Gene  6 ,Gene  5 ,3.94240276085602e-36,activation/repression
Gene  5 ,Gene  2 ,3.6520907314897e-36,activation/repression
Gene  18 ,Gene  16 ,3.54890796619994e-36,activation/repression
Gene  5 ,Gene  4 ,3.23406427229786e-36,activation/repression
