SourceGENES,TargetGENES,Interaction,Edges
Gene  3 ,Gene  1 ,1,activation/repression
Gene  3 ,Gene  2 ,0.421612800328914,activation/repression
Gene  2 ,Gene  1 ,0.413340604898937,activation/repression
Gene  7 ,Gene  9 ,0.280528780058492,activation/repression
Gene  7 ,Gene  8 ,0.158406123159726,activation/repression
Gene  2 ,Gene  5 ,0.144622508318803,activation/repression
Gene  2 ,Gene  4 ,0.131292373402454,activation/repression
Gene  2 ,Gene  6 ,0.123644237743636,activation/repression
Gene  1 ,Gene  4 ,0.0956374410596924,activation/repression
Gene  1 ,Gene  5 ,0.0900600100354879,activation/repression
Gene  2 ,Gene  9 ,0.0657343417534388,activation/repression
Gene  8 ,Gene  6 ,0.00944946209866303,activation/repression
Gene  7 ,Gene  6 ,0.00589562183418208,activation/repression
Gene  8 ,Gene  9 ,0.00471601864987182,activation/repression
Gene  8 ,Gene  4 ,0.00404469322376793,activation/repression
Gene  8 ,Gene  5 ,0.00315955717823538,activation/repression
Gene  8 ,Gene  7 ,0.000929565077048879,activation/repression
Gene  9 ,Gene  6 ,7.9104128682644e-37,activation/repression
Gene  9 ,Gene  5 ,5.9516405664346e-37,activation/repression
Gene  9 ,Gene  7 ,5.56592441164883e-37,activation/repression
Gene  9 ,Gene  4 ,4.81227812534626e-37,activation/repression
Gene  4 ,Gene  3 ,1.85383688852658e-37,activation/repression
Gene  5 ,Gene  3 ,1.56966263313186e-37,activation/repression
Gene  9 ,Gene  8 ,1.25040268746031e-37,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  1 ,Gene  9 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  8 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  3 ,Gene  8 ,0,no regulation
Gene  3 ,Gene  9 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  4 ,Gene  9 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  4 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  9 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  5 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  9 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  5 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  8 ,Gene  1 ,0,no regulation
Gene  8 ,Gene  2 ,0,no regulation
Gene  8 ,Gene  3 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
Gene  9 ,Gene  1 ,0,no regulation
Gene  9 ,Gene  2 ,0,no regulation
Gene  9 ,Gene  3 ,0,no regulation
Gene  9 ,Gene  9 ,0,no regulation
