,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.5213986624911732,0.32097417783367826,0.06920597913865177,0.027094801003354273,0.034558861276866415,0.049170999917522905,0.05253342343233253,0.1033308536115857,0.19444067500040013
g10,0.48146067288566996,0.0,0.16803848743940872,0.05835668193073255,0.051715783120885365,0.05131040682563614,0.05476561980335969,0.05762091409859767,0.15539544346968914,0.3465861418723463
g2,0.11383243982784404,0.10011512820368172,0.0,0.21595127983519774,0.020193965438960182,0.02109803430185088,0.0324105267813307,0.03482190257789585,0.03415731898020212,0.04309914449074891
g3,0.016922076163344738,0.008475416126119807,0.17766708233020148,0.0,0.08070674905066116,0.08497714137197185,0.059228114953091736,0.052827172753709586,0.03438142375775738,0.01591329792656527
g4,0.02132633064681089,0.016435957933614093,0.04592257425732889,0.13540734958681064,0.0,0.1721420973267642,0.3212522518754068,0.20824009816483577,0.05008327281287994,0.06285542548942943
g5,0.03156740301450031,0.02739658039534416,0.044336490595390875,0.1481037405894924,0.1640061259257966,0.0,0.2321472156762478,0.3088216862560618,0.04714905760930946,0.06108930093408701
g6,0.024100785353252205,0.01890225940329695,0.041145113202254065,0.08394172219165921,0.29739023002143944,0.13393788815992266,0.0,0.08327402265642124,0.05731865854869953,0.023370068183536936
g7,0.025738105901137544,0.02104376978226199,0.05691589966874828,0.07546679143017078,0.12862147233760404,0.2816441396953715,0.0784509075486245,0.0,0.07434428792313043,0.022439614946634746
g8,0.08089199360828095,0.07467194402139544,0.05174408454891039,0.1344831864218906,0.08366808501722983,0.07748359033561253,0.12045866524909571,0.1330921635224791,0.0,0.2297932850517817
g9,0.20286798152879917,0.211328982630439,0.09325790189379352,0.0801665202545249,0.1458251587500179,0.14216225225808116,0.05557685620651003,0.06942565200527041,0.44227718696428064,0.0
