,Klf7,Fev,Nr5a2,Pbx1,Atf3,Creb1,Foxo3,Arid5b,Tcf3,Nfic,Nfyb,Hmga2,Hsf2,Ddit3,Meis1,Stat3,Patz1,Xbp1,Trp53,Hnf1b,Sox9,Hbp1,Etv1,Yy1,Isl1,Irx2,Vdr,Srebf2,Sp1,Bbx,Hes1,Zfp148,Ets2,Satb1,Pknox1,Crem,Nr3c1,Zeb1,Gata6,Tcf4,Rfx3,Mxi1,Tcf7l2,Lmx1b,Pbx3,Nr6a1,Nr4a2,Neurod1,Ehf,Meis2,Gabpb1,Ovol2,Nkx2-2,E2f1,Nfatc2,Pax6,Gabpb2,Foxo1,Plag1,Nfib,Bach2,Nfia,Mnx1,Nkx6-1,Pdx1,Pax4,Foxp1,Sox5,Nrf1,Foxa3,Fosb,Usf2,Mef2a,Zfp143,Nr2f6,Nfix,Cbfb,Zfhx3,Tcf12,Arx
0,0.75943154,2.758857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75943154,0.0,0.0,0.0,0.0,0.75943154,0.75943154,0.0,0.75943154,1.7134814,0.0,0.0,0.0,0.0,0.0,0.0,0.75943154,0.75943154,0.75943154,0.0,0.0,0.0,0.0,0.0,0.0,0.75943154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7134814,0.0,0.0,0.0,0.0,0.0,0.75943154,0.0,0.75943154,0.0,0.0,0.0,0.0,0.75943154,2.1927063,0.0,1.7134814,0.0,0.0,0.0,0.0,0.0,1.4841429,1.1860497,0.0,0.0,0.0,0.75943154,0.0,0.0,0.0
1,0.0,2.2304633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86879206,0.0,1.3265599,0.0,0.0,0.0,0.0,1.6394022,0.86879206,0.0,0.0,0.0,1.3265599,1.3265599,0.0,0.0,0.0,0.0,0.0,0.0,0.86879206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6394022,0.0,0.0,0.0,0.0,0.0,1.6394022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86879206,1.3265599,0.0,0.0,0.0,0.0,0.86879206,0.0,0.0,0.0,0.0,0.0,0.0,0.86879206,0.86879206,0.0,0.86879206
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7016685,0.0,0.0,0.0,0.75178015,0.0,0.0,0.0,0.0,0.0,1.1760497,0.0,1.1760497,1.1760497,0.75178015,0.75178015,0.0,0.0,0.0,0.0,0.0,0.75178015,0.75178015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75178015,0.0,0.0,0.75178015,0.0,0.0,0.0,0.75178015,0.0,0.0,0.0,0.0,0.0,0.75178015,0.75178015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75178015,2.5020685,1.1760497,1.8876543,0.0,0.0,0.0,1.4730031,0.0,0.0,0.0,0.75178015,0.0,0.0,0.75178015,0.0,0.75178015,0.0
3,0.47989064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47989064,0.0,0.8028063,0.0,0.0,0.0,0.0,0.0,0.0,1.0465091,0.0,0.0,0.47989064,0.0,0.47989064,0.8028063,2.5417638,1.6698335,0.0,0.0,0.0,0.47989064,0.0,0.47989064,0.0,0.0,0.47989064,0.0,0.47989064,0.0,0.47989064,0.47989064,0.0,0.0,0.0,0.0,0.8028063,0.0,0.0,0.0,0.0,2.384567,0.0,0.0,0.0,0.0,0.0,1.0465091,0.0,0.8028063,0.0,0.0,0.0,0.0,0.0,0.0,0.47989064,0.0,1.0465091,0.0,0.0,0.47989064,0.0,0.8028063,0.0,0.0,0.47989064,0.0,0.47989064,0.0,0.0,1.8784078
4,0.73897415,1.4542706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1592598,0.0,0.0,0.73897415,0.0,0.73897415,0.0,0.0,0.0,0.0,0.73897415,0.73897415,0.73897415,0.73897415,2.6479774,0.0,0.0,0.0,0.0,0.73897415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73897415,0.0,0.0,0.0,0.0,0.0,0.0,0.73897415,0.0,0.0,1.4542706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73897415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1592598,0.0,0.0,0.0,0.0,0.0,0.73897415,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63355714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2955226,1.0183427,0.0,0.0,0.0,0.63355714,0.0,0.0,2.286762,0.0,0.0,0.0,0.63355714,0.0,0.63355714,0.0,0.0,0.0,0.0,0.0,0.0,0.63355714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63355714,0.0,0.0,2.1926265,0.0,0.0,0.0,0.0,0.0,0.63355714,0.63355714,0.0,0.0,0.0,0.0,0.0,0.0,2.0887,1.5123113,0.0,0.63355714,0.0,0.0,0.0,0.0,0.63355714,0.0,0.0,0.0,0.0,0.0,0.0,0.63355714,0.0
6,1.043962,0.80064005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47839513,0.0,0.0,0.0,0.0,0.47839513,0.0,0.47839513,0.0,0.0,0.0,0.0,0.0,1.2395132,1.4030075,0.0,0.0,0.0,0.0,0.80064005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47839513,0.47839513,0.0,0.47839513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4030075,0.0,0.0,0.47839513,0.0,0.0,0.47839513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80064005,0.47839513,0.0,0.0,0.0,0.0,0.0,0.0,0.47839513,0.0,0.0,0.47839513,0.0,0.0,0.0,0.0,0.0
7,0.6771205,1.5836705,0.0,0.0,0.0,0.0,0.0,0.0,0.6771205,0.0,0.6771205,0.0,0.0,0.0,0.0,0.0,0.0,0.6771205,0.0,0.0,0.0,0.6771205,0.6771205,0.6771205,2.051224,1.0771859,0.0,0.6771205,0.6771205,0.0,0.0,0.6771205,0.6771205,0.0,0.0,0.0,0.0,0.0,0.0,1.0771859,0.6771205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0771859,0.0,0.0,0.6771205,0.0,0.0,1.362157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0771859,0.0,0.0,0.0,0.0,0.6771205,0.0,0.6771205,1.0771859
8,0.0,0.0,0.0,0.0,0.0,0.0,0.64427674,0.0,1.3120629,0.64427674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032906,0.64427674,0.0,0.64427674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64427674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64427674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3120629,0.0,1.7089293,0.0,0.0,0.0,1.8606095,0.0,0.64427674,0.0,0.0,0.64427674,0.64427674,0.64427674,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709231,0.0,0.0,0.6709231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0688691,0.0,2.040219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0688691,0.6709231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709231,0.0,0.0,0.0,0.0,1.0688691,0.0,0.0,0.6709231,0.0,0.0,0.6709231,0.0,0.0,0.0,0.0,0.6709231,0.0,0.0,0.6709231,0.6709231,0.0
10,0.0,0.83265835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83265835,0.0,1.2806134,1.2806134,0.0,0.0,0.0,0.0,0.83265835,3.5491865,0.0,0.83265835,0.0,0.0,0.83265835,0.0,0.83265835,0.0,0.0,0.0,0.83265835,0.0,0.0,0.83265835,0.0,0.0,0.83265835,0.0,0.0,0.83265835,0.0,0.0,0.0,0.0,0.83265835,0.0,0.0,0.0,0.0,0.0,1.2806134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83265835,0.0,0.0,0.83265835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2806134,0.0,1.8241773,0.0,0.0,1.8241773
11,0.0,0.6995095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6995095,0.0,0.0,0.0,0.0,0.0,0.6995095,1.1070864,1.1070864,0.6995095,0.6995095,0.0,0.0,0.6995095,2.0905492,0.0,0.0,0.0,0.0,1.1070864,0.0,1.1070864,0.0,0.0,0.6995095,0.0,0.6995095,0.0,0.0,0.6995095,0.0,0.0,0.0,0.0,0.0,0.6995095,0.0,0.0,0.0,1.1070864,0.6995095,0.0,0.6995095,0.0,0.6995095,1.3958226,0.0,0.0,0.6995095,0.0,0.0,0.0,1.1070864,1.3958226,1.6195983,0.0,0.0,0.0,0.0,0.0,1.1070864,1.1070864,0.0,0.0,1.1070864,0.0,0.0,0.0,0.0,0.0
12,0.0,3.0935678,0.0,0.0,0.0,0.0,0.0,0.0,0.80583566,0.0,0.0,0.0,0.80583566,0.80583566,0.0,1.2462081,0.0,0.0,1.2462081,0.0,0.0,1.2462081,0.80583566,0.0,1.9730849,0.0,0.80583566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80583566,0.0,1.2462081,0.0,0.0,0.0,0.0,0.0,0.0,1.2462081,0.0,0.0,0.0,0.0,0.0,1.9730849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80583566,0.80583566,0.0,1.9730849,0.0,0.0,0.0,0.0,1.5508972,0.0,0.0,0.0,0.0,0.80583566,0.80583566,0.0,1.2462081
13,0.62441266,2.5073967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0058748,0.0,0.62441266,0.0,0.0,0.0,0.0,0.62441266,1.0058748,0.0,0.0,0.62441266,0.62441266,1.0058748,1.0058748,0.0,0.0,0.62441266,0.62441266,1.0058748,0.0,0.0,0.0,0.0,0.62441266,0.0,0.0,0.0,0.0,0.0,0.62441266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0058748,0.0,0.0,0.62441266,0.0,0.0,1.2813357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62441266,0.0,0.0,0.62441266,0.0,0.62441266,0.0,0.0,0.0,0.0,0.62441266,0.62441266,0.62441266,0.0
14,0.0,0.79197913,0.0,0.0,0.0,0.0,0.0,0.79197913,0.0,0.79197913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5311054,0.0,0.0,1.2283306,0.0,0.0,0.0,0.79197913,0.0,0.79197913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79197913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631965,0.0,0.0,0.0,0.0,0.0,1.5311054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283306
15,0.0,1.5051311,0.0,0.0,0.0,0.62924105,0.0,0.0,0.0,0.62924105,0.0,0.0,0.0,0.0,0.0,0.62924105,0.62924105,0.62924105,0.0,0.0,0.62924105,0.62924105,0.0,0.0,1.8337195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62924105,0.0,0.0,0.62924105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2888354,0.0,0.0,0.0,0.0,0.0,0.62924105,0.0,0.62924105,0.0,0.0,0.0,0.0,1.2888354,0.62924105,1.6828613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572674,0.0,0.0,0.0,0.0,0.0,0.5572674,0.5572674,0.9130015,0.0,0.0,0.0,0.0,0.0,0.0,1.9412079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572674,0.0,0.5572674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572674,0.0,0.0,0.0,1.8279734,0.0,0.0,0.5572674,0.0,0.0,0.9130015,0.0,0.5572674,0.0,0.0,0.0,0.0,0.5572674,1.9412079,2.1352253,0.5572674,0.0,0.0,0.0,0.0,0.0,1.1748587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.5371643,0.5371643,0.0,0.0,0.0,0.0,0.88471556,0.5371643,0.0,0.0,0.88471556,0.0,0.5371643,0.0,0.0,0.0,0.0,0.5371643,0.5371643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88471556,0.5371643,0.0,0.5371643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88471556,0.0,0.0,0.0,0.5371643,0.5371643,0.0,0.0,0.88471556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.346667,0.5371643,0.88471556,0.0
18,0.0,0.6347382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6347382,1.2973496,0.0,1.5142726,1.0199502,0.0,0.0,0.0,0.0,0.0,1.974872,0.0,0.0,0.0,0.0,1.0199502,0.0,0.6347382,0.0,0.0,0.0,0.0,0.6347382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199502,0.0,0.0,0.0,0.0,0.0,1.6924254,0.0,0.0,0.0,0.0,0.6347382,0.0,1.0199502,2.3750741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6347382,0.0,0.0,0.0,0.0,0.6347382,0.0,0.6347382,0.0
19,0.0,2.457393,0.0,0.0,0.0,0.92620355,0.0,0.92620355,0.0,0.0,0.92620355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92620355,0.92620355,0.92620355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9600414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92620355,0.0
20,0.0,2.0891585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77918077,0.0,0.0,0.0,0.0,0.0,0.0,0.77918077,0.0,0.0,0.0,0.0,0.0,0.77918077,2.6373806,0.0,0.0,0.0,0.77918077,0.0,0.0,0.77918077,0.0,0.0,0.77918077,0.0,0.0,0.0,0.0,0.0,0.77918077,0.0,0.0,0.0,0.0,0.0,0.77918077,0.0,0.0,1.5127194,0.0,0.0,0.0,0.0,0.0,1.7437491,0.0,0.0,0.0,0.77918077,0.0,0.77918077,0.0,1.7437491,1.5127194,0.0,0.0,0.0,0.0,0.0,0.0,0.77918077,0.77918077,0.0,0.0,0.0,0.77918077,0.0,0.0,0.0
21,1.2495073,2.2731752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80839896,0.0,0.0,0.80839896,0.80839896,0.0,0.80839896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80839896,0.80839896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80839896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5545458,0.0,2.136043,0.0,0.0,0.0,0.0,0.0,0.80839896,0.0,1.2495073,0.0,0.0,0.80839896,0.0,0.0,0.0
22,0.0,1.3145914,0.0,0.0,0.0,0.0,0.85934556,0.0,0.85934556,0.0,0.0,0.0,0.85934556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145914,0.0,1.3145914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85934556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85934556,0.85934556,0.0,0.85934556,0.0,0.0,0.0,0.0,0.0,2.354352,1.6262643,0.85934556,0.0,0.0,0.0,0.0,0.85934556,1.6262643,0.0,0.0,1.3145914,0.0,0.0,1.3145914,0.85934556,0.0
23,1.055785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3379824,0.66119987,0.0,0.66119987,1.055785,0.0,0.0,2.772204,0.0,0.66119987,0.0,0.0,0.66119987,0.0,0.0,0.0,0.0,0.0,0.0,0.66119987,0.0,0.66119987,0.66119987,0.66119987,0.0,0.0,0.0,0.0,0.0,0.0,0.66119987,0.0,2.0228457,1.055785,0.0,0.0,0.0,0.0,1.7379326,0.0,1.055785,0.0,0.0,0.0,0.0,0.0,0.0,1.5578206,0.0,0.66119987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66119987,0.0,0.0,0.0
