71,112,226,140,307,240,216,169,119,53,62,94,60,152,91,254,178,317
309,6,18,57,321,168,235,250,156,73,121,266,144,222,195,127,201,42
129,61,78,17,31,134,303,133,128,80,299,292,264,232,164,273,252,58
265,105,21,40,34,115,185,244,242,28,157,271,270,183,174,293,98,202
137,150,67,37,101,4,8,77,162,99,231,296,313,268,272,310,257,198
204,243,223,82,63,2,14,32,22,182,281,301,278,285,220,148,141,288
153,159,237,161,72,48,10,16,81,12,170,297,256,291,246,245,205,320
251,279,315,225,100,75,54,11,65,87,25,286,89,258,166,139,276,305
130,224,267,116,311,84,108,50,13,1,160,154,138,248,300,103,228,277
196,135,239,111,229,213,90,86,70,56,45,207,123,219,155,217,158,218
126,191,289,85,290,146,238,79,151,59,7,93,208,113,109,110,269,287
66,302,283,124,324,136,318,319,181,36,38,23,35,43,197,184,172,211
167,227,298,145,304,187,210,236,163,55,64,47,3,33,118,102,259,322
147,193,212,117,294,200,260,284,96,88,173,247,49,15,44,46,149,306
189,142,190,107,314,206,241,215,188,69,114,179,131,52,9,39,209,255
214,249,125,263,261,106,323,230,192,92,122,234,233,143,19,26,30,51
203,27,165,68,295,180,312,282,176,41,194,316,253,171,104,74,5,97
186,24,120,275,274,76,308,175,177,95,221,199,262,280,83,132,29,20
