,PseudoTime1,PseudoTime2
E69_326,NA,0.40704
E815_556,0.69598,NA
E719_745,0.93342,NA
E233_49,NA,0.05905
E151_46,0.05528,NA
E964_387,0.48367,NA
E598_381,NA,0.47613
E467_566,0.70854,NA
E485_82,0.1005,NA
E243_329,NA,0.4108
E822_569,NA,0.71231
E526_81,NA,0.09925
E105_694,0.86935,NA
E836_679,0.8505,NA
E83_429,0.53643,NA
E461_716,0.89698,NA
E753_573,0.71734,NA
E287_628,0.78643,NA
E142_409,NA,0.51131
E772_254,NA,0.31658
E387_179,0.22236,NA
E587_723,NA,0.90578
E63_677,0.84799,NA
E855_48,NA,0.05779
E431_85,NA,0.10427
E975_106,NA,0.13065
E908_249,0.3103,NA
E164_219,0.27261,NA
E831_563,0.70477,NA
E493_559,0.69975,NA
E70_680,0.85176,NA
E266_243,0.30276,NA
E381_148,0.18342,NA
E420_397,NA,0.49623
E255_699,0.87563,NA
E627_333,0.41583,NA
E660_627,0.78518,NA
E790_533,NA,0.66709
E323_44,0.05276,NA
E837_72,0.08794,NA
E312_120,0.14824,NA
E889_204,0.25377,NA
E129_322,NA,0.40201
E235_108,0.13317,NA
E332_8,NA,0.00754
E62_704,0.88191,NA
E198_199,NA,0.24749
E811_420,0.52513,NA
E675_754,0.94472,NA
E189_230,0.28643,NA
E882_222,0.27638,NA
E41_2,NA,0.0
E327_322,0.40201,NA
E661_449,NA,0.56156
E252_234,NA,0.29146
E794_53,NA,0.06407
E645_350,NA,0.43719
E377_659,NA,0.82538
E292_578,NA,0.72362
E891_484,0.60553,NA
E87_268,NA,0.33417
E824_252,NA,0.31407
E245_28,NA,0.03266
E84_97,NA,0.11935
E200_239,0.29774,NA
E646_28,0.03266,NA
E679_59,NA,0.07161
E621_377,NA,0.47111
E940_469,NA,0.58668
E343_691,0.86558,NA
E795_129,0.15955,NA
E574_254,NA,0.31658
E496_16,NA,0.01759
E732_199,0.24749,NA
E901_317,0.39573,NA
E839_285,NA,0.35553
E35_619,NA,0.77513
E171_79,NA,0.09673
E585_3,0.00126,NA
E520_478,NA,0.59799
E718_560,0.70101,NA
E665_97,NA,0.11935
E865_53,NA,0.06407
E184_781,0.97864,NA
E182_667,NA,0.83543
E32_248,NA,0.30905
E779_210,NA,0.26131
E409_263,NA,0.32789
E22_663,0.8304,NA
E626_388,0.48492,NA
E331_127,NA,0.15704
E527_15,0.01633,NA
E39_419,NA,0.52387
E126_364,0.45477,NA
E27_110,0.13568,NA
E912_216,NA,0.26884
E357_131,NA,0.16206
E666_153,NA,0.1897
E140_623,0.78015,NA
E885_333,0.41583,NA
E529_514,0.64322,NA
E413_481,0.60176,NA
E934_792,0.99246,NA
E785_63,0.07663,NA
E10_245,NA,0.30528
E264_374,0.46734,NA
E445_403,NA,0.50377
E752_347,0.43342,NA
E489_100,NA,0.12312
E607_227,NA,0.28266
E360_706,0.88442,NA
E518_560,0.70101,NA
E191_128,0.15829,NA
E595_503,0.6294,NA
E28_278,NA,0.34673
E950_691,0.86558,NA
E302_258,NA,0.32161
E688_384,NA,0.4799
E694_643,NA,0.80528
E132_111,NA,0.13693
E536_301,NA,0.37563
E478_142,0.17588,NA
E581_340,0.42462,NA
E286_736,0.92211,NA
E656_487,NA,0.6093
E31_526,0.65829,NA
E642_231,NA,0.28769
E335_651,0.81533,NA
E681_479,NA,0.59925
E750_705,0.88317,NA
E592_728,0.91206,NA
E349_634,0.79397,NA
E615_555,0.69472,NA
E77_553,0.69221,NA
E363_689,NA,0.86307
E410_750,0.9397,NA
E827_557,0.69724,NA
E682_64,NA,0.07789
E959_162,0.20101,NA
E464_573,NA,0.71734
E408_778,0.97487,NA
E345_218,NA,0.27136
E231_515,0.64447,NA
E777_569,0.71231,NA
E241_429,NA,0.53643
E309_141,NA,0.17462
E400_590,0.73869,NA
E303_692,0.86683,NA
E119_755,0.94598,NA
E135_300,0.37437,NA
E411_760,0.95226,NA
E711_601,NA,0.75251
E770_688,0.86181,NA
E156_268,0.33417,NA
E304_415,NA,0.51884
E366_241,0.30025,NA
E905_784,NA,0.98241
E599_356,NA,0.44472
E110_175,NA,0.21734
E80_187,NA,0.23241
E91_321,NA,0.40075
E315_379,NA,0.47362
E149_723,NA,0.90578
E883_553,NA,0.69221
E705_486,0.60804,NA
E121_180,NA,0.22362
E760_293,0.36558,NA
E887_575,NA,0.71985
E509_348,NA,0.43467
E939_619,NA,0.77513
E904_745,0.93342,NA
E576_531,0.66457,NA
E347_343,0.42839,NA
E416_542,NA,0.67839
E13_489,NA,0.61181
E227_69,NA,0.08417
E258_375,0.46859,NA
E298_772,NA,0.96734
E297_282,0.35176,NA
E98_475,0.59422,NA
E845_472,0.59045,NA
E888_154,NA,0.19095
E166_248,0.30905,NA
E356_235,0.29271,NA
E277_738,0.92462,NA
E405_298,NA,0.37186
E981_170,NA,0.21106
E763_498,0.62312,NA
E145_100,NA,0.12312
E468_314,0.39196,NA
E333_145,0.17965,NA
E955_238,0.29648,NA
E514_91,0.11181,NA
E212_14,NA,0.01508
E463_216,0.26884,NA
E820_349,0.43593,NA
E195_128,0.15829,NA
E123_486,0.60804,NA
E236_655,0.82035,NA
E768_216,0.26884,NA
E429_182,0.22613,NA
E50_236,NA,0.29397
E491_399,NA,0.49874
E583_106,0.13065,NA
E454_582,NA,0.72864
E120_95,NA,0.11683
E232_119,NA,0.14698
E624_764,NA,0.95729
