,PseudoTime
E528_1375,0.9178356713426854
E562_325,0.21643286573146292
E268_812,0.541750167000668
E106_221,0.14696058784235136
E753_349,0.23246492985971945
E230_698,0.46559786239144957
E25_853,0.5691382765531062
E265_1333,0.8897795591182365
E799_386,0.2571810287241149
E678_1254,0.8370073480293921
E262_701,0.46760187040748163
E629_1258,0.8396793587174348
E466_1003,0.6693386773547094
E695_128,0.08483633934535738
E973_314,0.20908483633934535
E387_771,0.5143620574482298
E632_8,0.004676018704074816
E892_864,0.5764863059452238
E8_760,0.5070140280561122
E70_1051,0.7014028056112225
E756_106,0.07014028056112225
E140_257,0.17100868403473615
E765_1138,0.7595190380761523
E843_554,0.3694054776219105
E869_1416,0.9452237808951236
E732_117,0.07748830995323981
E445_363,0.24181696726786908
E498_525,0.3500334001336005
E266_362,0.24114896459585838
E117_1325,0.884435537742151
E339_420,0.2798931195724783
E520_596,0.3974615898463594
E447_759,0.5063460253841016
E849_1310,0.8744154976619907
E164_363,0.24181696726786908
E923_1163,0.7762191048764195
E237_432,0.2879091516366065
E318_328,0.218436873747495
E304_866,0.5778223112892451
E145_1084,0.7234468937875751
E459_468,0.3119572478289913
E730_1432,0.9559118236472945
E252_284,0.18904475617902472
E29_865,0.5771543086172345
E435_729,0.4863059452237809
E935_130,0.08617234468937876
E380_1469,0.9806279225116901
E456_126,0.08350033400133601
E67_1368,0.9131596526386105
E800_713,0.4756179024716099
E638_2,0.0006680026720106881
E192_697,0.4649298597194389
E818_826,0.5511022044088176
E378_735,0.49031396125584503
E954_1176,0.7849031396125584
E726_1074,0.7167668670674683
E90_669,0.44622578490313963
E592_1275,0.8510354041416166
E379_957,0.6386105544422178
E787_1492,0.9959919839679359
E827_917,0.6118904475617902
E20_1374,0.9171676686706747
E936_618,0.4121576486305945
E718_870,0.5804943219772879
E42_894,0.5965263861055444
E414_1127,0.7521710086840347
E451_54,0.035404141616566465
E698_1172,0.7822311289245157
E985_704,0.4696058784235137
E413_1087,0.7254509018036072
E598_425,0.2832331329325317
E913_9,0.005344021376085505
E579_1454,0.9706078824315297
E402_1487,0.9926519706078825
E857_1498,1.0
E792_506,0.33734134936539745
E527_119,0.0788243152972612
E362_1430,0.9545758183032732
E769_551,0.36740146960587844
E291_339,0.22578490313961255
E740_987,0.6586506346025384
E529_847,0.5651302605210421
E214_1391,0.9285237140948563
E154_66,0.04342017368069472
E556_1426,0.9519038076152304
E515_47,0.03072812291249165
E563_1027,0.685370741482966
E821_981,0.6546426185704742
E909_750,0.5003340013360054
E925_185,0.1229124916499666
E947_1498,1.0
E420_1436,0.9585838343353373
E650_206,0.13694054776219106
E354_1312,0.875751503006012
E12_480,0.3199732798931196
E576_1150,0.7675350701402806
E978_1262,0.8423513694054776
E905_321,0.21376085504342018
E774_64,0.04208416833667335
E750_701,0.46760187040748163
E952_1390,0.9278557114228457
E826_992,0.6619906479625919
E56_1269,0.8470273881095525
E934_586,0.3907815631262525
E245_283,0.18837675350701402
E125_43,0.028056112224448898
E949_1037,0.6920507682030728
E606_1441,0.9619238476953907
E727_650,0.43353373413493657
E988_388,0.25851703406813625
E175_1492,0.9959919839679359
E274_824,0.5497661990647963
E220_35,0.022712090848363394
E405_401,0.26720106880427524
E184_669,0.44622578490313963
E497_561,0.3740814963259853
E697_785,0.5237140948563794
E499_426,0.28390113560454244
E43_576,0.38410153640614564
E824_1474,0.9839679358717435
E825_15,0.009352037408149633
E502_16,0.01002004008016032
E386_266,0.17702070808283232
E324_310,0.20641282565130262
E457_808,0.5390781563126252
E150_566,0.37742150968603877
E912_1268,0.8463593854375417
E434_631,0.42084168336673344
E403_1474,0.9839679358717435
E82_1108,0.7394789579158316
E76_1106,0.7381429525718103
E701_1226,0.8183032732130928
E473_433,0.28857715430861725
E216_821,0.5477621910487642
E612_272,0.18102872411489646
E101_979,0.6533066132264529
E322_1244,0.8303273213092852
E232_55,0.036072144288577156
E844_1102,0.7354709418837675
E430_858,0.5724782899131596
E196_859,0.5731462925851704
E33_733,0.48897795591182364
E182_1025,0.6840347361389446
E764_868,0.5791583166332666
E881_654,0.4362057448229793
E478_959,0.6399465597862392
E655_74,0.04876419505678023
E880_1194,0.7969271877087508
E803_137,0.09084836339345358
E796_1469,0.9806279225116901
E53_627,0.4181696726786907
E673_388,0.25851703406813625
E505_874,0.5831663326653307
E777_174,0.11556446225784903
E467_438,0.29191716766867065
E628_252,0.1676686706746827
