,PseudoTime1,PseudoTime2
E346_628,NA,0.78967
E152_72,0.08942,NA
E9_579,0.72796,NA
E930_627,0.78841,NA
E378_620,NA,0.7796
E175_340,0.42695,NA
E504_261,0.32746,NA
E624_212,NA,0.26574
E570_102,NA,0.1272
E748_545,0.68514,NA
E891_33,NA,0.0403
E622_245,NA,0.3073
E584_754,NA,0.94836
E724_338,0.42443,NA
E879_634,NA,0.79723
E941_112,NA,0.1398
E862_290,NA,0.36398
E529_26,NA,0.03149
E228_29,NA,0.03526
E551_728,NA,0.91562
E780_47,NA,0.05793
E876_208,NA,0.26071
E38_180,NA,0.22544
E935_132,NA,0.16499
E665_163,NA,0.20403
E892_756,NA,0.95088
E480_188,NA,0.23552
E822_285,0.35768,NA
E323_358,NA,0.44962
E31_43,NA,0.0529
E163_256,0.32116,NA
E451_707,NA,0.88917
E50_645,0.81108,NA
E178_170,0.21285,NA
E556_348,0.43703,NA
E587_423,NA,0.53149
E678_279,NA,0.35013
E765_706,NA,0.88791
E26_21,NA,0.02519
E541_791,NA,0.99496
E205_531,0.66751,NA
E2_393,0.4937,NA
E112_778,NA,0.97859
E813_483,0.60705,NA
E593_540,0.67884,NA
E227_253,0.31738,NA
E562_532,NA,0.66877
E900_326,NA,0.40932
E355_471,0.59194,NA
E548_604,NA,0.75945
E884_382,0.47985,NA
E860_349,0.43829,NA
E277_660,0.82997,NA
E815_626,NA,0.78715
E533_568,0.71411,NA
E113_608,NA,0.76448
E507_711,0.89421,NA
E72_766,0.96348,NA
E855_59,0.07305,NA
E430_204,0.25567,NA
E832_721,0.9068,NA
E846_469,0.58942,NA
E683_646,NA,0.81234
E778_234,NA,0.29345
E601_783,0.98489,NA
E695_787,NA,0.98992
E222_365,0.45844,NA
E715_482,NA,0.60579
E795_94,0.11713,NA
E939_686,0.86272,NA
E579_398,0.5,NA
E270_469,0.58942,NA
E789_373,NA,0.46851
E857_2,NA,0.00126
E925_27,NA,0.03275
E595_248,NA,0.31108
E3_623,0.78338,NA
E647_599,NA,0.75315
E322_178,0.22292,NA
E321_688,NA,0.86524
E864_267,NA,0.33501
E65_62,0.07683,NA
E337_131,0.16373,NA
E744_69,0.08564,NA
E754_102,0.1272,NA
E306_752,NA,0.94584
E563_173,0.21662,NA
E771_426,NA,0.53526
E120_462,NA,0.5806
E64_123,NA,0.15365
E331_519,NA,0.65239
E885_606,0.76196,NA
E692_334,0.4194,NA
E903_776,0.97607,NA
E588_706,NA,0.88791
E611_84,NA,0.10453
E658_651,0.81864,NA
E908_58,NA,0.07179
E111_204,NA,0.25567
E987_74,0.09194,NA
E212_354,NA,0.44458
E357_419,0.52645,NA
E912_253,0.31738,NA
E154_234,0.29345,NA
E938_493,0.61965,NA
E267_612,0.76952,NA
E586_474,NA,0.59572
E613_278,NA,0.34887
E181_706,0.88791,NA
E572_72,NA,0.08942
E772_795,1.0,NA
E279_23,0.02771,NA
E823_608,0.76448,NA
E984_295,0.37028,NA
E817_373,NA,0.46851
E604_636,NA,0.79975
E197_441,0.55416,NA
E707_773,0.97229,NA
E237_402,NA,0.50504
E366_23,0.02771,NA
E311_525,0.65995,NA
E580_21,NA,0.02519
E298_96,0.11965,NA
E515_566,0.71159,NA
