_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-13.129329479042859,GO:0002376,immune system process,M1,1,GO:0045637 regulation of myeloid cell differentiation
1,-12.797807232209276,GO:0042592,homeostatic process,M1,1,GO:0045646 regulation of erythrocyte differentiation
1,-11.948473413536409,GO:0032502,developmental process,M1,1,GO:0035162 embryonic hemopoiesis
1,-6.276286667233138,GO:0048518,positive regulation of biological process,M1,1,GO:0050867 positive regulation of cell activation
1,-5.99789572122812,GO:0032501,multicellular organismal process,M1,1,GO:0050865 regulation of cell activation
1,-4.691962443433097,GO:0050896,response to stimulus,M1,1,GO:0071560 cellular response to transforming growth factor beta stimulus
1,-4.690482345286048,GO:0048519,negative regulation of biological process,M1,1,GO:0045596 negative regulation of cell differentiation
1,-4.56603651090189,GO:0008152,metabolic process,M1,1,GO:0006351 DNA-templated transcription
1,-3.50769462032277,GO:0050789,regulation of biological process,M1,1,GO:0007346 regulation of mitotic cell cycle
1,-3.036612596545133,GO:0051179,localization,M1,1,GO:1903305 regulation of regulated secretory pathway
1,-2.3188583475148956,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0071222 cellular response to lipopolysaccharide
1,-2.2418445508308635,GO:0022414,reproductive process,M1,1,GO:0007548 sex differentiation
1,-2.148080224835646,GO:0009987,cellular process,M1,1,GO:0006338 chromatin remodeling
