,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.4851941322978767,0.3302043699650044,0.07018767812795035,0.03640805334746127,0.03755038947804265,0.05735742487190145,0.04974322783333149,0.11579196088873807,0.1502326737859386
g10,0.45123184309720293,0.0,0.1945670969832433,0.06972848496733167,0.051294559009436476,0.048727050983813955,0.0553204614565709,0.05790856263247812,0.1597833062902554,0.30122958594189286
g2,0.12929096362864037,0.11474311625218364,0.0,0.2324970011881553,0.020983326299326487,0.022170711173646666,0.04479898711901397,0.044420782693613804,0.03208316280540575,0.04081786424104468
g3,0.017479974686419517,0.010415539293153574,0.17193725509275756,0.0,0.06553554710445984,0.06505218958988711,0.05812855749309754,0.058814059035700625,0.029050628571685264,0.013932378093601474
g4,0.0303351379808364,0.021264301022942456,0.04362511934267099,0.12667404399518484,0.0,0.20660657153768527,0.2955202433459067,0.22007835831422065,0.047948214767627666,0.06923736159080476
g5,0.02932107945229717,0.02434909808037675,0.05075766923466693,0.13823232794110832,0.19505699815748034,0.0,0.21072044483193042,0.2947113547433284,0.04386871718232108,0.0556544191742744
g6,0.027662286526547612,0.020182631327047167,0.037959476217409346,0.07566277563119744,0.27123055385175243,0.14564454794143547,0.0,0.08678154549072169,0.06138465792860461,0.023345882034321204
g7,0.02318106523345449,0.018194432613616324,0.043710898677802916,0.08154452590126277,0.13178001078342663,0.25275270392671945,0.0882004280791594,0.0,0.05966997726920905,0.022802068765752206
g8,0.07115773208521847,0.08543999983293624,0.048425082833433206,0.12193838038692927,0.08387906608351192,0.08771817852407181,0.1316105977020054,0.12684929594650485,0.0,0.3213912293921198
g9,0.22088924479624147,0.2201167494744714,0.07859077529758506,0.08217569802608658,0.14199958501101362,0.13367244360067193,0.057188118595487315,0.06049313550393503,0.44933707584149196,0.0
