SourceGENES,TargetGENES,Interaction,Edges
Gene  8 ,Gene  4 ,1,activation/repression
Gene  1 ,Gene  5 ,0.532167499461565,activation/repression
Gene  1 ,Gene  4 ,0.332282570597468,activation/repression
Gene  8 ,Gene  2 ,0.266359435657028,activation/repression
Gene  1 ,Gene  2 ,0.230520425350771,activation/repression
Gene  8 ,Gene  3 ,0.225447269554968,activation/repression
Gene  2 ,Gene  7 ,0.141315142427749,activation/repression
Gene  2 ,Gene  1 ,0.115585251169588,activation/repression
Gene  2 ,Gene  4 ,0.1111303913898,activation/repression
Gene  2 ,Gene  8 ,0.101399225754672,activation/repression
Gene  1 ,Gene  6 ,0.0959801937137525,activation/repression
Gene  2 ,Gene  5 ,0.0503021866141554,activation/repression
Gene  7 ,Gene  4 ,0.0433772848437775,activation/repression
Gene  2 ,Gene  6 ,0.0354571743311698,activation/repression
Gene  7 ,Gene  6 ,0.0230306640273143,activation/repression
Gene  8 ,Gene  5 ,0.0139480613814979,activation/repression
Gene  2 ,Gene  3 ,0.000877351217577884,activation/repression
Gene  3 ,Gene  2 ,4.72341336681209e-37,activation/repression
Gene  5 ,Gene  3 ,3.38779970508947e-37,activation/repression
Gene  4 ,Gene  5 ,3.05476648145707e-37,activation/repression
Gene  5 ,Gene  6 ,2.40367366879779e-37,activation/repression
Gene  6 ,Gene  3 ,2.1767577121609e-37,activation/repression
Gene  6 ,Gene  5 ,2.09423252582925e-37,activation/repression
Gene  4 ,Gene  6 ,1.49734611573763e-37,activation/repression
Gene  3 ,Gene  8 ,1.27374916179999e-37,activation/repression
Gene  6 ,Gene  4 ,1.14491223426585e-37,activation/repression
Gene  4 ,Gene  3 ,1.01494837553033e-37,activation/repression
Gene  5 ,Gene  4 ,9.71443001371571e-38,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  1 ,Gene  8 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  3 ,Gene  1 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  8 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  5 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  1 ,0,no regulation
Gene  8 ,Gene  6 ,0,no regulation
Gene  8 ,Gene  7 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
