,0,1,2,3,4,5,6,7
0,0.895351,0.08917842,0.01,0.011090272,0.017908521,0.01,3.9979597e-05,0.2119321
1,1.0905364,0.104493886,0.023729697,0.010425049,0.0002198453,0.02865557,0.01,0.19587281
2,1.1002231,0.10526891,0.01,0.01497155,0.01,0.0165683,0.01,0.20636714
3,1.2426105,0.41219825,0.027794922,0.017173015,0.023681002,0.018880092,0.004299834,0.6854378
4,1.2518699,0.3329753,0.010863588,0.032955226,0.051949404,0.0221627,0.002550034,0.9302575
5,1.5318859,0.4721856,0.013296004,0.024931068,0.006429617,0.01139135,0.019379482,0.96007305
6,1.6644446,0.14837563,0.0105025,0.0029120569,0.0020629838,0.00012960067,0.009704555,1.2042017
7,1.4117473,0.34686273,0.00087998883,0.009104194,0.013456282,0.041751035,0.010701887,1.3277142
8,1.7867466,0.27782294,0.0015326729,0.004798992,0.027579708,0.013747676,0.009456518,1.1856424
9,1.2942352,0.6917665,0.11083395,0.022983689,0.0018888151,0.00197611,0.0013810503,1.1914945
10,1.2856634,0.49361616,0.02488142,0.0010882489,0.0031896194,0.0008879363,0.0009882202,1.415054
11,1.3971153,0.5108096,0.00096974155,0.007659911,7.952059e-05,0.0014397356,0.010635165,1.4150608
12,1.7001246,0.67112345,0.008626809,0.023620723,0.03790358,0.020056728,0.065959714,1.2491494
13,1.4100276,0.6846198,0.030226758,0.007933075,0.02755251,0.018763809,0.003844541,1.4551703
14,2.1007636,0.45457986,0.08547693,0.0045712013,0.059694096,0.016429586,0.0038064276,1.2355114
15,2.0230281,0.48379472,0.0045197257,0.008699363,0.0005164472,0.0035846506,0.016829593,1.4567906
16,1.6821895,0.50054294,1.4943031e-05,0.023441507,0.0068900315,0.023463847,0.00013842735,1.6846278
17,1.8249569,0.6337434,0.023541793,0.00411949,6.601795e-05,0.00087072526,0.0046534203,1.5483906
18,2.1173105,0.59756064,0.010175476,0.0023966625,0.010673418,0.02558729,0.0014700928,1.4944656
19,1.8034605,0.8350104,0.04221896,0.009044315,0.0055997605,0.0077604987,0.0032158021,1.5556113
20,1.9142593,0.5131652,0.012712381,0.004363645,0.028917706,0.00020965785,0.008300955,1.9801371
21,2.2791662,0.65489507,0.029384974,0.00129671,0.0025088792,0.00044496983,0.008739002,1.7308158
22,1.7834846,0.91587,0.0031293985,0.11539621,0.046731666,0.005071883,0.031663124,1.7156633
23,2.4338715,0.6347772,0.004068078,0.023982206,0.036484115,0.017604303,0.005356038,1.7742265
24,1.7457788,1.0308652,0.0008502342,0.051211666,0.026970144,0.004450449,0.02144864,1.6158102
25,1.5868539,1.3724737,0.07524389,0.00505409,0.005621895,0.013117382,0.006960882,1.0422496
26,1.8986564,1.0407089,0.016472664,0.011063737,0.0016585424,0.0044962806,0.0047932216,1.544717
27,2.3460383,0.36239898,0.008892889,0.048355024,0.03279721,0.015329627,0.00650476,2.2228472
28,1.9322971,0.71023303,0.008123916,0.013179563,0.005939133,0.014115145,0.0041148197,2.0846252
29,1.8053789,0.93644637,0.01755587,0.003636051,0.0072383424,0.0192119,0.0023866878,1.9283587
30,1.4677216,1.13038,0.05781566,0.006598535,0.0010742978,0.029664889,0.013170987,1.6643201
31,1.4812969,1.1086186,0.053777695,0.0053057345,2.8048094e-05,0.011225696,0.0040949974,1.7153169
32,2.3516824,0.92359376,0.038373113,0.009210609,0.027959753,0.0032221414,0.008681914,1.8720948
33,2.2641463,0.86395866,0.0007895347,0.049958233,0.057606112,0.006152556,0.002622369,2.0006812
34,1.8460948,1.1968719,0.023271807,0.0026782183,0.014953294,0.0005607319,0.0011446308,1.4622258
35,1.9873486,1.1277294,0.0020905875,0.025595935,0.008708445,0.014073362,0.0028905855,1.5724984
36,1.6790844,0.8370305,0.021033468,0.008947529,0.015652498,0.042758387,0.00987573,2.2041411
37,1.989764,1.1923077,0.053213887,0.010297133,0.0026862486,0.055048607,0.05930444,1.3378776
38,1.3940195,1.0178697,0.023855338,0.00271275,0.013721335,0.01664697,0.022545153,2.1093369
39,1.8988826,1.1230565,0.0022956082,0.007823509,0.006347588,0.04375044,0.05216821,1.8251005
40,1.879277,1.0942067,0.005252111,0.02076977,0.031922184,0.010873554,0.0062620975,1.9481962
41,2.2483857,1.107137,0.0011799469,0.00012513387,0.06528347,0.00071932934,0.0024435075,1.8678865
42,1.8547667,1.1477004,0.01799254,0.03712794,0.03293492,0.01217265,0.062122606,1.9982691
43,2.1825602,1.2019484,0.03949904,0.0036157707,0.012222857,0.060452327,0.0010042132,1.5782436
44,2.0845246,1.2041126,0.023964964,0.05867949,0.0047658924,0.00048684684,0.0031984216,1.8670707
45,1.7184755,1.2525824,0.051171128,0.0037083486,0.009480806,0.11416003,0.02117244,1.7939498
46,1.6710821,1.1960343,0.026555395,0.035479948,0.06749099,0.0055510527,0.020635398,1.9698176
47,1.682307,1.0967761,0.006327953,0.03147887,0.038356673,0.006265556,0.007205888,2.2876055
48,1.7156446,1.3431494,0.0033360797,0.00031851963,0.01582012,5.7492416e-05,0.0010387249,1.8699707
