TE	0	1	2	3	4	5	6	7	8	9
0	0	0.0057659173434816986	0.09102864567571382	0.06168324725371807	0.03141529081579336	0.03872044071014487	0.04311365509616975	0.03385624879356159	0.017232541936557766	0.008758073024916728
1	0.012224458133756642	0	0.06368321235687265	0.05782408565493435	0.005534368634768463	0.00788297515750425	0.02047920830043891	0.01723662798743554	0.017073837765576652	0.01633047206124778
2	0.04900572286868327	0.03602565740805539	0	0.05643736151565786	0.02795190399846158	0.0525219533097529	0.04551279453501227	0.041164152831665954	0.015017237352164025	0.024360516125802454
3	0.050379849046641174	0.035026687967629526	0.08791862539683461	0	0.03617228227838777	0.05149139928806671	0.05077274336355555	0.055517668263881347	0.027745890090835383	0.027088292691480907
4	0.046148485017212915	0.0035880390483847375	0.06751267753034502	0.06643331401764893	0	0.06914307713764105	0.03751781905639041	0.0643034393383648	0.015028396916918787	0.00213979284920096
5	0.05366330865222234	0.003821445690633759	0.0915751278456002	0.07962129198779665	0.0627356156932457	0	0.047983351469674446	0.052668101628110135	0.014582099482131723	0.00910272757990734
6	0.0502261434130853	0.007366701659820018	0.0907761894734951	0.06991930636029117	0.022064895130167156	0.04029319577659481	0	0.056043482815512365	0.025651972740899778	0.01880155989321298
7	0.036980126581002706	0.009710258870864552	0.07773427993320149	0.06802663764789862	0.032791533198307986	0.04784449070701087	0.056117821174959115	0	0.02322572552589858	0.021681356748326493
8	0.03895220022644064	0.024076802005294842	0.08441988163871801	0.05089555191233885	0.03607273336148751	0.046813363263234986	0.039799562406422274	0.05932231296540318	0	0.013691650955595292
9	0.03553840772672823	0.02499498177412281	0.06764377506033681	0.07047220571855622	0.014301003175914746	0.012877176477536691	0.05726410624771545	0.0499086649848924	0.007201815871058771	0
