SourceGENES,TargetGENES,Interaction,Edges
Gene  6 ,Gene  5 ,1,activation/repression
Gene  5 ,Gene  4 ,0.664812628156892,activation/repression
Gene  1 ,Gene  7 ,0.451578617847364,activation/repression
Gene  2 ,Gene  1 ,0.338035819421495,activation/repression
Gene  2 ,Gene  7 ,0.31932954666761,activation/repression
Gene  2 ,Gene  6 ,0.245590813504421,activation/repression
Gene  1 ,Gene  6 ,0.228761550083599,activation/repression
Gene  1 ,Gene  3 ,0.180964817147007,activation/repression
Gene  1 ,Gene  2 ,0.1533845535212,activation/repression
Gene  1 ,Gene  4 ,0.142252758299786,activation/repression
Gene  7 ,Gene  6 ,0.0639559376058082,activation/repression
Gene  7 ,Gene  5 ,0.058907865877898,activation/repression
Gene  4 ,Gene  3 ,8.09202127110688e-37,activation/repression
Gene  3 ,Gene  2 ,6.32932890121731e-37,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  5 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  4 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  1 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  3 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
