,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.4641275384820591,0.3230649197292841,0.06594380787947021,0.029812727400654764,0.042426704480775554,0.05760574654516964,0.05363742586628166,0.11091193927416448,0.18098790927698935
g10,0.44497828042244075,0.0,0.21055189889872666,0.07122084607968002,0.05134653198720838,0.05571053645805071,0.06035033004343044,0.0693728950008954,0.17962209968539083,0.3446721856494613
g2,0.13555592255558707,0.12804416934159213,0.0,0.22707221377582695,0.019786296878601943,0.019972414521810106,0.030309635931025473,0.04385930073646852,0.03510100820854742,0.05067796084312612
g3,0.014763536801832011,0.008904779780944809,0.1487062849484315,0.0,0.07248732642432527,0.07621403230257243,0.06142115157159153,0.05996318404147972,0.03374303216131121,0.0159576975044472
g4,0.02372040030551904,0.016698136726015812,0.038829563553673445,0.141782540179973,0.0,0.1819995989899728,0.32918979527454784,0.1966717275761723,0.052568168122868374,0.050160510693505043
g5,0.02654124893150009,0.022578182658040388,0.04573006328199543,0.12010789054458183,0.17778479201854386,0.0,0.20280063031906204,0.31436919343235353,0.045580793832516515,0.05953759901441403
g6,0.024378414619704677,0.02059019334764784,0.04670069586293892,0.07507664127378434,0.311156865195077,0.12098116582002719,0.0,0.08647298647481651,0.060705946195941815,0.01831590438835171
g7,0.025613968277542934,0.0239494636980548,0.046759144078877456,0.08162444364501188,0.12733319169282542,0.28975261986946366,0.08762930703344832,0.0,0.06792053139291387,0.018213903569300447
g8,0.07240322323595651,0.08126012043449553,0.052522485683996756,0.12821636064892547,0.08243518564149593,0.07680673420131322,0.11587172709200703,0.11686883605560376,0.0,0.26147829886933666
g9,0.23064230648748232,0.23260608369979535,0.08763635078257269,0.08777082796212407,0.12622200668626038,0.13598021169732483,0.05395019392814894,0.057209669264708406,0.41362841415453966,0.0
