,PseudoTime1,PseudoTime2
E82_164,NA,0.16181
E356_746,NA,0.74673
E703_827,0.82814,NA
E478_281,0.2794,NA
E457_474,NA,0.47337
E756_712,NA,0.71256
E840_328,0.32663,NA
E893_311,0.30955,NA
E36_967,0.96884,NA
E848_151,NA,0.14874
E173_509,0.50854,NA
E787_325,NA,0.32362
E955_394,NA,0.39296
E269_297,NA,0.29548
E978_371,NA,0.36985
E878_735,NA,0.73568
E757_343,0.34171,NA
E129_582,NA,0.58191
E572_877,0.87839,NA
E651_823,NA,0.82412
E15_813,NA,0.81407
E522_567,0.56683,NA
E73_514,0.51357,NA
E896_914,0.91558,NA
E852_107,NA,0.10452
E601_996,0.99799,NA
E593_342,NA,0.3407
E167_626,NA,0.62613
E557_462,0.46131,NA
E624_590,0.58995,NA
E9_388,0.38693,NA
E648_61,NA,0.05829
E520_827,NA,0.82814
E86_769,NA,0.76985
E107_457,NA,0.45628
E23_449,NA,0.44824
E712_727,0.72764,NA
E919_629,0.62915,NA
E168_4,0.00101,NA
E875_949,NA,0.95075
E548_443,NA,0.44221
E68_413,0.41206,NA
E906_526,NA,0.52563
E688_705,NA,0.70553
E782_272,0.27035,NA
E175_64,NA,0.06131
E577_58,0.05528,NA
E914_747,NA,0.74774
E832_811,0.81206,NA
E119_141,NA,0.13869
E387_254,NA,0.25226
E534_58,0.05528,NA
E456_451,0.45025,NA
E85_431,NA,0.43015
E365_564,0.56382,NA
E190_630,0.63015,NA
E726_774,NA,0.77487
E838_856,NA,0.85729
E37_889,NA,0.89045
E294_322,NA,0.3206
E182_795,NA,0.79598
E442_351,NA,0.34975
E609_125,NA,0.12261
E193_361,0.3598,NA
E598_704,NA,0.70452
E264_27,NA,0.02412
E463_965,0.96683,NA
E563_654,0.65427,NA
E21_513,NA,0.51256
E725_752,NA,0.75276
E55_530,0.52965,NA
E995_586,0.58593,NA
E590_186,NA,0.18392
E324_540,0.5397,NA
E283_79,NA,0.07638
E505_269,0.26734,NA
E895_903,NA,0.90452
E968_114,0.11156,NA
E953_342,NA,0.3407
E485_837,NA,0.83819
E412_620,0.6201,NA
E115_543,NA,0.54271
E842_879,0.8804,NA
E240_270,NA,0.26834
E491_759,0.7598,NA
E54_27,0.02412,NA
E957_530,0.52965,NA
E669_970,NA,0.97186
E965_800,0.80101,NA
E502_282,NA,0.2804
E615_465,0.46432,NA
E811_456,0.45528,NA
E747_631,NA,0.63116
E402_864,0.86533,NA
E204_421,NA,0.4201
E846_279,NA,0.27739
E137_22,0.0191,NA
E490_273,0.27136,NA
E161_644,NA,0.64422
E156_284,0.28241,NA
E655_359,0.35779,NA
E52_536,NA,0.53568
E523_105,0.10251,NA
E296_833,NA,0.83417
E24_623,0.62312,NA
E453_350,NA,0.34874
E827_382,NA,0.3809
E477_180,0.17789,NA
E900_439,0.43819,NA
E680_70,0.06734,NA
E479_484,NA,0.48342
E647_627,NA,0.62714
E419_401,0.4,NA
E510_119,0.11658,NA
E849_392,NA,0.39095
E105_749,0.74975,NA
E587_320,NA,0.31859
E526_287,0.28543,NA
E525_354,0.35276,NA
E597_815,0.81608,NA
E445_261,0.2593,NA
E12_141,NA,0.13869
E135_364,NA,0.36281
E276_763,NA,0.76382
E60_104,0.10151,NA
E361_699,NA,0.6995
E818_619,NA,0.6191
E899_982,NA,0.98392
E707_745,NA,0.74573
E924_687,NA,0.68744
E853_213,NA,0.21106
E638_781,NA,0.78191
E251_769,0.76985,NA
E581_795,NA,0.79598
E378_278,NA,0.27638
E64_841,0.84221,NA
E605_193,0.19095,NA
E315_233,0.23116,NA
E991_820,NA,0.82111
E677_886,NA,0.88744
E205_672,NA,0.67236
E256_176,0.17387,NA
E415_407,NA,0.40603
E169_166,0.16382,NA
E170_63,0.0603,NA
E738_204,NA,0.20201
E140_886,0.88744,NA
E213_74,NA,0.07136
E792_194,0.19196,NA
E773_658,0.65829,NA
E247_529,0.52864,NA
E484_126,0.12362,NA
E717_199,NA,0.19698
E705_963,0.96482,NA
E825_173,NA,0.17085
E483_296,0.29447,NA
E344_538,NA,0.53769
E857_220,0.21809,NA
E715_932,NA,0.93367
E392_283,NA,0.28141
E92_234,NA,0.23216
E775_611,0.61106,NA
E912_421,NA,0.4201
E689_185,NA,0.18291
E69_928,0.92965,NA
E109_471,NA,0.47035
E155_463,NA,0.46231
E80_405,NA,0.40402
E575_38,NA,0.03518
E813_185,0.18291,NA
E243_627,0.62714,NA
E544_173,0.17085,NA
E643_230,NA,0.22814
E961_653,0.65327,NA
E515_150,NA,0.14774
E274_337,0.33568,NA
E189_650,NA,0.65025
E466_675,NA,0.67538
E408_755,0.75578,NA
E858_293,0.29146,NA
E992_174,NA,0.17186
E788_397,NA,0.39598
E797_992,NA,0.99397
E297_281,0.2794,NA
E685_495,NA,0.49447
E245_919,NA,0.9206
E796_89,NA,0.08643
E407_752,NA,0.75276
E763_410,0.40905,NA
E262_604,NA,0.60402
E116_814,NA,0.81508
E549_259,NA,0.25729
E494_995,0.99698,NA
E261_408,0.40704,NA
E212_341,NA,0.3397
E147_597,NA,0.59698
E679_704,0.70452,NA
E701_806,NA,0.80704
E700_111,NA,0.10854
E774_641,NA,0.64121
E659_743,0.74372,NA
E691_292,NA,0.29045
E150_715,NA,0.71558
E28_108,NA,0.10553
E432_193,0.19095,NA
E658_619,0.6191,NA
E275_991,NA,0.99296
E801_514,0.51357,NA
E414_112,NA,0.10955
E881_68,0.06533,NA
E967_260,0.25829,NA
E72_749,NA,0.74975
E721_531,0.53065,NA
E381_133,NA,0.13065
E588_583,NA,0.58291
E66_505,NA,0.50452
E809_104,0.10151,NA
E781_230,NA,0.22814
E860_236,NA,0.23417
E538_586,0.58593,NA
E368_880,NA,0.88141
E128_57,NA,0.05427
E977_569,NA,0.56884
E330_578,NA,0.57789
E973_550,NA,0.54975
E376_117,NA,0.11457
E841_587,NA,0.58693
E641_710,0.71055,NA
E727_565,0.56482,NA
E799_323,NA,0.32161
E420_562,0.56181,NA
E385_839,0.8402,NA
E884_764,NA,0.76482
E375_364,NA,0.36281
