,g1,g10,g11,g12,g13,g14,g15,g16,g17,g18,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.006908921150050629,0.005610828847497825,0.007600964980522415,0.008958441537530453,0.007898656633831725,0.007570032810159664,0.01285912185584847,0.025097484900041583,0.09666208719301067,0.06738817127711348,0.032003207335747234,0.01652557614736199,0.01522334664201429,0.00983313833274926,0.01084687691094811,0.010906955034448341,0.007186854816106107
g10,0.0557027066213782,0.0,0.23880909604519876,0.124273182569887,0.05780515041437122,0.03336059817777322,0.022296078774011935,0.01822268984567597,0.01796413784623853,0.021288618142034924,0.05520293768011849,0.030997590391251006,0.024152221575618853,0.03183792574555007,0.04295134168856376,0.06413710998808014,0.12975599348901515,0.30870360506051203
g11,0.047707169898890775,0.26040186176436986,0.0,0.25385946990271496,0.12620906117973088,0.0526779471551217,0.03880828350721552,0.02482613532068737,0.023095953692053747,0.03180621470926106,0.046892467172168106,0.02834700006322166,0.022645502434457454,0.02200348529966684,0.024166145478827845,0.035582453613022806,0.06279496727333651,0.14708807957492823
g12,0.05779959170282065,0.15967172282705422,0.28138216392838866,0.0,0.2220355203873536,0.09917143624824823,0.053604308350222826,0.033612294517798,0.02936324575884826,0.03809827264738658,0.05321910204361635,0.02812877436843873,0.02057568459984044,0.01812489260911987,0.018345862541288834,0.024418588719964426,0.04150251009622103,0.0701082641893157
g13,0.0531797092513109,0.06612518530461618,0.10981915742978327,0.2761160369446884,0.0,0.24017385803164845,0.11429158482634526,0.06856035390156913,0.03810296117688331,0.03325676245675668,0.05144591379675507,0.030031621760686307,0.01861129412097191,0.014966228137395857,0.018141147122386705,0.015427089583841121,0.02335244254887799,0.03876671762378649
g14,0.05603802730840139,0.03237918004818776,0.04887654812894056,0.09798507498330677,0.2941195499299329,0.0,0.27524172000473857,0.12461734151990382,0.060091369309606533,0.045825772126366966,0.05208703644886855,0.030559149098412612,0.018799653472336593,0.015451418838749313,0.01173734672546202,0.01062388421910311,0.012680479615549791,0.017679342068361376
g15,0.058635903066936425,0.014204751287142697,0.02160634963631871,0.0432140200565099,0.12265158754249351,0.33147253082102635,0.0,0.2774730139378689,0.13020119713477357,0.07082699578983527,0.0476278373476918,0.030408692298748263,0.01547700764697544,0.011847737711089908,0.012594480987913326,0.00908504733830244,0.009153277685350247,0.010638355567378525
g16,0.05732717559264147,0.010566141136790962,0.012637052965893163,0.019696523616144528,0.037633450649043436,0.10337633883636853,0.283420958500703,0.0,0.2754436297394899,0.12871668413321563,0.04668131559583266,0.026865808347657366,0.016933482034699562,0.012486591091653407,0.009767070992508608,0.009157430212962872,0.008000911207174779,0.009321355151834717
g17,0.06778552779660599,0.008111218715691463,0.007886216428588716,0.009960422117425706,0.01394829262988563,0.03794772254873262,0.10537992944016752,0.2898379472413743,0.0,0.30695018686141745,0.050321685272439534,0.027917461204418258,0.01642769025161775,0.01343779050115125,0.010027511509748172,0.00800347363187759,0.009222570398305027,0.008246150488639503
g18,0.08700956724200665,0.006536496947581232,0.0063885938859980385,0.006737733272936058,0.007288949680487606,0.010473156794445753,0.023120213112992657,0.06126567931685532,0.2831071607014755,0.0,0.048876809418451884,0.028157119044673933,0.01834294188427036,0.012833748223983222,0.011008251151638405,0.009927648980013179,0.0082288271512223,0.008472215628375614
