,PseudoTime1,PseudoTime2
E268_165,0.20577,NA
E814_288,0.3601,NA
E507_591,0.74028,NA
E767_151,NA,0.18821
E130_556,NA,0.69636
E653_114,0.14178,NA
E407_758,NA,0.94981
E489_18,NA,0.02133
E714_386,0.48306,NA
E70_325,NA,0.40652
E107_236,NA,0.29486
E361_39,0.04768,NA
E419_727,0.91092,NA
E183_251,0.31368,NA
E366_780,0.97742,NA
E329_229,NA,0.28607
E398_427,0.5345,NA
E435_99,0.12296,NA
E663_127,NA,0.15809
E497_446,0.55834,NA
E781_563,0.70514,NA
E677_644,0.80678,NA
E825_242,NA,0.30238
E56_347,0.43413,NA
E774_379,0.47428,NA
E532_483,NA,0.60477
E919_425,NA,0.53199
E718_28,NA,0.03388
E111_181,NA,0.22585
E933_151,NA,0.18821
E969_20,0.02384,NA
E888_495,NA,0.61982
E206_485,0.60728,NA
E42_730,0.91468,NA
E233_336,0.42033,NA
E0_650,NA,0.8143
E704_242,NA,0.30238
E823_662,0.82936,NA
E954_400,0.50063,NA
E838_386,NA,0.48306
E138_600,0.75157,NA
E18_107,0.133,NA
E926_283,0.35383,NA
E615_239,NA,0.29862
E121_114,0.14178,NA
E639_69,NA,0.08532
E553_295,NA,0.36888
E120_717,NA,0.89837
E99_395,0.49435,NA
E556_477,0.59724,NA
E548_37,NA,0.04517
E495_169,0.21079,NA
E512_17,NA,0.02008
E164_612,0.76662,NA
E728_565,NA,0.70765
E965_84,0.10414,NA
E786_264,0.32999,NA
E739_784,NA,0.98243
E712_569,NA,0.71267
E24_260,0.32497,NA
E526_669,NA,0.83814
E449_133,NA,0.16562
E254_312,0.39021,NA
E98_493,NA,0.61731
E834_39,0.04768,NA
E369_331,NA,0.41405
E336_273,NA,0.34128
E915_553,NA,0.6926
E397_643,NA,0.80552
E669_389,0.48683,NA
E472_399,0.49937,NA
E479_335,0.41907,NA
E162_167,NA,0.20828
E660_337,0.42158,NA
E444_233,NA,0.29109
E828_66,0.08156,NA
E904_160,0.1995,NA
E65_668,0.83689,NA
E465_561,0.70263,NA
E131_190,0.23714,NA
E785_675,0.84567,NA
E241_767,0.9611,NA
E996_393,NA,0.49184
E68_21,0.02509,NA
E527_334,0.41782,NA
E122_159,0.19824,NA
