,PseudoTime1,PseudoTime2
E930_398,NA,0.49874
E394_134,NA,0.16709
E584_389,NA,0.48744
E975_159,NA,0.19849
E756_314,NA,0.39322
E826_185,0.23116,NA
E599_316,NA,0.39573
E915_146,NA,0.18216
E524_310,0.38819,NA
E659_50,0.06156,NA
E277_324,0.40578,NA
E194_718,NA,0.90075
E66_229,0.28643,NA
E730_306,NA,0.38317
E548_134,NA,0.16709
E913_510,NA,0.63945
E962_35,NA,0.04271
E708_786,NA,0.98618
E112_267,NA,0.33417
E630_444,0.55653,NA
E872_76,0.09422,NA
E636_677,0.84925,NA
E758_45,NA,0.05528
E245_132,NA,0.16457
E965_749,0.9397,NA
E564_283,0.35427,NA
E956_488,NA,0.61181
E616_176,NA,0.21985
E515_89,NA,0.11055
E955_93,0.11558,NA
E891_612,0.76759,NA
E215_223,0.27889,NA
E665_533,NA,0.66834
E467_465,0.58291,NA
E230_121,NA,0.15075
E617_593,0.74372,NA
E371_633,0.79397,NA
E473_532,NA,0.66709
E322_469,NA,0.58794
E156_36,0.04397,NA
E390_509,0.63819,NA
E45_332,0.41583,NA
E154_254,0.31784,NA
E108_92,NA,0.11432
E443_133,0.16583,NA
E744_72,NA,0.0892
E796_471,NA,0.59045
E675_714,0.89573,NA
E437_89,0.11055,NA
E341_765,0.9598,NA
E124_715,NA,0.89698
E784_712,NA,0.89322
E360_304,0.38065,NA
E495_444,0.55653,NA
E221_4,NA,0.00377
E410_319,0.3995,NA
E336_742,NA,0.9309
E364_120,NA,0.1495
E802_167,0.20854,NA
E436_581,NA,0.72864
E677_110,NA,0.13693
E519_112,NA,0.13945
E404_213,NA,0.26633
E568_566,0.7098,NA
E812_482,NA,0.60427
E373_549,NA,0.68844
E935_161,0.20101,NA
E314_508,0.63693,NA
E841_340,0.42588,NA
E493_770,0.96608,NA
E116_90,NA,0.11181
E31_21,0.02513,NA
E65_549,0.68844,NA
E499_37,NA,0.04523
E83_26,0.03141,NA
E946_88,NA,0.1093
E537_69,0.08543,NA
E704_296,0.3706,NA
E446_129,NA,0.1608
E623_338,0.42337,NA
E613_82,0.10176,NA
E265_535,0.67085,NA
E920_162,0.20226,NA
E217_413,NA,0.51759
E865_473,NA,0.59296
E348_659,0.82663,NA
E638_638,NA,0.80025
E760_303,0.3794,NA
E95_458,0.57412,NA
E444_547,NA,0.68593
E328_602,NA,0.75503
E113_430,0.53894,NA
E797_457,0.57286,NA
E68_441,0.55276,NA
E843_581,0.72864,NA
E372_348,0.43593,NA
E832_49,NA,0.0603
E788_71,0.08794,NA
E170_734,0.92085,NA
E479_654,0.82035,NA
E608_535,NA,0.67085
E639_546,NA,0.68467
E768_99,0.12312,NA
E271_766,0.96106,NA
E421_307,0.38442,NA
E131_249,NA,0.31156
E414_649,NA,0.81407
E175_217,0.27136,NA
E741_45,NA,0.05528
E831_489,0.61307,NA
E799_793,0.99497,NA
E37_394,NA,0.49372
E423_759,NA,0.95226
E560_344,NA,0.4309
E357_291,NA,0.36432
E746_542,0.67965,NA
E91_330,NA,0.41332
E46_40,NA,0.04899
E674_191,NA,0.23869
E150_496,0.62186,NA
E483_704,NA,0.88317
E388_613,0.76884,NA
E779_660,NA,0.82789
E78_243,NA,0.30402
E653_478,NA,0.59925
E549_286,0.35804,NA
E411_94,0.11683,NA
E456_462,NA,0.57915
E356_570,0.71482,NA
E203_688,0.86307,NA
E849_620,NA,0.77764
E25_550,NA,0.6897
E750_292,0.36558,NA
E771_730,0.91583,NA
E264_637,0.79899,NA
E484_220,NA,0.27513
E658_142,0.17714,NA
E714_394,0.49372,NA
E502_612,NA,0.76759
E753_508,0.63693,NA
E840_426,NA,0.53392
E247_238,NA,0.29774
E709_295,NA,0.36935
E142_307,NA,0.38442
E887_6,NA,0.00628
E512_544,NA,0.68216
E780_522,NA,0.65452
E151_50,0.06156,NA
E71_399,NA,0.5
E755_753,NA,0.94472
E654_531,0.66583,NA
E518_206,0.25754,NA
E547_775,NA,0.97236
E607_284,NA,0.35553
E320_502,NA,0.6294
E605_597,0.74874,NA
E820_483,0.60553,NA
E990_563,0.70603,NA
E317_391,NA,0.48995
E259_101,0.12563,NA
E565_448,0.56156,NA
E793_406,0.50879,NA
E618_311,NA,0.38945
E222_685,NA,0.8593
E290_380,NA,0.47613
E710_675,0.84673,NA
E693_755,NA,0.94724
E337_643,0.80653,NA
E399_756,NA,0.94849
E415_627,0.78643,NA
E227_212,NA,0.26508
E770_78,0.09673,NA
E299_433,NA,0.54271
E772_502,NA,0.6294
E54_184,0.2299,NA
E408_181,0.22613,NA
E976_568,0.71231,NA
