,PseudoTime1,PseudoTime2
E596_993,0.99498,NA
E915_331,0.33032,NA
E169_822,0.82329,NA
E646_940,NA,0.94177
E179_412,0.41165,NA
E152_867,NA,0.86847
E770_839,NA,0.84036
E396_397,0.39659,NA
E426_225,NA,0.2239
E85_302,NA,0.3012
E735_994,NA,0.99598
E163_896,NA,0.89759
E301_238,NA,0.23695
E543_636,0.63655,NA
E749_24,NA,0.02209
E782_887,0.88855,NA
E200_745,0.74598,NA
E838_902,NA,0.90361
E87_594,0.59438,NA
E539_142,NA,0.14056
E128_590,NA,0.59036
E65_151,NA,0.1496
E242_395,NA,0.39458
E956_340,NA,0.33936
E342_849,NA,0.8504
E574_32,NA,0.03012
E147_981,NA,0.98293
E459_833,0.83434,NA
E561_334,NA,0.33333
E449_742,0.74297,NA
E919_718,0.71888,NA
E234_109,NA,0.10743
E155_377,NA,0.37651
E698_853,0.85442,NA
E873_227,NA,0.2259
E346_770,0.77108,NA
E518_177,0.1757,NA
E160_625,NA,0.6255
E445_979,0.98092,NA
E976_316,0.31526,NA
E26_867,NA,0.86847
E6_908,NA,0.90964
E468_481,0.48092,NA
E510_388,0.38755,NA
E591_491,NA,0.49096
E98_287,0.28614,NA
E314_756,NA,0.75703
E231_183,0.18173,NA
E554_854,0.85542,NA
E60_712,0.71285,NA
E753_804,NA,0.80522
E272_592,NA,0.59237
E633_673,NA,0.67369
E274_997,0.999,NA
E908_206,NA,0.20482
E993_464,0.46386,NA
E119_732,NA,0.73293
E788_23,NA,0.02108
E31_728,0.72892,NA
E390_197,0.19578,NA
E324_978,0.97992,NA
E767_864,NA,0.86546
E595_19,0.01707,NA
E476_211,0.20984,NA
E265_887,NA,0.88855
E998_801,NA,0.80221
E799_145,NA,0.14357
E547_461,NA,0.46084
E624_7,0.00502,NA
E374_499,NA,0.499
E295_969,0.97088,NA
E472_877,0.87851,NA
E427_636,NA,0.63655
E441_653,0.65361,NA
E300_986,NA,0.98795
E940_128,0.12651,NA
E821_201,NA,0.1998
E70_159,NA,0.15763
E896_189,0.18775,NA
E750_799,NA,0.8002
E498_825,NA,0.82631
E950_848,NA,0.8494
E103_859,NA,0.86044
E124_152,0.1506,NA
E412_11,0.00904,NA
E316_372,NA,0.37149
E280_940,NA,0.94177
E159_449,NA,0.4488
E611_189,0.18775,NA
E954_181,NA,0.17972
E995_656,0.65663,NA
E840_150,0.14859,NA
E371_782,0.78313,NA
E39_732,NA,0.73293
E315_690,0.69076,NA
E546_254,NA,0.25301
E567_125,0.12349,NA
E703_521,0.52108,NA
E369_379,NA,0.37851
E921_793,0.79418,NA
E202_28,0.0261,NA
E781_642,NA,0.64257
E860_413,NA,0.41265
E852_211,NA,0.20984
E984_929,0.93072,NA
E438_627,NA,0.62751
E251_154,0.15261,NA
E531_983,0.98494,NA
E504_712,0.71285,NA
E851_513,0.51305,NA
E455_444,NA,0.44378
E994_591,NA,0.59137
E298_219,0.21787,NA
E183_119,0.11747,NA
E105_62,0.06024,NA
E142_91,0.08936,NA
E198_227,0.2259,NA
E327_678,NA,0.67871
E223_184,0.18273,NA
E592_126,NA,0.1245
E196_915,NA,0.91667
E143_672,NA,0.67269
E628_481,0.48092,NA
E936_542,0.54217,NA
E96_611,NA,0.61145
E238_948,0.9498,NA
E983_435,NA,0.43474
E647_167,NA,0.16566
E83_789,0.79016,NA
E642_447,NA,0.44679
E938_120,0.11847,NA
E492_821,NA,0.82229
E450_116,NA,0.11446
E381_506,NA,0.50602
E27_509,NA,0.50904
E534_600,0.6004,NA
E92_675,NA,0.6757
E941_882,NA,0.88353
E309_214,NA,0.21285
E681_287,0.28614,NA
E972_521,0.52108,NA
E798_632,NA,0.63253
E205_173,NA,0.17169
E285_931,NA,0.93273
E871_541,NA,0.54116
E601_572,0.57229,NA
E284_10,NA,0.00803
E136_141,NA,0.13956
E97_390,NA,0.38956
E224_363,NA,0.36245
E271_76,0.0743,NA
E387_688,NA,0.68876
E336_590,0.59036,NA
E385_217,0.21586,NA
E410_30,NA,0.02811
E671_406,NA,0.40562
E290_39,0.03715,NA
E970_345,0.34438,NA
E711_627,0.62751,NA
E544_769,0.77008,NA
E247_829,0.83032,NA
E42_499,NA,0.499
E756_192,NA,0.19076
E148_247,NA,0.24598
E150_753,NA,0.75402
E815_753,0.75402,NA
E947_568,NA,0.56827
E704_10,NA,0.00803
E618_272,NA,0.27108
E651_960,NA,0.96185
E550_776,NA,0.77711
E478_223,0.22189,NA
E987_434,NA,0.43373
E854_260,NA,0.25904
E117_33,0.03112,NA
E120_840,0.84137,NA
E739_733,NA,0.73394
E464_787,0.78815,NA
E368_743,NA,0.74398
E296_767,NA,0.76807
E123_217,0.21586,NA
E801_878,0.87952,NA
E423_592,NA,0.59237
E696_590,0.59036,NA
E48_550,0.5502,NA
E255_558,NA,0.55823
E636_181,NA,0.17972
E37_753,NA,0.75402
E429_593,NA,0.59337
E702_83,0.08133,NA
E505_566,0.56627,NA
E654_997,0.999,NA
E975_626,NA,0.62651
E616_137,NA,0.13554
E692_939,NA,0.94076
E56_550,0.5502,NA
E689_211,NA,0.20984
E389_90,0.08835,NA
E779_442,0.44177,NA
E588_825,NA,0.82631
E912_222,NA,0.22088
E760_911,0.91265,NA
E571_937,0.93876,NA
E884_729,NA,0.72992
E532_932,NA,0.93373
E902_434,0.43373,NA
E916_943,0.94478,NA
E491_458,0.45783,NA
E293_549,NA,0.5492
E391_396,0.39558,NA
E182_310,NA,0.30924
E413_312,0.31124,NA
E444_713,0.71386,NA
E535_511,NA,0.51104
E804_109,NA,0.10743
E625_684,0.68474,NA
E411_719,NA,0.71988
E112_425,NA,0.4247
E181_538,0.53815,NA
E340_735,0.73594,NA
E576_186,0.18474,NA
E668_384,0.38353,NA
E79_581,0.58133,NA
E741_376,NA,0.3755
E15_793,NA,0.79418
