SourceGENES,TargetGENES,Interaction,Edges
Gene  3 ,Gene  2 ,1,activation/repression
Gene  2 ,Gene  1 ,0.663480892284284,activation/repression
Gene  2 ,Gene  6 ,0.390782996396438,activation/repression
Gene  2 ,Gene  7 ,0.368308372171803,activation/repression
Gene  4 ,Gene  3 ,0.311780100316451,activation/repression
Gene  1 ,Gene  4 ,0.131047675726491,activation/repression
Gene  1 ,Gene  5 ,0.0734598917883246,activation/repression
Gene  1 ,Gene  6 ,0.0279888567578036,activation/repression
Gene  5 ,Gene  3 ,7.02868964257055e-37,activation/repression
Gene  7 ,Gene  6 ,5.58630789650527e-37,activation/repression
Gene  6 ,Gene  4 ,4.67751712668065e-37,activation/repression
Gene  7 ,Gene  4 ,3.43947005694473e-37,activation/repression
Gene  5 ,Gene  4 ,2.81652045326933e-37,activation/repression
Gene  6 ,Gene  5 ,2.4038725740047e-37,activation/repression
Gene  7 ,Gene  1 ,1.999258898007e-37,activation/repression
Gene  7 ,Gene  5 ,1.70187818192462e-37,activation/repression
Gene  6 ,Gene  1 ,6.86282221686695e-38,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  2 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  4 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  1 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  3 ,Gene  5 ,0,no regulation
Gene  3 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  7 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  2 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
