Gene_Name	influence
FOXD3	727.65787
GLI2	301.46362
NANOG	35.7624
POU4F2	24.82919
JUN	5.74451
GLI1	3.23005
HNF1B	2.73677
HOPX	2.39481
BMP2	2.14999
RARG	0.80354
BHLHE40	0.48685
L3MBTL3	0.45369
RHOX6	0.40597
TCF7L2	0.33653
TFEB	0.28997
SOX17	0.28304
SATB2	0.27699
SMAD7	0.27419
BMYC	0.25385
PURB	0.25151
DDIT3	0.21959
MSX2	0.21834
ID2	0.20195
FOXA2	0.18931
REST	0.18889
TET2	0.18287
ZFP462	0.17481
ZFP428	0.16076
AFF1	0.15903
ZFP532	0.15074
HNRNPK	0.14373
ETS1	0.14071
TGIF1	0.12931
SNAI1	0.12453
KLF2	0.1165
EGR1	0.11619
NFIL3	0.11594
PEG3	0.10416
BCL3	0.10404
SALL4	0.09987
HMGA2	0.09291
ID3	0.08791
ZBTB10	0.08791
EPAS1	0.0872
SIX1	0.07998
DNMT3L	0.0766
ETV4	0.07523
ZFP57	0.07291
ELF2	0.06981
ZBTB44	0.06893
ZFP296	0.06822
WHSC1	0.06798
KLF10	0.06793
KDM5B	0.06734
KLF4	0.06573
ZC3H7A	0.06458
POU5F1	0.0624
CREB3	0.06112
TEAD4	0.05937
GATA6	0.05676
ZFP710	0.05354
ZFHX3	0.0487
TBX3	0.04748
HMGA1	0.04691
ID1	0.04287
ERF	0.04263
SOX2	0.042
ZFP42	0.0396
MTF2	0.03611
KLF3	0.03496
RUNX1	0.03445
MSC	0.03433
KLF6	0.03408
SOX7	0.03392
PHB	0.03273
RERE	0.03097
MYCN	0.03076
PARP1	0.03016
MYBL2	0.02973
TRP53	0.029
DNMT3A	0.0282
RBPJ	0.02633
NR0B1	0.02442
NFXL1	0.02391
TET1	0.022
DNMT3B	0.02148
ELF3	0.02096
TFCP2L1	0.02081
JARID2	0.01861
TAX1BP3	0.01804
GATA4	0.01698
CARHSP1	0.01656
TCF15	0.01465
XBP1	0.01391
FOXH1	0.01319
FOXQ1	0.01178
CREB3L2	0.01023
ESRRB	0.00984
ETV5	0.00931
UTF1	0.00903
