TE	0	1	2	3	4	5	6	7	8	9
0	0	0.012825240159006218	0.036836517552229324	0.01605114925911426	0.045476731004734344	0.06906739335798966	0.09873058571543827	0.06694370573813084	0.02712366388354947	0.021210793047896873
1	0.012305485365106275	0	0.038999489324558795	0.0189842309453073	0.016882014887715877	0.019307478239796116	0.05541862524445934	0.03001281057014703	0.018289836442222922	0.01812467572434094
2	0.027376077530974867	0.02334086896663674	0	0.026164987100519083	0.08233528396972466	0.05480605145204423	0.11326495991661778	0.06720754043686575	0.013574200058133822	0.028312127812946872
3	0.0415125707961796	0.035858809005676215	0.05019388597914614	0	0.05898998947080454	0.08259758876064638	0.09629276160102895	0.07060446861345632	0.019327282133321952	0.014416007074978776
4	0.018996207085686004	0.006563560876440894	0.04376030368480638	0.04142412627951661	0	0.11836351080071367	0.12193533260397821	0.058407107371437686	0.01645539774398334	0.0049286875246749955
5	0.0151848556956932	0.01179596015151536	0.04481714462867273	0.04734840951645729	0.1219670300543426	0	0.128574557978366	0.10552383658074917	0.005782382954244327	0.008142189907674856
6	0.03782003376953848	0.03142855483474582	0.03268393574390167	0.03786316147556379	0.08257063429725153	0.05890450454677391	0	0.10344037148515685	0.03458519618115177	0.018745418671597416
7	0.0280590555812194	0.016126553218731392	0.031751250145607895	0.010539190360345098	0.06867980783462675	0.07779788395040074	0.10323122294156618	0	0.012911964824378808	0.024195834036018445
8	0.02291007912684484	0.014395620500976548	0.04775955192530705	0.027992526987493833	0.07702677015096229	0.0781948309995028	0.1293436880837539	0.0935310675083503	0	0.014877542443915136
9	0.0323945973016505	0.04311033112762583	0.04092146489419106	0.03519152110498732	0.02217995928740397	0.02575565934834282	0.131631312792268	0.0831926961103585	0.022786419383491335	0
