TE	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0	0	0.029314331585028188	0.03320233458299154	0.029174938511163012	0.05017085907442622	0.04207389815953034	0.05620491731241146	0.02582730458175006	0.007187415025185501	0.011083253767425822	0.13399251766964776	0.33999289129171273	0.14300599387440824	0.08719208524670626	0.0795332318389378	0.06101101674463985	0.04005627417168081	0.04353611077182145
1	0.08719860896478795	0	0.011466291238667275	0.004747355152829589	0.005553594846858794	0.018318490737391196	0.014826462165577443	0.00729587250374338	0.00555032218353033	0.0055873115053495705	0.11892123440211289	0.20964583640846104	0.09411955622292527	0.04033949282677549	0.0585910332652658	0.036274291748671965	0.019679102261524164	0.01578082547583349
2	0.07619678368421817	0.014209384439458482	0	0.017083336243185702	0.01242745641216499	0.014121164832154214	0.019629113671328736	0.00824964661510322	0.005046686891357375	0.006269258086933699	0.10038121493506753	0.20710338658491073	0.11015553171227326	0.035876745975887955	0.05617689997745614	0.034236700799479575	0.02689721975298619	0.031095993546148566
3	0.07619678368421817	0.010642635760058756	0.008785395564320318	0	0.010561925343877161	0.025213650917423995	0.020411573180967646	0.009187107532905931	0.008065680160751086	0.00859572407703029	0.09333186951714204	0.20062973467861822	0.08585326299717454	0.02948968452857418	0.05901610032631788	0.030013176532574935	0.0343218912310921	0.029674242891192887
4	0.07963589496244455	0.013873082681493258	0.02202266370532452	0.0171574723898997	0	0.022995720114245992	0.019481957532633525	0.013512078566756881	0.01189226432229696	0.010550779957572006	0.09502177073074992	0.18555931034125675	0.08599721890125854	0.03315530184243958	0.05335212670091347	0.029818396931572712	0.029172867055025923	0.026388503259469367
5	0.07762179627160874	0.020215455844236396	0.030500003594752505	0.021384589737220662	0.03475614523499117	0	0.03517722492116844	0.009911650639598401	0.011426524134394678	0.010430296180115579	0.08194817748603415	0.16704980691793572	0.10550577086877651	0.03900996807079155	0.05161903071362892	0.044638290699349936	0.025900356190422746	0.03569697328294499
6	0.06772242567890212	0.0162828656909419	0.03454542062466905	0.022849080540881344	0.039855816435097696	0.023837813553211167	0	0.027190325145676635	0.014371963579803453	0.014041195054230257	0.07942071021078045	0.15750254497607247	0.07788586133806075	0.05015556326639674	0.03385431407827504	0.04171450193682963	0.034634068397243235	0.028198388301809256
7	0.052445562636160535	0.011470120152412598	0.03139648707835258	0.013023421202400185	0.040695125230493956	0.03636563881534901	0.03810924004361922	0	0.004131093517230511	0.024609574380679195	0.05800098163922734	0.12580447503913622	0.06853058771211355	0.057255559561227916	0.05248694339835078	0.03515550339472105	0.03554258097318154	0.02641390330267393
8	0.03692021963521849	0.008682340227125558	0.034816609861817886	0.018060763980672245	0.023927437179322993	0.03611536632076947	0.03881065224699548	0.03053281754642509	0	0.02525125198613959	0.040879503189422094	0.08148740262318849	0.04664989251045991	0.05919147438549552	0.03613299341751471	0.040923448961824815	0.025681207252697215	0.030663761886170236
9	0.012408789622243064	0.009489616863002953	0.020668895829262242	0.01614945645645999	0.015166365981990457	0.017215764478411815	0.02830683324206794	0.010285571167370737	0.0020039496529157146	0	0.021079122426308338	0.0423834720936166	0.02522366278049712	0.03036599217041594	0.018051651395031093	0.019988623244467003	0.016027381818454884	0.01607959086602899
10	0.10205750876555679	0.02343981180088075	0.04181495175731206	0.03801362017167293	0.04642508930501324	0.035683474838221256	0.05748015792569766	0.027030886382091144	0.003781703686537682	0.011218148024314114	0	0.2583927913412356	0.15518063799635526	0.07459656879545966	0.06809699722164841	0.0475649237121141	0.044688368297305325	0.03633637861310886
11	0.0763679065456908	0.014137115060326874	0.02185946931515977	0.021059429772819903	0.030573907811231434	0.028000306755116187	0.037271690608438664	0.018200196967354417	0.005180967039698186	0.0032778830428193445	0.13499956701506569	0	0.07227288846651467	0.040799765270501505	0.05460026825510655	0.034074941098059884	0.022345084078554026	0.011525698928635813
12	0.06998336475023796	0.01680053663372171	0.018807790779856823	0.006659225880447533	0.014857982498465896	0.012575126752954717	0.031903184095099575	0.013219370981961494	0.004556629168166828	0.007427519190768088	0.11132406348603555	0.1830396958964247	0	0.03686481435917501	0.0266778158836296	0.021299847630367554	0.009135869257234284	0.02303372196254248
13	0.07745067341013612	0.00487218513755169	0.011673374693267447	0.01526073383538571	0.014284753781315315	0.02116072607761433	0.018266051088161084	0.011690070771657885	0.006214266347324857	0.005260821369184641	0.12787286450041224	0.16922171698070165	0.05979155286789908	0	0.02892546899099625	0.015234622094140648	0.010564544297288212	0.0021123310983237236
14	0.09206273283040496	0.0091145075047515	0.014977180065195524	0.009435447895982035	0.012107429494562661	0.011895650755801507	0.019561546397041298	0.011555117799410366	0.004904075859386138	0.0041162243403501265	0.12811970488091226	0.2167453209860997	0.08927379955563056	0.02867041054696433	0	0.025652542525309303	0.009374913519590675	0.007975228494256078
15	0.08064294430786254	0.004973140895868377	0.013060251010465599	0.010304888220298191	0.010444293658358746	0.01801196966863985	0.02210912774417927	0.017460161783016407	0.002515288116598836	0.007037850307396381	0.11344997618733335	0.194343486288599	0.07198185118988701	0.03957280290221467	0.028782228069788397	0	0.01399478561582587	0.014526440188647434
16	0.090808843104487	0.011262955293310757	0.014016399646534027	0.0056959059083583055	0.021969755520112065	0.016187691566608244	0.01437437539400101	0.011855052347383242	0.005180906552368104	0.0075422643022828775	0.12283761777332262	0.21605602725892556	0.0859217659105826	0.04570777273862889	0.05312416064466554	0.013679558618419522	0	0.008633388531436269
17	0.08550706817347951	0.006445488272381793	0.011873459225096963	0.00874486746236124	0.013090145094706638	0.011730996153696308	0.016715708572756754	0.00884299370374687	0.00410565331186322	0.004232034677138309	0.1217548509088773	0.239601102275168	0.1011609856826299	0.027508292662640585	0.07267915209117859	0.03199248788857564	0.009224889577694545	0
