,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.48330842324682377,0.3227625439119269,0.07658641037843102,0.02990604593138049,0.03612039078627243,0.05151493653592645,0.05798282109899271,0.10092410601251607,0.15293549785073104
g10,0.4662410477769758,0.0,0.21316325202246067,0.06410763288395836,0.04025028849624801,0.044551198029720795,0.0536895247833917,0.06564221482355272,0.15267234977804633,0.2773320941177153
g2,0.1286240704196552,0.1394008297278638,0.0,0.19569159581369655,0.018971709512124645,0.022144754444434464,0.033383092284376976,0.026544765115810366,0.036301735281163566,0.043079304034670404
g3,0.015264764012891915,0.008928719746863545,0.13778453432499915,0.0,0.06946674381177477,0.08420989733341716,0.05522535963749243,0.045183503169160706,0.03496766218545287,0.011508102119933718
g4,0.02316485507330377,0.01534930539262179,0.039416280532630917,0.1291521525029688,0.0,0.17104169850662915,0.29610281294495944,0.20143396070901767,0.059626523336234916,0.055868402760635504
g5,0.030755901001002308,0.0240633321011667,0.04685468137413394,0.15559529866245625,0.19704320264353145,0.0,0.22630134594025691,0.2933816152907728,0.05007019825087379,0.08614737202048023
g6,0.023260116514099802,0.020159100407319035,0.04667972281059183,0.07637011974959367,0.2684743967480988,0.13274304691846267,0.0,0.09223443299138952,0.05847216185705844,0.02384405416176772
g7,0.028719186218542258,0.0232033910985512,0.03997266955495139,0.08005792941582174,0.1359735473571436,0.2690027546014858,0.08455227418516503,0.0,0.09594841266502299,0.025491920508395275
g8,0.07449737194384916,0.0736204805828531,0.05145428317272426,0.14159087529595582,0.10948896465127349,0.08050064191767366,0.1314484925339179,0.16544108270067842,0.0,0.32217285034087206
g9,0.2085070828684867,0.21010055051966814,0.09951252637127303,0.07905444264149014,0.1318135125298169,0.15910506016560905,0.06296359119558496,0.0520595963501295,0.41043739220984393,0.0
